SENARAI SEKOLAH RENDAH DAN MENENGAH SEPERTI PADA 31 JANUARI 2020,,,,,,,,,,,,,,,,,,,,
BIL,NEGERI,PPD,PERINGKAT,JENIS/LABEL,KODSEKOLAH,NAMASEKOLAH,ALAMATSURAT,POSKODSURAT,BANDARSURAT,NOTELEFON,NOFAX,EMAIL,LOKASI,BANTUAN,MURID,GURU,PRASEKOLAH,INTEGRASI,KOORDINATXX,KOORDINATYY
11,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0011,SEKOLAH KEBANGSAAN SRI KINJANG,CHENDERIANG,35300,CHENDERIANG,TIADA,TIADA,ABA0011@moe.edu.my,Luar Bandar,SK,178,19,TIADA,TIADA,101.2466694,4.298925082
12,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0012,SEKOLAH KEBANGSAAN KAMPONG PAHANG,JALAN PAHANG,35000,TAPAH,054010396,054010396,ABA0012@moe.edu.my,Bandar,SK,137,17,TIADA,TIADA,101.2906353,4.224791585
13,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0013,SEKOLAH KEBANGSAAN BATU TUJUH,JALAN PAHANG,35000,TAPAH,054010735,054010735,ABA0013@moe.edu.my,Luar Bandar,SK,503,35,TIADA,TIADA,101.318631,4.250268
14,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0014,SEKOLAH KEBANGSAAN JERAM MENGKUANG,"BATU 5, JERAM MENGKUANG",35500,BIDOR,054270118,054270119,ABA0014@moe.edu.my,Bandar,SK,51,12,TIADA,TIADA,101.2414126,4.067267615
15,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0015,SEKOLAH KEBANGSAAN SUNGAI LESONG,KG SUNGAI LESONG,31950,MAMBANG DI AWAN,054780468,054780468,ABA0015@moe.edu.my,Bandar,SK,291,30,TIADA,TIADA,101.1454794,4.231541228
16,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0016,SEKOLAH KEBANGSAAN AYER KUNING,AIR KUNING KAMPAR,31920,KAMPAR,054789326,054789326,ABA0016@moe.edu.my,Bandar,SK,181,24,ADA,ADA,101.1435608,4.194635174
17,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0017,SEKOLAH KEBANGSAAN BATU MASJID,KAMPONG BATU MASJID,35350,TEMOH,054270021,054270021,ABA0017@moe.edu.my,Bandar,SK,67,13,TIADA,TIADA,101.200528,4.226201
18,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0018,SEKOLAH KEBANGSAAN SUNGKAI,SUNGKAI,35600,SUNGKAI,054388434,054388434,ABA0018@moe.edu.my,Luar Bandar,SK,486,47,ADA,ADA,101.3097114,3.995430141
19,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0019,SEKOLAH KEBANGSAAN PERLOK,JALAN MENDERANG,35600,SUNGKAI,054386911,054386911,ABA0019@moe.edu.my,Luar Bandar,SK,167,18,TIADA,TIADA,101.342328,4.010141999
20,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0020,SEKOLAH KEBANGSAAN BIKAM,KAMPUNG BIKAM,35600,SUNGKAI,054386179,054386179,ABA0020@moe.edu.my,Luar Bandar,SK,64,11,TIADA,TIADA,101.2974278,4.044575075
21,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0024,SEKOLAH KEBANGSAAN CHANGKAT SULAIMAN,KG.CHANGKAT SULAIMAN,35600,SUNGKAI,054389843,054389843,ABA0024@moe.edu.my,Luar Bandar,SK,144,16,TIADA,TIADA,101.2955891,3.971203177
22,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0031,SEKOLAH KEBANGSAAN FELDA SUNGAI KELAH,FELDA SUNGAI KELAH,35600,SUNGKAI,054388500,054388501,ABA0031@moe.edu.my,Luar Bandar,SK,162,19,TIADA,TIADA,101.3698264,3.989146238
23,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0034,SEKOLAH KEBANGSAAN BATU 14,JALAN PAHANG,35000,TAPAH,TIADA,TIADA,ABA0034@moe.edu.my,Luar Bandar,SK,316,28,TIADA,TIADA,101.32708,4.322859
24,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0035,SEKOLAH KEBANGSAAN BESOUT 3,FELDA GUNUNG BESOUT 3,35600,SUNGKAI,054312313,054312313,ABA0035@moe.edu.my,Luar Bandar,SK,247,27,TIADA,TIADA,101.3003989,3.843797295
25,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0110,SEKOLAH KEBANGSAAN TROLAK UTARA,FELDA TROLAK UTARA,35600,SUNGKAI,054323189,054321004,ABA0110@moe.edu.my,Luar Bandar,SK,343,30,TIADA,TIADA,101.3585782,3.950507367
26,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0118,SEKOLAH KEBANGSAAN TROLAK SELATAN,FELDA TROLAK SELATAN,35600,SUNGKAI,054323534,054322734,ABA0118@moe.edu.my,Luar Bandar,SK,340,34,ADA,ADA,101.3867882,3.919545422
27,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0120,SEKOLAH KEBANGSAAN SERI BESOUT,FELDA GUNUNG BESOUT 01,35600,SUNGKAI,054311819,054311819,ABA0120@moe.edu.my,Luar Bandar,SK,416,39,ADA,ADA,101.286544,3.847763
28,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0125,SEKOLAH KEBANGSAAN POS GEDONG,PETI SURAT 20,35500,BIDOR,TIADA,TIADA,ABA0125@moe.edu.my,Luar Bandar,SK,84,11,TIADA,TIADA,101.376862,4.170615
29,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0126,SEKOLAH KEBANGSAAN KAMPUNG SENTA,PETI SURAT 20,35500,BIDOR,TIADA,TIADA,ABA0126@moe.edu.my,Luar Bandar,SK,87,11,TIADA,TIADA,101.330783,4.153609
30,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0127,SEKOLAH KEBANGSAAN POS MUSUH LZ,PETI SURAT 51,35000,TAPAH,TIADA,TIADA,ABA0127@moe.edu.my,Luar Bandar,SK,60,11,TIADA,TIADA,101.335809,4.262299
31,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0128,SEKOLAH KEBANGSAAN JERNANG,"P/SURAT 14, PEJABAT POS SUNGKAI",35600,SUNGKAI,TIADA,TIADA,ABA0128@moe.edu.my,Luar Bandar,SK,159,15,TIADA,TIADA,101.419363,4.051292
32,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0129,SEKOLAH KEBANGSAAN TAPAH,JALAN BIDOR LAMA,35000,TAPAH,054016122,054016122,ABA0129@moe.edu.my,Bandar,SK,116,20,TIADA,TIADA,101.2679804,4.181659638
33,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0130,SEKOLAH KEBANGSAAN BIDOR 2,JALAN TELUK INTAN,35500,BIDOR,054341216,054340926,ABA0130@moe.edu.my,Bandar,SK,566,50,ADA,ADA,101.2769547,4.117048112
34,PERAK,PPD MANJUNG,Rendah,SK,ABA1001,SEKOLAH KEBANGSAAN DENDANG,KAMPUNG DENDANG,32700,BERUAS,052560031,052560031,ABA1001@moe.edu.my,Luar Bandar,SK,101,16,TIADA,TIADA,100.8154582,4.502661886
35,PERAK,PPD MANJUNG,Rendah,SK,ABA1002,SEKOLAH KEBANGSAAN BERUAS,JALAN PARIT,32700,BERUAS,056740696,056749009,ABA1002@moe.edu.my,Luar Bandar,SK,231,28,TIADA,TIADA,100.786063,4.498995
36,PERAK,PPD MANJUNG,Rendah,SK,ABA1003,SEKOLAH KEBANGSAAN KAMPUNG KOTA,JALAN SITIAWAN,32700,BERUAS,056748048,056748048,ABA1003@moe.edu.my,Luar Bandar,SK,107,16,TIADA,TIADA,100.7844878,4.479139195
37,PERAK,PPD MANJUNG,Rendah,SK,ABA1004,SEKOLAH KEBANGSAAN GELONG GAJAH,KAMPUNG  KEDAH,32700,BERUAS,056721145,056721145,ABA1004@moe.edu.my,Luar Bandar,SK,242,30,ADA,ADA,100.7784159,4.411288575
38,PERAK,PPD MANJUNG,Rendah,SK,ABA1005,SEKOLAH KEBANGSAAN CHANGKAT CHERMIN,CHANGKAT CHERMIN,32400,AYER TAWAR,053765253,053765253,ABA1005@moe.edu.my,Bandar,SK,86,17,TIADA,TIADA,100.817463,4.348482
39,PERAK,PPD MANJUNG,Rendah,SK,ABA1006,SEKOLAH KEBANGSAAN AYER TAWAR,JALAN AYER TAWAR PANTAI REMIS,32400,AYER TAWAR,056724248,056724248,ABA1006@moe.edu.my,Bandar,SK,307,39,ADA,ADA,100.7730772,4.322562454
40,PERAK,PPD MANJUNG,Rendah,SK,ABA1007,SEKOLAH KEBANGSAAN PANCHOR,JALAN PANTAI REMIS TAIPING,34900,PANTAI REMIS,056775795,056773528,ABA1007@moe.edu.my,Luar Bandar,SK,143,17,TIADA,TIADA,100.65083,4.51905
41,PERAK,PPD MANJUNG,Rendah,SK,ABA1008,SEKOLAH KEBANGSAAN PENGKALAN BAHARU,PENGKALAN BAHARU,34900,PANTAI REMIS,056775595,056775595,ABA1008@moe.edu.my,Bandar,SK,314,36,ADA,ADA,100.634395,4.478546
42,PERAK,PPD MANJUNG,Rendah,SK,ABA1009,SEKOLAH KEBANGSAAN SUNGAI BATU,KAMPUNG SUNGAI BATU,34900,PANTAI REMIS,056774660,056777529,ABA1009@moe.edu.my,Bandar,SK,366,32,TIADA,TIADA,100.6254004,4.434292794
43,PERAK,PPD MANJUNG,Rendah,SK,ABA1010,SEKOLAH KEBANGSAAN LADANG HUNTLY,LADANG HUNTLY,32500,CHANGKAT KERUING,056752168,056752168,ABA1010@moe.edu.my,Luar Bandar,SK,68,13,TIADA,TIADA,100.6946224,4.415320157
44,PERAK,PPD MANJUNG,Rendah,SK,ABA1011,SEKOLAH KEBANGSAAN SEGARI,JALAN PANTAI REMIS DAMAR LAUT,32200,LUMUT,056774473,056774473,ABA1011@moe.edu.my,Luar Bandar,SK,119,14,TIADA,TIADA,100.6253635,4.350092939
45,PERAK,PPD MANJUNG,Rendah,SK,ABA1012,SEKOLAH KEBANGSAAN NAKHODA MUHAMMAD TAIB,BATU 3 SEGARI,32200,LUMUT,056777151,056777151,ABA1012@moe.edu.my,Luar Bandar,SK,201,25,TIADA,TIADA,100.624957,4.278504
46,PERAK,PPD MANJUNG,Rendah,SK,ABA1013,SEKOLAH KEBANGSAAN SUNGAI RAMAI,KG. SUNGAI RAMAI,32400,AYER TAWAR,TIADA,TIADA,ABA1013@moe.edu.my,Bandar,SK,31,7,TIADA,TIADA,100.744207,4.298834
47,PERAK,PPD MANJUNG,Rendah,SK,ABA1014,SEKOLAH KEBANGSAAN SUNGAI WANGI,JALAN BRUAS,32400,AYER TAWAR,056924192,056924192,ABA1014@moe.edu.my,Bandar,SK,327,39,ADA,ADA,100.727487,4.26068
48,PERAK,PPD MANJUNG,Rendah,SK,ABA1015,SEKOLAH KEBANGSAAN SERI SELAMAT,LORONG SELAMAT,32000,SITIAWAN,056922495,056926143,ABA1015@moe.edu.my,Bandar,SK,385,40,ADA,ADA,100.700283,4.213717345
49,PERAK,PPD MANJUNG,Rendah,SK,ABA1016,SEKOLAH KEBANGSAAN SITIAWAN,KAMPONG SITIAWAN,32000,SITIAWAN,056923754,056923754,ABA1016@moe.edu.my,Bandar,SK,427,38,ADA,ADA,100.6899547,4.237376909
50,PERAK,PPD MANJUNG,Rendah,SK,ABA1017,SEKOLAH KEBANGSAAN LEKIR,BATU 8,32020,SITIAWAN,056792764,056792764,ABA1017@moe.edu.my,Bandar,SK,437,39,ADA,ADA,100.7211418,4.147191074
51,PERAK,PPD MANJUNG,Rendah,SK,ABA1018,SEKOLAH KEBANGSAAN MUHAMMAD SAMAN,PASIR PANJANG LAUT,32040,SERI MANJUNG,056939610,056939611,ABA1018@moe.edu.my,Bandar,SK,336,30,TIADA,TIADA,100.689698,4.169197
52,PERAK,PPD MANJUNG,Rendah,SK,ABA1019,SEKOLAH KEBANGSAAN BATU SEPULUH,LEKIR,32020,SITIAWAN,056791206,056791951,ABA1019@moe.edu.my,Bandar,SK,520,37,TIADA,TIADA,100.717833,4.153824
53,PERAK,PPD MANJUNG,Rendah,SK,ABA1020,SEKOLAH KEBANGSAAN SUNGAI TIRAM,SUNGAI TIRAM,32020,SITIAWAN,056690576,TIADA,ABA1020@moe.edu.my,Luar Bandar,SK,245,26,TIADA,TIADA,100.76602,4.10763
54,PERAK,PPD MANJUNG,Rendah,SK,ABA1021,SEKOLAH KEBANGSAAN DATO' ISHAK,"KAMPUNG PADANG TEMBAK, TELUK MUROK",32200,LUMUT,056835440,056834332,ABA1021@moe.edu.my,Bandar,SK,422,34,TIADA,TIADA,100.620306,4.208738
55,PERAK,PPD MANJUNG,Rendah,SK,ABA1022,SEKOLAH KEBANGSAAN LUMUT,JLN ISKANDAR SHAH,32200,LUMUT,056835322,056835322,ABA1022@moe.edu.my,Luar Bandar,SK,129,13,TIADA,TIADA,100.627343,4.230752
56,PERAK,PPD MANJUNG,Rendah,SK,ABA1023,SEKOLAH KEBANGSAAN SERI PANGKOR,JALAN PASIR BOGAK,32300,PANGKOR,056851193,056855911,ABA1023@moe.edu.my,Luar Bandar,SK,460,43,ADA,ADA,100.572868,4.211426
57,PERAK,PPD MANJUNG,Rendah,SK,ABA1024,SEKOLAH KEBANGSAAN TELAGA NENAS,KG TELAGA NANAS,32400,AYER TAWAR,056990070,056990070,ABA1024@moe.edu.my,Luar Bandar,SK,68,12,TIADA,TIADA,100.6662925,4.324030229
58,PERAK,PPD MANJUNG,Rendah,SK,ABA1025,SEKOLAH KEBANGSAAN KAMPUNG BAHARU,KAMPONG BAHARU (L),32400,AYER TAWAR,056915975,056915975,ABA1025@moe.edu.my,Luar Bandar,SK,100,12,TIADA,TIADA,100.6707639,4.293653037
59,PERAK,PPD MANJUNG,Rendah,SK,ABA1026,SEKOLAH KEBANGSAAN KAYAN,JALAN TELUK INTAN - SITIAWAN,32030,SITIAWAN,056792712,056792712,ABA1026@moe.edu.my,Luar Bandar,SK,103,17,TIADA,TIADA,100.7979298,4.045690023
60,PERAK,PPD MANJUNG,Rendah,SK,ABA1027,SEKOLAH KEBANGSAAN PANGKALAN TLDM,PANGKALAN TLDM,32100,LUMUT,056835890,056838527,ABA1027@moe.edu.my,Bandar,SK,1195,80,TIADA,TIADA,100.617393,4.214277
61,PERAK,PPD MANJUNG,Rendah,SK,ABA1028,SEKOLAH KEBANGSAAN SERI MANJUNG,BANDAR BARU SERI MANJUNG,32040,SERI MANJUNG,056881014,056889855,ABA1028@moe.edu.my,Bandar,SK,1479,112,TIADA,TIADA,100.662883,4.188247
62,PERAK,PPD MANJUNG,Rendah,SK,ABA1029,SEKOLAH KEBANGSAAN PANTAI REMIS,JALAN RUMAH MURAH,34900,PANTAI REMIS,056774375,056777586,ABA1029@moe.edu.my,Bandar,SK,294,31,TIADA,TIADA,100.6316939,4.450634824
63,PERAK,PPD MANJUNG,Rendah,SK,ABA1030,SEKOLAH KEBANGSAAN GUGUSAN LEKIR,D/A FELCRA GUGUSAN LEKIR,32000,SITIAWAN,056923687,056926126,ABA1030@moe.edu.my,Bandar,SK,117,19,ADA,ADA,100.756213,4.196446
64,PERAK,PPD MANJUNG,Rendah,SK,ABA1031,SEKOLAH KEBANGSAAN PANGKALAN TLDM II,PANGKALAN TLDM,32100,LUMUT,056834914,056838079,ABA1031@moe.edu.my,Bandar,SK,779,63,ADA,ADA,100.619134,4.215815
65,PERAK,PPD MANJUNG,Rendah,SK,ABA1032,SEKOLAH KEBANGSAAN KPG. DATO' SERI KAMARUDDIN,KPG DATO' SERI KAMARUDDIN,32040,SERI MANJUNG,056886616,056886616,ABA1032@moe.edu.my,Bandar,SK,938,76,ADA,ADA,100.6499159,4.182197003
66,PERAK,PPD MANJUNG,Rendah,SK,ABA1033,SEKOLAH KEBANGSAAN SERI SITIAWAN,MANJUNG RAYA,32040,SERI MANJUNG,056882087,056882326,ABA1033@moe.edu.my,Bandar,SK,730,59,ADA,ADA,100.6570458,4.208274391
67,PERAK,PPD MANJUNG,Rendah,SK,ABA1034,SEKOLAH KEBANGSAAN SERI BAYU,PETI SURAT 26 KOMPLEKS SEKOLAH WAWASAN MANJUNG,32040,SERI MANJUNG,056888950,056883866,ABA1034@moe.edu.my,Bandar,SK,976,85,ADA,ADA,100.652998,4.199762
68,PERAK,PPD MANJUNG,Rendah,SK,ABA1035,SEKOLAH KEBANGSAAN SERI SAMUDERA,MANJUNG RAYA,32040,SERI MANJUNG,056881909,056883703,ABA1035@moe.edu.my,Bandar,SK,622,41,TIADA,TIADA,100.661125,4.208151
69,PERAK,PPD KINTA UTARA,Rendah,SK,ABA2001,SEKOLAH KEBANGSAAN SUNGAI RAYA,"JLN. RAJA DR. NAZRIN SHAH, KAMPONG KEPAYANG",31300,KG. KEPAYANG,053571660,053571660,ABA2001@moe.edu.my,Bandar,SK,457,33,TIADA,TIADA,101.1335844,4.519880705
70,PERAK,PPD KINTA UTARA,Rendah,SK,ABA2002,SEKOLAH KEBANGSAAN SUNGAI RAPAT,JALAN RAJA ABDULLAH ,31350,IPOH ,053123528,053123528,ABA2002@moe.edu.my,Bandar,SK,527,45,TIADA,TIADA,101.108199,4.573474
71,PERAK,PPD KINTA UTARA,Rendah,SK,ABA2003,SEKOLAH KEBANGSAAN SUNGAI ROKAM,JALAN KENANGA,31350,IPOH,053121890,053115806,ABA2003@moe.edu.my,Bandar,SK,749,80,ADA,ADA,101.114984,4.577717
72,PERAK,PPD KINTA UTARA,Rendah,SK,ABA2004,SEKOLAH KEBANGSAAN TAMBUN,JALAN AMPANG,31400,IPOH,055469261,055499086,ABA2004@moe.edu.my,Bandar,SK,595,60,ADA,ADA,101.140922,4.60805
73,PERAK,PPD KINTA UTARA,Rendah,SK,ABA2005,SEKOLAH KEBANGSAAN TANJONG RAMBUTAN,JALAN STESEN,31250,TANJONG RAMBUTAN,055332950,055330751,ABA2005@moe.edu.my,Bandar,SK,620,57,TIADA,TIADA,101.1556185,4.666795524
74,PERAK,PPD KINTA UTARA,Rendah,SK,ABA2006,SEKOLAH KEBANGSAAN TASEK,JALAN SULTAN AZLAN SHAH UTARA,31400,IPOH,055464913,055464913,ABA2006@moe.edu.my,Bandar,SK,214,24,TIADA,TIADA,101.1143016,4.638455769
75,PERAK,PPD KINTA UTARA,Rendah,SK,ABA2007,SEKOLAH KEBANGSAAN CHEPOR,JALAN JELAPANG,31200,CHEMOR,052017246,052012135,ABA2007@moe.edu.my,Bandar,SK,840,69,ADA,ADA,101.0863176,4.683860296
76,PERAK,PPD KINTA UTARA,Rendah,SK,ABA2008,SEKOLAH KEBANGSAAN HAJI MAHMUD,JALAN SEKOLAH,31200,CHEMOR,052011534,052018980,ABA2008@moe.edu.my,Bandar,SK,856,64,TIADA,TIADA,101.1202054,4.720517799
77,PERAK,PPD KINTA UTARA,Rendah,SK,ABA2009,SEKOLAH KEBANGSAAN SYED IDRUS,KUANG,31200,CHEMOR,052015669,052015669,ABA2009@moe.edu.my,Luar Bandar,SK,182,26,ADA,ADA,101.1405666,4.769492539
78,PERAK,PPD KINTA UTARA,Rendah,SK,ABA2010,SEKOLAH KEBANGSAAN DATO' PANGLIMA KINTA,JALAN TUN PERAK,30200,IPOH,052545680,052544884,ABA2010@moe.edu.my,Bandar,SK,283,28,TIADA,TIADA,101.069669,4.591497
79,PERAK,PPD KINTA UTARA,Rendah,SK,ABA2011,SEKOLAH KEBANGSAAN JALAN PANGLIMA BUKIT GANTANG,JALAN PANGLIMA BUKIT GANTANG WAHAB,30000,IPOH,052559896,052432785,ABA2011@moe.edu.my,Bandar,SK,586,42,TIADA,TIADA,101.079627,4.607156
80,PERAK,PPD KINTA UTARA,Rendah,SK,ABA2012,SEKOLAH KEBANGSAAN SERI KEPAYANG,FAIR PARK,31400,IPOH,055450905,055450905,ABA2012@moe.edu.my,Bandar,SK,177,32,ADA,ADA,101.0964641,4.60649572
81,PERAK,PPD KINTA UTARA,Rendah,SK,ABA2014,SEKOLAH KEBANGSAAN KAMPUNG PASIR PUTEH,TAMAN SHATIN,31650,IPOH,053219041,053233870,ABA2014@moe.edu.my,Bandar,SK,791,59,TIADA,TIADA,101.074761,4.562289613
82,PERAK,PPD KINTA UTARA,Rendah,SK,ABA2015,SEKOLAH KEBANGSAAN KUALA PARI,JALAN TOH PUAN RAHMAH,31450,MENGLEMBU,052821788,052821788,ABA2015@moe.edu.my,Bandar,SK,281,27,TIADA,TIADA,101.0678129,4.57853477
83,PERAK,PPD KINTA UTARA,Rendah,SK,ABA2016,SEKOLAH KEBANGSAAN PENGKALAN PEGOH,"JALAN SIMPANG PULAI, KG. PENGKALAN PEGOH",31500,LAHAT,053216399,053216399,ABA2016@moe.edu.my,Bandar,SK,941,69,ADA,ADA,101.0696308,4.531342109
84,PERAK,PPD KINTA SELATAN,Rendah,SK,ABA2017,SEKOLAH KEBANGSAAN PENGKALAN BAHARU,"JALAN GOPENG, KG. KEPAYANG",31300,KG. KEPAYANG,053576199,053577962,ABA2017@moe.edu.my,Bandar,SK,331,30,TIADA,TIADA,101.1189996,4.492805503
85,PERAK,PPD KINTA SELATAN,Rendah,SK,ABA2030,SEKOLAH KEBANGSAAN TOH INDERA WANGSA AHMAD,JALAN SULAIMAN,31000,BATU GAJAH,053661253,053652576,ABA2030@moe.edu.my,Bandar,SK,796,69,TIADA,TIADA,101.040258,4.471507
86,PERAK,PPD KINTA SELATAN,Rendah,SK,ABA2031,SEKOLAH KEBANGSAAN SIPUTEH,SIPUTEH,31560,SIPUTEH,053660621,053660621,ABA2031@moe.edu.my,Bandar,SK,641,54,ADA,ADA,100.997639,4.467954
87,PERAK,PPD KINTA SELATAN,Rendah,SK,ABA2032,SEKOLAH KEBANGSAAN TRONOH,JALAN BOTA LAMA,31750,TRONOH,053679414,053677410,ABA2032@moe.edu.my,Bandar,SK,255,21,TIADA,TIADA,100.986224,4.418751
88,PERAK,PPD KINTA SELATAN,Rendah,SK,ABA2033,SEKOLAH KEBANGSAAN KG. SERI RAHMAT,JALAN CHANGKAT LARANG,31500,LAHAT,053665516,053665516,ABA2033@moe.edu.my,Bandar,SK,88,12,TIADA,TIADA,101.077179,4.50207
89,PERAK,PPD KINTA SELATAN,Rendah,SK,ABA2034,SEKOLAH KEBANGSAAN TANJUNG TUALANG,BATU 7,31000,BATU GAJAH,053702155,053702155,ABA2034@moe.edu.my,Bandar,SK,99,17,TIADA,TIADA,101.061239,4.368111
90,PERAK,PPD KINTA SELATAN,Rendah,SK,ABA2035,SEKOLAH KEBANGSAAN AYER PAPAN,KAMPUNG AYER PAPAN,31800,TANJONG TUALANG,053607099,053607099,ABA2035@moe.edu.my,Luar Bandar,SK,81,12,TIADA,TIADA,101.053742,4.311469
91,PERAK,PPD KINTA SELATAN,Rendah,SK,ABA2036,SEKOLAH KEBANGSAAN CHANGKAT TIN,CHANGKAT TIN,31800,TANJUNG TUALANG,053607925,053607925,ABA2036@moe.edu.my,Luar Bandar,SK,130,21,ADA,ADA,101.052636,4.278091
92,PERAK,PPD KINTA SELATAN,Rendah,SK,ABA2038,SEKOLAH KEBANGSAAN BAKAP,JALAN TG. TUALANG,31000,BATU GAJAH,053668792,053668792,ABA2038@moe.edu.my,Bandar,SK,293,28,TIADA,TIADA,101.044991,4.444662
93,PERAK,PPD KINTA UTARA,Rendah,SK,ABA2039,SEKOLAH KEBANGSAAN PASUKAN POLIS HUTAN,JALAN PASUKAN POLIS HUTAN,31150,ULU KINTA,055335358,055331131,ABA2039@moe.edu.my,Bandar,SK,808,73,ADA,ADA,101.1712708,4.655241326
94,PERAK,PPD KINTA SELATAN,Rendah,SK,ABA2040,SEKOLAH KEBANGSAAN AYER DENAK,TRONOH,31750,TRONOH,TIADA,TIADA,ABA2040@moe.edu.my,Bandar,SK,97,12,TIADA,TIADA,101.013205,4.350163
95,PERAK,PPD KINTA UTARA,Rendah,SK,ABA2041,SEKOLAH KEBANGSAAN MANJOI (SATU),"JALAN  MASJID, KG. MANJOI",30020,IPOH,055260408,055286572,ABA2041@moe.edu.my,Bandar,SK,434,37,TIADA,TIADA,101.071705,4.618595
96,PERAK,PPD KINTA UTARA,Rendah,SK,ABA2042,SEKOLAH KEBANGSAAN GURU KALGIDHAR,"JALAN GUNTONG, BUNTONG",30100,IPOH,052413269,052413269,ABA2042@moe.edu.my,Bandar,SBK,71,15,TIADA,TIADA,101.064374,4.592886
97,PERAK,PPD KINTA UTARA,Rendah,SK,ABA2043,SEKOLAH KEBANGSAAN MANJOI (DUA),JALAN MASJID KG. MANJOI,30020,IPOH,055265441,055268129,ABA2043@moe.edu.my,Bandar,SK,316,36,TIADA,TIADA,101.0720727,4.618859166
