,,,,,
SENARAI BALAI BOMBA DAN PENYELAMAT DI SELURUH MALAYSIA,,,,,
,,,,,
Bil ,Negeri,Zon,Balai,Alamat ,Perhubungan 
,,,,,Email: bbp-segamat.bomba@1govuc.gov.my 
14 ,Johor ,Zon Muar ,BBP Jalan Abdullah ,"Jalan Abdullah, Segamat 85648, Johor ",Tel:07-9314444
,,,,,Fax:079313203
,,,,,Email: bbp-jlnabd.bomba@1govuc.gov.my 
15 ,Johor ,Zon Muar ,BBP Tangkak ,"Jalan Ah Jin, Tangkak 84900, Johor ",Tel:06-9783444
,,,,,Fax:06-9788464
,,,,,Email: bbp-tangkak.bomba@1govuc.gov.my 
16 ,Johor ,Zon Muar ,BBP Labis ,"Jalan Muar, Labis 85300, Johor ",Tel:07-9254444
,,,,,Fax:07-9255433
,,,,,Email: bbp-labis.bomba@1govuc.gov.my
17 ,Johor ,Zon Muar ,BBP Bukit Gambir ,"Jalan Gersik Bukit Gambir, Ledang, 84700, Johor ",Tel:06-9762444
,,,,,Fax: 06-9763144
,,,,,Email: bbp-bktgambir.bomba@1govuc.gov.my 
18 ,Johor ,Zon Kluang ,BBP Kluang ,"Jalan Haji Manan, Kluang 86000, Johor ",Tel:07-7724444/7724450
,,,,,Fax:07-7717244
,,,,,Email: bbp-kluang.bomba@1govuc.gov.my 
19 ,Johor ,Zon Kluang ,BBP Batu Pahat (Timah Sari) ,"Jalan Timah Sari Batu Pahat 83000, Johor ",Tel:07-4342444
,,,,,Fax:07-4331158
,,,,,Email: bbp-timahsari.bomba@1govuc.gov.my 
20 ,Johor ,Zon Kluang ,BBP Jln Mohd Khalid ,"Jalan Mohd Khalid, Batu Pahat 83000, Johor ",Tel:07-4338444
,,,,,Fax:07-4348675
,,,,,Email: bbp-jlnkhalid.bomba@1govuc.gov.my 
21 ,Johor ,Zon Kluang ,BBP Yong Peng ,"Jalan Templer, Yong Peng, 83700, Johor ",Tel:07-4674444
,,,,,Fax:07-4676844
,,,,,Email: bbpyong peng@bomba.gov.my 
22 ,Johor ,Zon Kluang ,BBP Rengit ,"Jalan Besar, Rengit, 83100, Johor ",Tel:07-4243444
,,,,,Fax:07-4244925
,,,,,Email: bbp-rengit.bomba@1govuc.gov.my 
23 ,Johor ,Zon Kluang ,BBP Renggam ,"Jalan Bukit, Renggam 86300, Johor ",Tel:07-7535444
,,,,,Fax:07-7536636
,,,,,Email: bbp-renggam.bomba@1govuc.gov.my 
24 ,Johor ,Zon Kluang ,BBP Ayer Hitam ,"Jalan Kluang-Batu Pahat, Ayer Hitam 86100, Johor ",Tel:077582206
,,,,,Fax:077581518
,,,,,Email: bbp-airhitam.bomba@1govuc.gov.my 
25 ,Johor ,Zon Kota Tinggi ,BBP Kota Tinggi ,"Jalan Tun Habab Kota Tinggi 81900, Johor ",Tel:07-8831444
,,,,,Fax:07-8821644
,,,,,Email: bbp_kotatinggi@bomba.gov.my 
26 ,Johor ,Zon Kota Tinggi ,BBP Penawar ,"Jalan Dato' Wan Idris, Bandar Penawar 81930, Johor ",Tel:07-8224444
,,,,,Fax:07-8224055
,,,,,Email: bbp-penawar.bomba@1govuc.gov.my 
27 ,Johor ,Zon Kota Tinggi ,BBP Mersing ,"Jalan Temenggong, Mersing 86800, Johor ",Tel:07-7994444
,,,,,Fax:07-7994944
,,,,,Email: bbp-mersing.bomba@1govuc.gov.my 
28 ,Johor ,Zon Kota Tinggi ,BBP Endau ,"Jalan Masjid Endau 86900, Johor ",Tel:07-7945444
,,,,,Fax:07-7942946
,,,,,Email: bbp-endau.bomba@1govuc.gov.my 
29 ,Melaka ,Zon Melaka Tengah ,BBP Jalan Kubu ,"Jalan Kubu 75200, Melaka",Tel:06-2838481 / 8482
,,,,,Fax:06-2849677/06-2838490
,,,,,Email: bbp-jkb.bomba@1govuc.gov.my 
30 ,Melaka ,Zon Melaka Tengah ,BBP Ayer Keroh ,"Jalan Ayer Keroh Lama, Bukit Beruang 75450, Melaka ",Tel:06-2319134 / 2319135
,,,,,Fax:06-2322406
,,,,,Email: bombamel@bomba.gov.my 
31 ,Melaka ,Zon Melaka Tengah ,BBP Bukit Katil ,"Jalan Tun Hamzah 75450, Melaka ",Tel:06-2311315
,,,,,Fax:06-2311343
,,,,,Email: kwl-bkl@bomba.gov.my
32 ,Melaka ,Zon Melaka Tengah ,BBP Jasin ,"Jalan Jasin, 77000 Melaka",Tel:06-5291444
,,,,,Fax:06-5293463
,,,,,Email:  kwl-jsn@bomba.gov.my
33 ,Melaka ,Zon Melaka Tengah ,BBP Merlimau ,"Jalan Batu Gajah, Merlimau 77300, Melaka",Tel:06-2631444
,,,,,Fax:06-2633942
,,,,,Email:  kwl-mlu@bomba.gov.my
34 ,Melaka ,Zon Melaka Tengah ,BBP Tangga Batu ,"Jalan Bukit Rambai, 75250, Melaka",Tel:06-3517994 / 7916
,,,,,Fax:06-3516994
,,,,,Email:  kwl-tgb@bomba.gov.my
35 ,Melaka ,Zon Melaka Tengah ,BBP Jasin Bestari ,"Jalan Taman Maju, Jasin 77000, Melaka ",Tel:06-5293736
,,,,,Fax:06-5292407
,,,,,Email: kwl-jsb@bomba.gov.my
36 ,Melaka ,Zon Alor Gajah ,BBP Alor Gajah ,"Jalan Kelemak, Alor Gajah 78000, Melaka",Tel:06-5562444
,,,,,Fax:06-5566500
,,,,,Email: kwl-alg@bomba.gov.my
37 ,Melaka ,Zon Alor Gajah ,BBP Masjid Tanah ,"Bt 17, Jalan Solok Duku, Masjid Tanah 78300, Melaka  ",Tel:06-3842444
,,,,,Fax:06-3851807
,,,,,Email: kwl-mst@bomba.gov.my
38 ,Negeri Sembilan ,Zon Seremban ,BBP Seremban ,"Jln. Zaaba, Seremban 70100, Negeri Sembilan ",Tel:06-7677089 / 7624444
,,,,,Fax:06-7674444
,,,,,Email: bbp_seremban@bomba.gov.my
39 ,Negeri Sembilan ,Zon Seremban ,BBP Seremban 2 ,"70300 Seremban, Negeri Sembilan ",Tel:06-6013393
,,,,,Fax:06-6013464
,,,,,Email: bbp_seremban2@bomba.gov.my
40 ,Negeri Sembilan ,Zon Seremban ,BBP Senawang ,"71450 Senawang, Negeri Sembilan ",Tel:06-6779202
,,,,,Fax:06-6784444
,,,,,Email: bbp_senawang@bomba.gov.my
41 ,Negeri Sembilan ,Zon Seremban ,BBP Mantin ,"Bt. 11, Jln. Besar SBN - KL, Mantin 71700, Negeri Sembilan ",Tel:06-7583198
,,,,,Fax:06-7586582
,,,,,Email: bbp_mantin@bomba.gov.my
42 ,Negeri Sembilan ,Zon Seremban ,BBP Nilai ,"Bandar Baru Nilai 71800, Negeri Sembilan ",Tel:06-7940051
,,,,,Fax:06-7940053
,,,,,Email: bbp_nilai@bomba.gov.my
43 ,Negeri Sembilan ,Zon Port Dickson ,BBP Port Dickson ,"Lot 1670, Port Dickson 71000, Negeri Sembilan ",Tel:06-6471444
,,,,,Fax:06-6463457
,,,,,Email: bbp_portdickson@bomba.gov.my
44 ,Negeri Sembilan ,Zon Port Dickson ,BBP Teluk Kemang ,"Bt. 8, Jln. Pantai, Port Dickson 71050, Negeri Sembilan ",Tel:06-6621171
,,,,,Fax:06-6627701
,,,,,Email: bbp_telukkemang@bomba.gov.my
45 ,Negeri Sembilan ,Zon Port Dickson ,BBP Rembau ,"Rembau 71300, Negeri Sembilan ",Tel:06-6851233
,,,,,Fax:06-6858609
,,,,,Email: bbp-rembau@bomba.gov.my 
46 ,Negeri Sembilan ,Zon Port Dickson ,BBP Tampin ,"Tampin 73000, Negeri Sembilan ",Tel:06-4411333
,,,,,Fax:06-4418799
,,,,,Email: bbp_tampin@bomba.gov.my
47 ,Negeri Sembilan ,Zon Port Dickson ,BBP Gemas ,"Tmn Desa Permai, Gemas, 73400, Negeri Sembilan ",Tel:07-9481333
,,,,,Fax:07-9485284
,,,,,Email: bbp_gemas@bomba.gov.my
48 ,Negeri Sembilan ,Zon Jempol ,BBP Jempol ,"Bandar Seri Jempol 72120, Negeri Sembilan ",Tel:06-4581484
,,,,,Fax:06-4582424
,,,,,Email: bbp_serijempol@bomba.gov.my
49 ,Negeri Sembilan ,Zon Jempol ,BBP Bahau ,"Bahau 72100, Negeri Sembilan ",Tel:06 4541333
,,,,,Fax:06 4542061
,,,,,Email: bbp-bahau.bomba@1govuc.gov.my 
50 ,Negeri Sembilan ,Zon Jempol ,BBP Kuala Pilah ,"Bt. 1, Jln. Bahau, Kuala Pilah 72000, Negeri Sembilan ",Tel:06-4811333
,,,,,Fax:06-4811055
,,,,,Email: bbp_kualapilah@bomba.gov.my
51 ,Negeri Sembilan ,Zon Jempol ,BBP Jelebu ,"Kuala Kelawang, 71600, Negeri Sembilan ",Tel:06-6136333
,,,,,Fax:06-6138692
,,,,,Email: bbp_jelebu@bomba.gov.my
52 ,Negeri Sembilan ,Zon Jempol ,BBP Simpang Pertang ,"Jelebu 72300, Negeri Sembilan ",Tel:06-4920060 / 4920068
,,,,,Fax:06-4920070
,,,,,Email: bbp-spgpertang.bomba@1govuc.gov.my 
53 ,Selangor ,Zon Shah Alam ,BBP Shah Alam ,"Persiaran Sultan, Seksyen 15, Shah Alam 40200, Selangor ",Tel:03-55194444
,,,,,Fax:03-55134716/02324
,,,,,Email: bbp-shahalam.bomba@1govuc.gov.my 
54 ,Selangor ,Zon Shah Alam ,BBP Bukit Jelutong ,"Persiaran Tebar Layar, Seksyen U8, Bukit Jelutong, Shah Alam 40150, Selangor ",Tel:03-78464211
,,,,,Fax:03-78472446
,,,,,Email: mfarid-hussin.bomba@1govuc.gov.my 
55 ,Selangor ,Zon Shah Alam ,BBP Sungai Buloh ,"Jalan 3/2, Bandar Baru, Sungai Buloh 47000, Selangor ",Tel:03-61575055 / 57
,,,,,Fax:03-61577871
,,,,,Email: sabri-deen.bomba@1govuc.gov.my 
56 ,Selangor ,Zon Petaling ,BBP Jalan Penchala ,"No. 81, Jalan Penchala, Petaling Jaya 46050, Selangor ",Tel:03-77821994
,,,,,Fax: 03-77831994
,,,,,Email: bbp-penchala.bomba@1govuc.gov.my 
57 ,Selangor ,Zon Petaling ,BBP Subang Jaya ,"Lot 7345, Jalan SS 17/2, Subang Jaya 47500, Selangor ",Tel:03-56349444/8444
,,,,,Fax:03-56314077
,,,,,Email: bbp-subang.bomba@1govuc.gov.my 
58 ,Selangor ,Zon Petaling ,BBP Serdang ,"Jalan Raya Satu, Seri Kembangan, 43300 Selangor ",Tel:03-89416281/7636
,,,,,Fax:03-89416436
,,,,,Email: bbp-serikmbgn.bomba@1govuc.gov.my 
59 ,Selangor ,Zon Petaling ,BBP Damansara ,"Jalan SS 2/2, Petaling Jaya 47300, Selangor ",Tel:03-77294444
,,,,,Fax:03-77292341
,,,,,Email: bbp_damansara@bomba.gov.my 
60 ,Selangor ,Zon Petaling ,BBP Seksyen 7 Petaling Jaya ,"Jalan Yong Shook Lin, Petaling Jaya 46675 Selangor ",Tel:03-79854444/5857
,,,,,Fax:03-79542513
,,,,,Email: bbp-pj.bomba@1govuc.gov.my 
61 ,Selangor ,Zon Petaling ,BBP Puchong ,"Jalan Wawasan, Pusat Bandar Puchong, Puchong 47100, Selangor ",Tel:03-80707879/60/34
,,,,,Fax:03-80707849
,,,,,Email: bbp-puchong.bomba@1govuc.gov.my 
62 ,Selangor ,Zon Hulu Langat ,BBP Pandan Indah ,"Jalan Pandan Utama, Pandan Indah 55100, Selangor ",Tel:03-92746253/92746250
,,,,,Fax:03-92746316
,,,,,Email: bbp-pandan.bomba@1govuc.gov.my 
63 ,Selangor ,Zon Hulu Langat ,BBP Ampang ,"Jalan Merdeka, Ampang 68000, Selangor ",Tel:03-42924444
,,,,,Fax:03-42961312
,,,,,Email: bbp-ampang.bomba@1govuc.gov.my 
64 ,Selangor ,Zon Hulu Langat ,BBP Bangi ,"Jalan Kemajuan, Seksyen 16, Bandar Baru Bangi 43650, Selangor ",Tel:03-89254444
,,,,,Fax:03-89262344
,,,,,Email: bbp-bangi.bomba@1govuc.gov.my 
65 ,Selangor ,Zon Hulu Langat ,BBP Kajang ,"Jalan Bukit Mewah, Kajang 43000, Selangor ",Tel:03-87364444
,,,,,Fax:03-87361344
,,,,,Email: bbp_kajang@bomba.gov.my 
66 ,Selangor ,Zon Hulu Langat ,BBP Semenyih ,"Jalan TPS 1/7, Taman Pelangi, Semenyih 43500, Selangor ",Tel:03-60783959
,,,,,Fax:tiada
,,,,,Email: bbp_semenyih@bomba.gov.my 
67 ,Selangor ,Zon Klang ,BBP Pelabuhan Klang ,"Persiaran Raja Muda Musa, Pelabuhan Klang 42000, Selangor ",Tel:03-31684444/9764
,,,,,Fax:03-31655934
,,,,,Email: bbp-pelklang.bomba@1govuc.gov.my 
68 ,Selangor ,Zon Klang ,BBP Kota Raja ,"Jalan Gedung Raja Abdullah,Klang 41000, Selangor ",Tel:03-33714444/32160
,,,,,Fax:03-33731854
,,,,,Email: bbp-kotaraja.bomba@1govuc.gov.my 
69 ,Selangor ,Zon Klang ,BBP Andalas ,"Jalan Tun Dr. Ismail, Taman Seri Andalas, Klang 41200, Selangor ",Tel:03-33734444
,,,,,Fax:03-33738013
,,,,,Email: bbp-andalas@bomba.gov.my 
70 ,Selangor ,Zon Klang ,BBP Sungai Pinang ,"Batu 1 1/2, Jalan Kapar, Klang 41400, Selangor ",Tel:03-33424444
,,,,,Fax:03-33731854
,,,,,Email: bbp-sgpinang.bomba@1govuc.gov.my 
71 ,Selangor ,Zon KLIA ,BBP KLIA ,"B20, K.L. International Airport, Sepang 64000, Selangor ",Tel:03-87874970/4975
,,,,,Fax:03-87874986
,,,,,Email: bbp-klia.bomba@1govuc.gov.my 
72 ,Selangor ,Zon KLIA ,BBP Cyberjaya ,"Persiaran APEC, Cyberjaya 63000, Selangor ",Tel:03-83184944
,,,,,Fax:03-83184944 / 03-83196997
,,,,,Email: izman-adnan.bomba@1govuc.gov.my 
73 ,Selangor ,Zon KLIA ,BBP Banting ,"Jalan Sultan Abdul Samad, Banting 42700, Selangor ",Tel:03-31871444
,,,,,Fax:03-31815055
,,,,,Email: bbp_banting@bomba.gov.my 
74 ,Selangor ,Zon KLIA ,BBP Sepang ,"Sepang 43900, Selangor ",Tel:03-31421333
,,,,,Fax:03-31421515
,,,,,Email: bbp_sepang@bomba.gov.my
75 ,Selangor ,Zon Sabak Bernam ,BBP Sabak Bernam ,"Jalan Raja Chulan, Sabak Bernam 45200, Selangor ",Tel:03-32161444
,,,,,Fax:03-32164588
,,,,,Email: bbp-sabak.bomba@1govuc.gov.my 
76 ,Selangor ,Zon Sabak Bernam ,BBP Sungai Besar ,"Jalan Sungai Limau, Sungai Besar, 45300 Selangor ",Tel:03-32246434/912
,,,,,Fax:03-32244816
,,,,,Email: bbp-sgbesar.bomba@1govuc.gov.my 
77 ,Selangor ,Zon Sabak Bernam ,BBP Sekinchan ,"Jalan Bernam, Sekinchan 45400, Selangor ",Tel:03-32418075
,,,,,Fax:03-32417039
,,,,,Email: bbp-sekinchan.bomba@1govuc.gov.my 
78 ,Selangor ,Zon Sabak Bernam ,BBP Tanjung Karang ,"Jalan Bomba, Tanjung Karang 45500, Selangor ",Tel:03-32698444 / 4424
,,,,,Fax:03-32693448
,,,,,Email: bbp-tjgkarang.bomba@1govuc.gov.my 
79 ,Selangor ,Zon Sabak Bernam ,BBP Kuala Selangor ,"Jalan Keramat Tanjung, Kuala Selangor 45000, Selangor ",Tel:03-32891444 / 7682
,,,,,Fax:03-32897751
,,,,,Email: bbp-kualasgor.bomba@1govuc.gov.my 
80 ,Selangor ,Zon Sabak Bernam ,BBP Bestari Jaya ,"Bestari Jaya 45600, Selangor ",Tel:03-32719444
,,,,,Fax:03-32717395
,,,,,Email: bbp-bestari.bomba@1govuc.gov.my 
81 ,Selangor ,Zon Rawang ,BBP Selayang ,"Jalan Persiaran 1, Bandar Baru Selayang 68100, Selangor ",Tel:03-61365944/7944
,,,,,Fax:03-61387145
,,,,,Email: azrul-khairi.bomba@1govuc.gov.my 
82 ,Selangor ,Zon Rawang ,BBP Rawang ,"Lot PT4248, Jalan Lingkaran, Kawasan Perindustrian Rawang Integrasi, Rawang 48000, Selangor ",Tel:03-60924444/16429
,,,,,Fax:03-60916434
,,,,,Email: bbp-rawang.bomba@1govuc.gov.my 
83 ,Selangor ,Zon Rawang ,BBP Kuala Kubu Bahru ,"Lot 718, Jalan Ampang Pecah, Kuala Kubu Bharu 44000, Selangor ",Tel:03-60641444 / 4597
,,,,,Fax:0360642661
,,,,,Email: bbp-kkb.bomba@1govuc.gov.my 
84 ,Selangor ,Zon Rawang ,BBP Batu Arang ,"Batu Arang 48100, Selangor ",Tel:03-60352444
,,,,,Fax:03-60353040
,,,,,Email: bbp-arang.bomba@1govuc.gov.my 
85 ,WP Kuala Lumpur ,- ,BBP Jalan Hang Tuah ,"Jalan Hang Tuah 55200, WP Kuala Lumpur ",Tel:03-92217222
,,,,,Fax:03-92226979
,,,,,Email: bbp_pusat@bomba.gov.my 
86 ,WP Kuala Lumpur ,- ,BBP Seputih ,"Jalan Taman Desa 58100, WP Kuala Lumpur ",Tel:03-79848753
,,,,,Fax:03-79848753
,,,,,Email: bbp_tmndesa@bomba.gov.my
87 ,WP Kuala Lumpur ,- ,BBP Jinjang ,"Jalan Jinjang Utara 52000, WP Kuala Lumpur ",Tel:03-62574444
,,,,,Fax:03-62500344
,,,,,Email: bbp-jinjang.bomba@1govuc.gov.my 
88 ,WP Kuala Lumpur ,- ,BBP Gombak Selatan ,"Jalan 2/10, Taman Koperasi Polis Fasa 168100, WP Kuala Lumpur ",Tel:03-61859639
,,,,,Fax:03-61851344
,,,,,Email: bbp_gombakselatan@bomba.gov.my
89 ,WP Kuala Lumpur ,- ,BBP Wangsa Maju ,"Jalan Taman Melati 1, Setapak 53100,WP Kuala Lumpur ",Tel:603-41073444
,,,,,Fax:603-41089244
,,,,,Email: bbp-wm.bomba@1govuc.gov.my 
90 ,WP Kuala Lumpur ,- ,BBP Setapak ,"Jalan Air Jernih, Setapak, 53200, WP Kuala Lumpur ",Tel:03-40235544
,,,,,Fax:03-40228444
,,,,,Email: bbp-setapak.bomba@bomba.gov.my
91 ,WP Kuala Lumpur ,- ,BBP Sentul ,"Batu 2 1/2, Jalan Ipoh 50480, WP Kuala Lumpur ",Tel:0340441994
,,,,,Fax:034043 1344
,,,,,Email: bbp-sentul.bomba@1govuc.gov.my 
92 ,WP Kuala Lumpur ,- ,BBP Keramat ,"Jalan Jelatek, 54200, WP Kuala Lumpur ",Tel:03-42514863
,,,,,Fax:03-42514858
,,,,,Email: bbp_jelatek@bomba.gov.my 
93 ,WP Kuala Lumpur ,- ,BBP Titiwangsa ,"Jalan Haji Hussien, 50300, WP Kuala Lumpur ",Tel:03-26913703
,,,,,Fax:03-26984444
,,,,,Email: bbp_chowkit@bomba.gov.my
94 ,WP Kuala Lumpur ,- ,BBP Sri Hartamas ,"Jln 23/70A, Desa Sri Hartamas, 50480, WP Kuala Lumpur ",Tel:03-62032071
,,,,,Fax:03-62032498
,,,,,Email: bbp-shartamas.bomba@bomba.gov.my
95 ,WP Kuala Lumpur ,- ,BBP Taman Tun Dr Ismail ,"Jln Tun Mohd Fuad 60000, WP Kuala Lumpur ",Tel:03-77284444
,,,,,Fax:03-77299444
,,,,,Email: bbp_ttdi@bomba.gov.my
96 ,WP Kuala Lumpur ,- ,BBP Pantai ,"Jalan Pantai Baru 59200, WP Kuala Lumpur ",Tel:03-22824444
,,,,,Fax:03-22826344
,,,,,Email: bbp_pantai@bomba.gov.my 
97 ,WP Kuala Lumpur ,- ,BBP Pudu ,"Jalan Pudu, 55100, WP Kuala Lumpur ",Tel:03-92220336/40
,,,,,Fax:03-92220341
,,,,,Email: bbp_pudu.bomba@1govuc.gov.my 
98 ,WP Kuala Lumpur ,- ,BBP Cheras ,"Jalan Manis 1, Taman Segar, Cheras 56100, WP Kuala Lumpur",Tel:03-91329490
,,,,,Fax:03-91300344
,,,,,Email: bbp_cheras@bomba.gov.my 
99 ,WP Kuala Lumpur ,- ,BBP Sungai Besi ,"57000, WP Kuala Lumpur ",Tel:03-90584444
,,,,,Fax:03-90573344
,,,,,Email: bbp_sgbesi@bomba.gov.my
100 ,WP Kuala Lumpur ,- ,BBP Bandar Tun Razak ,"Jalan Yaakob Latif 56000, WP Kuala Lumpur ",Tel:03-91312440
,,,,,Fax:03-91321706
,,,,,Email: bbp_btr@bomba.gov.my
101 ,WP Kuala Lumpur ,- ,BBP Bukit Jalil ,"Lebuhraya Bukit Jalil-Puchong 57000, WP Kuala Lumpur ",Tel:03-89967457
,,,,,Fax:03-89968241
,,,,,Email: bbp_bktjalil@bomba.gov.my
102 ,Perak ,Zon Ipoh ,BBP Ipoh ,"Jalan Kompleks Sukan31400, Ipoh 31400, Perak ",Tel:05-5474444 / 2596
,,,,,Fax:05-545 8714
,,,,,Email: bbp_ipoh@bomba.gov.my
103 ,Perak ,Zon Ipoh ,BBP Kampar ,"Jalan Iskandar Kampar 31900, Perak ",Tel:05-4664444
,,,,,Fax:05-4661744
,,,,,Email: bbp-kampar.bomba@1govuc.gov.my 
104 ,Perak ,Zon Ipoh ,BBP Kuala Kangsar ,"Jalan Taiping 33000, Kuala Kangsar 33000, Perak ",Tel:05-7764444
,,,,,Fax:05-7774715
,,,,,Email: bbp_kkangsar@bomba.gov.my
105 ,Perak ,Zon Ipoh ,BBP Batu Gajah ,"Jalan Bomba 31000, Batu Gajah 31000, Perak ",Tel:05-3664444
,,,,,Fax:05-3669587
,,,,,Email: bbp_btgajah@bomba.gov.my
106 ,Perak ,Zon Ipoh ,BBP Gopeng ,"Jalan Key Long 31600, Gopeng 31600, Perak ",Tel:05-3594444
,,,,,Fax:05 – 3592176
,,,,,Email: bbp_gopeng@bomba.gov.my 
107 ,Perak ,Zon Ipoh ,BBP Sungai Siput ,"Jalan Besar Sungai Siput (U) 31100, Perak ",Tel:05-5982444
,,,,,Fax:05-5989045
,,,,,Email: bbp_sgsiput@bomba.gov.my 
108 ,Perak ,Zon Ipoh ,BBP Pasir Putih ,"Jalan Pasir Puteh 31650, Pengkalan31650, Perak ",Tel:05-3229549 / 9548
,,,,,Fax:05-321 6402
,,,,,Email: bbp_pputeh@bomba.gov.my
109 ,Perak ,Zon Ipoh ,BBP Simpang Pulai ,"Kepayang Sungai Raia Simpang Pulai 31300, Perak ",Tel:05-3574444/1123
,,,,,Fax:05-3575772
,,,,,Email: bbp_spgpulai@bomba.gov.my
110 ,Perak ,Zon Ipoh ,BBP Meru Raya ,"Ipoh 30020, Perak ",Tel:055264444
,,,,,Fax:055268655
,,,,,Email: bbp_meru@bomba.gov.my 
111 ,Perak ,Zon Taiping ,BBP Taiping ,"Jalan Panggung Wayang 34000, Taiping 34000, Perak ",Tel:05-8084444
,,,,,Fax:05 - 8052969
,,,,,Email: bbp_taiping@bomba.gov.my 
112 ,Perak ,Zon Taiping ,BBP Pengkalan Hulu ,"Jalan Sri Adika Raja 33100, Pengkalan Hulu33100, Perak ",Tel:04-4778344
,,,,,Fax:04-4770544
,,,,,Email: bbp-pgklnhulu.bomba@1govuc.gov.my 
113 ,Perak ,Zon Taiping ,BBP Gerik ,"Jalan Intan Gerik 33300, Perak ",Tel:05-7911444
,,,,,Fax:05-7916109
,,,,,Email: bbp_gerik@bomba.gov.my 
114 ,Perak ,Zon Taiping ,BBP Lenggong ,"Jalan Besar 33400, Lenggong 33400, Perak ",Tel:05-7677444
,,,,,Fax:05-7679750
,,,,,Email: bbp-lenggong@bomba.gov.my 
115 ,Perak ,Zon Taiping ,BBP Selama ,"Jalan Menteri Selama 34100, Perak ",Tel:05-8394444
,,,,,Fax:05-8396480
,,,,,Email: bbp-selama.bomba@1govuc.gov.my 
116 ,Perak ,Zon Taiping ,BBP Parit Buntar ,"Lorong Bomba 34200, Parit Buntar 34200, Perak ",Tel:05-7164444
,,,,,Fax:05-7171609
,,,,,Email: bbp-ptbuntar.bomba@1govuc.gov.my 
117 ,Perak ,Zon Taiping ,BBP Kamunting ,"Kawasan Perindustrian Kamunting, Kamunting 34600, Perak ",Tel:05-8912322
,,,,,Fax:05-8913520
,,,,,Email: bbp-kamunting.bomba@1govuc.gov.my 
118 ,Perak ,Zon Taiping ,BBP Kuala Kurau ,"Jalan Pantai 34350, Kuala Kurau 34350, Perak ",Tel:05-7277444
,,,,,Fax:05 – 727 6478
,,,,,Email: bbp_kkurau@bomba.gov.my
