,,,,,,,,,,,
13,BALAI ,BALAI POLIS TAMAN PERLING,"NO. 23, JLN PERSISIRAN PERLING, BALAI POLIS TAMAN PERLING",81200,JOHOR BAHRU,JOHOR,07-236 8122,07-237 8122,kpb_perling@rmp.gov.my,TIADA,
14,BALAI,BALAI POLIS BATU PAHAT,JLN  BAKAU CHONDONG B/PAHAT,83000,BATU PAHAT,JOHOR,07-4363300,07-4348171,kpb_btpahat@rmp.gov.my,Polis Daerah Batu Pahat,
15,BALAI,BALAI POLIS YONG PENG,JLN YONG PENG/AYER HITAM,83700,BATU PAHAT,JOHOR,07-4671222,07-4671222,kpb_yongpeng@rmp.gov.my,Polis Daerah Batu Pahat,
16,BALAI,BALAI POLIS RENGIT,JLN BESAR PEKAN RENGIT,83100,BATU PAHAT,JOHOR,07-4241222,07-4241222,kpb_rengit@rmp.gov.my,Polis Daerah Batu Pahat,
17,BALAI,BALAI POLIS PARIT SULONG,JLN SIMPANG LIMA B/PAHAT,83500,BATU PAHAT,JOHOR,07-4186222,07-4186222,kpb_ptsulong@rmp.gov.my,Polis Daerah Batu Pahat,
18,BALAI,BALAI POLIS SENGGARANG,JLN ISMAIL PEKAN SENGGARANG,83200,BATU PAHAT,JOHOR,07-4291222,07-4291222,kpb_senggarang@rmp.gov.my,Polis Daerah Batu Pahat,
19,BALAI,BALAI POLIS AYER HITAM,JLN YONG PENG/AYER HITAM,86100,BATU PAHAT,JOHOR,07-7581222,07-7581222,kpb_airhitam@rmp.gov.my,Polis Daerah Batu Pahat,
20,BALAI,BALAI POLIS TONGKANG PECHAH,JLN BESAR TONGKANG PECHAH,83010,BATU PAHAT,JOHOR,07-4151222,07-4151222,kpb_tongkang@rmp.gov.my,Polis Daerah Batu Pahat,
21,BALAI,BALAI POLIS PARIT RAJA,JLN KLUANG BT PAHAT,86400,BATU PAHAT,JOHOR,07-4541222,07-4541222,kpb_ptraja@rmp.gov.my,Polis Daerah Batu Pahat,
22,BALAI,BALAI POLIS SRI GADING,JLN KLUANG BT PAHAT,83300,BATU PAHAT,JOHOR,07-4558222,07-4558222,kpb_sgading@rmp.gov.my,Polis Daerah Batu Pahat,
23,BALAI,BALAI POLIS SEMERAH,JLN BT PAHAT/MUAR,83600,BATU PAHAT,JOHOR,07-4161222,07-4161222,kpb_semerah@rmp.gov.my,Polis Daerah Batu Pahat,
24,BALAI,BALAI POLIS SRI MEDAN,JLN PEKAN SRI MEDAN,83400,BATU PAHAT,JOHOR,07-4850222,07-4850222,kpb_smedan@rmp.gov.my,Polis Daerah Batu Pahat,
25,BALAI,BALAI POLIS KLUANG,JALAN SEKOLAH,86000,KLUANG,JOHOR,07-7784259,07-7731322,kpb_kluang@rmp.gov.my,Balai Polis Kluang,
26,BALAI,BALAI POLIS SRI LALANG,"JALAN MERDEKA, SRI LALANG",86000,KLUANG,JOHOR,07-7595222,07-7595222,kbp_slalang@rmp.gov.my,TIADA,
27,BALAI,BALAI POLIS KAMPUNG GAJAH,JALAN MERSING,86000,KLUANG,JOHOR,07-7879222,07-7879222,kpb_kggajahjhr@rmp.gov.my,TIADA,
28,BALAI,BALAI POLIS KAHANG,"BT. 22, JALAN MERSING",86700,KAHANG,JOHOR,07-7883122,07-7883122,kpb_kahang@rmp.gov.my,Balai Kahang,
29,BALAI,BALAI POLIS PALOH,JALAN ABU BAKAR,86600,PALOH,JOHOR,07-7811222,07-7811222,kpb_paloh@rmp.gov.my,Balai Polis Paloh,
30,BALAI,BALAI POLIS LAYANG-LAYANG,JALAN PEJABAT POS,81850,LAYANG-LAYANG,JOHOR,07-7526222,07-7526222,kpb_layang2@rmp.gov.my,TIADA,
31,BALAI,BALAI POLIS SIMPANG RENGGAM,"KM 75, JALAN JOHOR SIMPANG RENGGAM",86200,SIMPANG RENGGAM,JOHOR,07-7557222,07-7557222,kpb_srenggam@rmp.gov.my,Balai Polis Simpang Renggam,
32,BALAI,BALAI POLIS RENGGAM,BALAI POLIS RENGGAM,86300,RENGGAM,JOHOR,07-7535222,07-7535222,kpb_renggam@rmp.gov.my,TIADA,
33,BALAI,PONDOK POLIS KLUANG BARU,JALAN KAMPUNG PAYA,86000,KLUANG,JOHOR,07-7732222,07-7732222,amran_othman@rmp.gov.my,TIADA,
34,BALAI,BALAI POLIS MUAR,JALAN MERIAM,84000,MUAR,JOHOR,06-9564869,06-9518782,kpb_muar@rmp.gov,TIADA,
35,BALAI,BALAI POLIS LENGA,BALAI POLIS LENGA,84040,MUAR,JOHOR,06-9711457,06-9711322,kpb_lenga@rmp.gov,TIADA,
36,BALAI,BALAI POLIS PAGOH,BALAI POLIS PAGOH,84600,MUAR,JOHOR,06-9746222,06-9746522,kpb_pagoh@rmp.gov,TIADA,
37,BALAI,BALAI POLIS PANCHOR,JALAN ABD RAHMAN,84500,MUAR,JOHOR,06-9736222,06-9736222,kpb_panchor@rmp.gov,TIADA,
38,BALAI,BALAI POLIS BUKIT PASIR,JALAN PANCHOR,84300,MUAR,JOHOR,06-9856222,06-9856222,kpb_bktpasir@rmp.gov,TIADA,
39,BALAI,BALAI POLIS BAKRI,JALAN BAKRI,84200,MUAR,JOHOR,06-9866222,06-9866222,kpb_bakri@rmp.gov,TIADA,
40,BALAI,BALAI POLIS PARIT JAWA,JALAN TEMENGGONG AHMAD,84150,MUAR,JOHOR,06-9874122,06-9874122,kpb_ptjawa@rmp.gov,TIADA,
41,BALAI,BALAI POLIS NUSA BESTARI,"NO. 187, JALAN BESTARI 2/5, TAMAN NUSA BESTARI, SKUDAI",81300,SKUDAI,JOHOR,07-5114222,07-5114522,roslantahir@rmp.gov.my,TIADA,
42,BALAI,BALAI POLIS KANGKAR PULAI,JALAN PEKAN LAMA,81110,KANGKAR PULAI,JOHOR,07-5271255,07-5271255,kpb_kangkarpulai@rmp.gov.my,TIADA,
43,BALAI,BALAI POLIS GELANG PATAH,JALAN MERANTI,81550,GELANG PATAH,JOHOR,07-5101222,07-5101222,farashahriza@rmp.gov.my,TIADA,
44,BALAI,BALAI POLIS TG. KUPANG,TAMAN DESA PAYA MENGKUANG,81560,GELANG PATAH,JOHOR,07-5071522,07-5071522,kpb_tgkupang@rmp.gov.my,Balai Polis Tg Kupang,
45,BALAI,BALAI POLIS ULU CHOH,JALAN JOHOR BAHRU - PONTIAN,81150,JOHOR BAHRU,JOHOR,07-6991522,07-6991522,hamran_a@rmp.gov.my,TIADA,
46,BALAI,BALAI POLIS BUKIT INDAH,"NO.2, JALAN INDAH 5/4, TAMAN BUKIT INDAH",81200,JOHOR BAHRU,JOHOR,07-2347122,07-2347322,kpb_bktindah@rmp.gov.my,TIADA,
47,BALAI,BALAI POLIS MUTIARA RINI,"NO.26, JALAN UTAMA 45, TAMAN MUTIARA RINI",81300,SKUDAI,JOHOR,07-5515122,07-5515122,razukeni@rmp.gov.my,TIADA,
48,BALAI,BALAI POLIS ISKANDAR PUTERI,"LOT 375, PERSIARAN LEDANG HEIGHT",79250,ISKANDAR PUTERI,JOHOR,07-5103222,07-5104222,wongch@rmp.gov.my,TIADA,
49,BALAI,BALAI POLIS PONTIAN,JALAN SEKOLAH ARAB,82000,PONTIAN,JOHOR,07-6871222,07-6870549,kpb_pontian@rmp.gov.my,TIADA,
50,BALAI,BALAI POLIS PEKAN NANAS,BALAI POLIS PEKAN NANAS,81500,PONTIAN,JOHOR,07-6991222,07-6991222,kpb_pnenas@rmp.gov.my,TIADA,
51,BALAI,BALAI POLIS PERMAS,"BALAI POLIS PERMAS, KUKUP",82300,PONTIAN,JOHOR,07-6960222,07-6960222,kpb_permas@rmp.gov.my,TIADA,
52,BALAI,BALAI POLIS KAYU ARA PASONG,"JKR 1186, JALAN KAYU ARA PASONG",82010,PONTIAN,JOHOR,07-6951222,07-6951222,kpb_kapasong@rmp.gov.my,TIADA,
53,BALAI,BALAI POLIS AYER BALOI,BALAI POLIS AYER BALOI,82100,PONTIAN,JOHOR,07-6931222,07-6931222,kpb_airbaloi@rmp.gov.my,TIADA,
54,BALAI,BALAI POLIS BENUT,"JKR 1628, KM 86 JLN JOHOR BAHRU - BATU PAHAT",82200,PONTIAN,JOHOR,07-6903222,07-6903222,kpb_benut@rmp.gov.my,BALAI POLIS BENUT,
55,BALAI,BALAI POLIS SEGAMAT,"IBU PEJABAT POLIS DAERAH, JALAN IBRAHIM",85000,SEGAMAT,JOHOR,07-9312222,07-9312993,kpb_segamat@rmp.gov.my,TIADA,
56,BALAI,BALAI POLIS LABIS,"BALAI POLIS LABIS, 85300 LABIS JOHOR.",85300,"LABIS, SEGAMAT",JOHOR,07-9251222,07-9251222,kbp_labis@rmp.gov.my,TIADA,
57,BALAI,BALAI POLIS BULOH KASAP,"BALAI POLIS BULOH KASAP, JALAN BULOH KASAP, 85010 SEGAMAT, JOHOR",85010,"BULOH KASAP, SEGAMAT",JOHOR,07-9441222,07-9441222,kpb_bkasap@rmp.gov.my,TIADA,
58,BALAI,BALAI POLIS BATU ANAM,JKR  1090 JALAN BESAR,85100,"BATU ANAM, SEGAMAT",JOHOR,07-9499222,07-9499223,kpb_btanam@rmp.gov.my,TIADA,
59,BALAI,BALAI POLIS JEMENTAH,"BALAI POLIS JEMENTAH, 85200 JEMENTAH, SEGAMAT JOHOR.",85200,"JEMENTAH, SEGAMAT",JOHOR,07-9471222,07-9471222,kpb_jementah@rmp.gov.my,TIADA,
60,BALAI,BALAI POLIS TENANG,TENANG STESEN,85030,"TENANG, SEGAMAT",JOHOR,07-9279222,07-9279222,kpb_tenang@rmp.gov.my,TIADA,
61,BALAI,BALAI POLIS BEKOK,JALAN PEJABAT POS,86500,"BEKOK, SEGAMAT",JOHOR,07-9212222,07-9221222,kpb_bekok@rmp.gov.my,TIADA,
62,BALAI,BALAI POLIS CHAAH,"BALAI POLIS CHAAH, 85400 CHAAH, SEGAMAT JOHOR.",85400,"CHAAH, SEGAMAT",JOHOR,07-9262422,07-9262422,kpb_chaah@rmp.gov.my,TIADA,
63,BALAI,BALAI POLIS KULAI,JALAN PERSIARAN INDAHPURA 4,81000,KULAI,JOHOR,76632222,76622522,kpb_kulai@rmp.gov.my,TIADA,
64,BALAI,BALAI POLIS SENAI,"BALAI POLIS SENAI,JALAN JOHOR BAHRU AIR HITAM,",81400,SENAI,JOHOR,75991222,75990122,kpb_senai@rmp.gov.my,TIADA,
65,BALAI,BALAI POLIS KELAPA SAWIT,JALAN KELAPA SAWIT 9,81030,KULAI,JOHOR,76525122,76526122,kpb_ksawit@rmp.gov.my,TIADA,
66,BALAI,BALAI POLIS AIR BEMBAN,"BALAI POLIS AIR BEMBAN,JALAN JOHOR BAHRU AIR HITAM",81010,KULAI,JOHOR,76561223,76561222,kpb_abemban@rmp.gov.my,TIADA,
67,BALAI,BALAI POLIS LAPANGAN TERBANG SENAI,BALAI POLIS LAPANGAN TERBANG SENAI,81400,SENAI,SENAI,75997313,75999122,kpb_ltsisenai@rmp.gov.my,TIADA,
68,BALAI,BALAI POLIS TANGKAK,IBU PEJABAT POLIS DAERAH TANGKAK,84900,TANGKAK,JOHOR,06-9781222,06-9789122,kpb_tangkak@rmp.gov.my,TIADA,
69,BALAI,"BALAI POLIS 
SUNGAI MATI","BALAI POLIS SUNGAI MATI, 84400 SUNGAI MATI, TANGKAK JOHOR.",84400,"SUNGAI 
MATI, TANGKAK",JOHOR,06-9751222,06-9751222,kpb_sgmati@rmp.gov.my,TIADA,
70,BALAI,"BALAI POLIS 
BUKIT GAMBIR","KM 25, JLN BESAR, BKT. GAMBIR",84800,TANGKAK,JOHOR,06-9781222,06-9789122,kpb_bktgambir@rmp.gov.my,TIADA,
71,BALAI,BALAI POLIS GRISEK,"BALAI POLIS GRISEK, 84700 TANGKAK JOHOR.",84700,TANGKAK,JOHOR,06-9728222,06-9728222,kpb_grisek@rmp.gov.my,TIADA,
72,BALAI,BALAI POLIS SAGIL,KM 41 JLN SEGAMAT,84020,SAGIL,JOHOR,06-9772222,06-9772222,kpb_sagil@rmp.gov.my,TIADA,
73,BALAI,"BALAI POLIS
KEBUN BARU","BALAI POLIS KEBUN BARU, 85200 TANGKAK, JOHOR.",85200,TANGKAK,JOHOR,07-9471233,07-9471233,kpb_kbaru@rmp.gov.my,TIADA,
74,BALAI,BALAI POLIS MERSING,"JALAN SULTANAH, MERSING, JOHOR",86800,MERSING,JOHOR,07-7998629,07-7994222,kpb_mersing@rmp.gov.my,TIADA,
75,BALAI,BALAI POLIS ENDAU,"JALAN DATO' MOHD ALI ENDAU, JOHOR",86900,"ENDAU, MERSING",JOHOR,07-7943222,07-7943223,kpb_endau@rmp.gov.my,TIADA,
76,BALAI,BALAI POLIS JEMALUANG,"JALAN MERSING - KOTA TINGGI, MERSING, JOHOR  ",86810,MERSING,JOHOR,07-7921222,07-7921622,kpb_jemaluang@rmp.gov.my,TIADA,
77,BALAI,BALAI POLIS SG. AMBAT,"BALAI POLIS SG. AMBAT MERSING, JOHOR",86810,MERSING,JOHOR,07-7915222,07-7915222,kpb_sgambat@rmp.gov.my,TIADA,
78,BALAI,BALAI POLIS SERI ALAM,JALAN PERSIARAN SERI ALAM BDR SERI ALAM,81750,MASAI,JOHOR,07-3886422,07-3886422,kpb serialam@rmp.gov.my,TIADA,
79,BALAI,BALAI POLIS JOHOR JAYA,JALAN ROSEMERAH 3/14 TMN JOHOR JAYA,81100,JOHOR BAHRU,JOHOR,07-3532124,07-3534861,kpb tmnjhrjaya@rmp.gov.my,TIADA,
80,BALAI,BALAI POLIS DESA CEMERLANG,"NO 1 JALAN CEMERLANG, TAMAN DESA CEMERLANG ",81800,ULU TIRAM,JOHOR,07-8616122,07-8618522,kpb ulutiram@rmp.gov.my,TIADA,
81,BALAI,BALAI POLIS ULU TIRAM,"KM 19, JALAN KOTA TINGGI",81800,ULU TIRAM,JOHOR,07-8611222,07-8611222,kpb dcemerlang@rmp.gov.my,TIADA,
82,BALAI,BALAI POLIS PLENTONG,JALAN BUNGA MATAHARI,81750,MASAI,JOHOR,07-3873122,07-3881754,kpb plentong@rmp.gov.my,BalaiPolisPlentong_oficial,
83,BALAI,BALAI POLIS MASAI,JALAN MASAI LAMA,81750,MASAI,JOHOR,07-2511222,07-2511222,kpb masai@rmp.gov.my,TIADA,
84,BALAI,BALAI POLIS PASIR GUDANG,JALAN MASJID,81700,PASIR GUDANG,JOHOR,07-2513222,07-2513222,kpb pgudang@rmp.gov.my,TIADA,
85,BALAI,BALAI POLIS SCIENTEX,"JALAN KELISA 5, CASSIA TMN SCIENTEX",81700,PASIR GUDANG,JOHOR,07-2561422,07-2561422,kpb scientex@rmp.gov.my,TIADA,
86,BALAI,BALAI POLIS TAMAN PASIR PUTIH,"NO 32 JALAN SIAKAP 10, TMN PASIR PUTIH",81700,PASIR GUDANG,JOHOR,07-2524122,07-2528122,kpb tmnpputih@rmp.gov.my,TIADA,
87,BALAI,BALAI POLIS KOTA TINGGI,BALAI POLIS KOTA TINGGI,81900,KOTA TINGGI,JOHOR,07-8831222,07-8822410,kpb ktinggi@rmp.gov.my,Polis Daerah Kota Tinggi,
88,BALAI,BALAI POLIS BATU AMPAT,JKR 551 JALAN LOMBONG,81900,KOTA TINGGI,JOHOR,07-8832222,07-8832222,kpb bampat@rmp.gov.my,BalaiPolis BatuAmpat,
89,BALAI,BALAI POLIS MAWAI,"BATU 9, JALAN MAWAI",81900,KOTA TINGGI,JOHOR,07-8826299,07-882629,kpb mawai@rmp.gov.my,Polis Balai Mawai,
90,BALAI,BALAI POLIS KUALA SEDILI,JALAN TELUK MAHKOTA,81910,KOTA TINGGI,JOHOR,07-8918222,07-8918222,kpb ksedili@rmp.gov.my,TIADA,
91,BALAI,BALAI POLIS BANDAR TENGGARA,BALAI POLIS BANDAR TENGGARA,81440,BANDAR TENGGARA,JOHOR,07-8961122,07-8961122,kpb btenggara@rmp.gov.my,Balai Polis Bandar Tenggara,
92,BALAI,BALAI POLIS BUKIT BESAR,BALAI POLIS BUKIT BESAR,81450,KULAI,JOHOR,07-8977222,07-8977222,kpb bktbesar@rmp.gov.my,Polis Bukit Besar,
93,BALAI,BALAI POLIS BANDAR PENAWAR,JALAN DATO' MUHAMMAD,81930,KOTA TINGGI,JOHOR,07-8221122,07-8221122,kpb bpenawar@rmp.gov.my,Balai Polis Bandar Penawar,
94,BALAI,BALAI POLIS SUNGAI RENGIT,BALAI POLIS SUNGAI RENGIT,81620,PENGERANG,JOHOR,07-8263222,07-8263222,kpb sgrengit@rmp.gov.my,Balai Polis Sungai Rengit,
95,BALAI,BALAI POLIS GUGUSAN ADELA,BALAI POLIS GUGUSAN ADELA,81900,KOTA TINGGI,JOHOR,07-8278199,07-8276322,,TIADA,
96,BALAI,BALAI POLIS PENGERANG,BALAI POLIS PENGERANG,81600,KOTA TINGGI,JOHOR,07-8252222,07-8252222,kpb pengerang@rmp.gov.my,Balai Polis Pengerang,
97,BALAI,BALAI POLIR AIR TAWAR 2,BALAI POLIS AIR TAWAR 2,81920,KOTA TINGGI,JOHOR,07-8932222,07-8932222,kpb airtawar2@rmp.gov.my,Balai Polis Air Tawar 2,
98,BALAI,BALAI POLIS TELOK SENGAT,BALAI POLIS TELOK SENGAT,81900,KOTA TINGGI,JOHOR,07-8955222,07-8955222,kpb tsengat@rmp.gov.my,Balai Polis Telok Sengat,
99,BALAI,BALAI POLIS BAYU DAMAI,JALAN PERSIARAN BAYU DAMAI 1/1,81620,KOTA TINGGI,JOHOR,07-8263139,TIADA,TIADA,TIADA,
100,BALAI,BALAI POLIS   DANG WANGI,JALAN DANG WANGI,50100,KUALA LUMPUR,WILAYAH PERSEKUTUAN,03-26002222,TIADA,kpb_dangwangi@rmp.gov.my,TIADA,
101,BALAI,BALAI POLIS      TUN H. S. LEE,"BALAI POLIS TUN H.S LEE, LOT 1,2 DAN 3, JALAN LOKE YEW",55200,KUALA LUMPUR,WILAYAH PERSEKUTUAN,03-9221 2222,03-92210442,Kpb_dhslee@rmp.com.my,TIADA,
102,BALAI,BALAI POLIS  CHOW KIT,"BALAI POLIS CHOW KIT, LORONG HAJI TAIB 1",50350,KUALA LUMPUR,WILAYAH PERSEKUTUAN,03-2693 9022,03-26948507,Kpb_chowkit@rmp.gov.my,TIADA,
103,BALAI,BALAI POLIS RAJA BOT,"BALAI  POLIS RAJA BOT, JALAN RAJA BOT",50300,KUALA LUMPUR,WILAYAH PERSEKUTUAN,03-2694 8022,TIADA,Kpb_rajabot@rmp.gov.my,TIADA,
104,BALAI,BALAI POLIS KENANGA,"BALAI POLIS KENANGA, JALAN SAMPENG",55200,KUALA LUMPUR,WILAYAH PERSEKUTUAN,03-9222 2222,TIADA,Kpbkenangan_@rmp.com.my,TIADA,
105,BALAI,BALAI POLIS PUTRA,"NO: 90, BALAI POLIS PUTRA, JALAN DATO HAJI EUSOFF",50400,KUALA LUMPUR,WILAYAH PERSEKUTUAN,03-4044 5022,TIADA,Kpb_putra@rmp.gov.my,TIADA,
106,BALAI,BALAI POLIS  BRICKFIELDS,"LOT 188, BATU 3 ½ , JLN KLANG LAMA",58000,KUALA LUMPUR,KUALA LUMPUR,03-79824999,03-79821916,kpb_brickfields@rmp.gov.my,Brickfields KL,
107,BALAI, BALAI POLIS PANTAI,JLN PANTAI BHARU,59200,KUALA LUMPUR,KUALA LUMPUR,03-2282222,03-22822095 ,kpb_pantai@rmp.gov.my,BALAI POLIS PANTAI - MODERN POLICING,
108,BALAI,BALAI POLIS HARTAMAS,JALAN HARTAMAS,58200,KUALA LUMPUR,KUALA LUMPUR,03-62019222,TIADA,kpb_hartamasi@rmp.gov.my,Brickfields KL,
109,BALAI,BALAI POLIS          SRI PETALING,"NO 17 JLN RADIN ANUM 1,",57000,BANDAR BARU SRI PETALING,KUALA LUMPUR,03-90572222,TIADA,kpb_sripetaling@rmp.gov.my,Brickfields KL,
110,BALAI,BALAI POLIS  TRAVERS,"NO 1, JLN SELANGOR, OFF JLN TARVERS",50480,KUALA LUMPUR,KUALA LUMPUR,03-22824222,03-22820236,kpb_travers@rmp.gov.my,Brickfields KL,
111,BALAI,BALAI POLIS     TTDI,"JLN BURHANUDIN HELMI,",60000,TAMAN TUN DR ISMAIL,KUALA LUMPUR,03-77286222,TIADA,kpb_ttdi@rmp.gov.my,Brickfields KL,
112,BALAI,BALAI POLIS PETALING,"BATU 5 ½ , JLN KLANG LAMA",58200,KUALA LUMPUR,KUALA LUMPUR,03-77826222,03-77811164,kpb_petaling@rmp.gov.my,Brickfields KL,
113,BALAI,BALAI POLIS PRESINT 7 ,BALAI POLIS PRESINT 7,62300,PRESINT 7,WILAYAH PERSEKUTUAN PUTRAJAYA ,03-88862233,TIADA,kpb_presint7@rmp.gov.my ,TIADA,
114,BALAI,BALAI PRESINT 11,BALAI POLIS PRESINT 11,62300,PRESINT 11,WILAYAH PERSEKUTUAN PUTRAJAYA ,03-8892222,TIADA,kpb_presint11@rmp.gov.my ,TIADA ,
115,BALAI,BALAI POLIS CHERAS,BALAI POLIS CHERAS LOT 36 JLN CHERAS  ,56100,KUALA LUMPUR,WILAYAH PERSEKUTUAN ,03-9050392,03-92810354,kpb_cheras@rmp.gov.my,TIADA ,
116,BALAI,BALAI POLIS          SG BESI,BALAI POLIS SG BESI,57000,KUALA LUMPUR,WILAYAH PERSEKUTUAN ,"03-90582222/
03-90585277
",TIADA,kpb_sgbesi@rmp.gov.my,TIADA ,
117,BALAI,BALAI POLIS SALAK SELATAN,JALAN BESAR SALAK SELATAN,57100,KUALA LUMPUR,WILAYAH PERSEKUTUAN ,379832222,379832071,kpb_slkselatan@rmp.gov.my,BALAI POLIS SALAK SELATAN,
118,BALAI,BALAI POLIS SALAK SELATAN BARU,"BALAI POLIS SALAK SELATAN BARU, 57100 KUALA LUMPUR",57100,KUALA LUMPUR,WILAYAH PERSEKUTUAN ,03-79815053,03-79821882,kpb_sselatanbr@rmp.gov,FB:  Balai Polis Salak Selatan Baru,
119,BALAI,BALAI POLIS  BUKIT JALIL,JALAN ALAM SUTERA UTAMA,57000,KUALA LUMPUR,WILAYAH PERSEKUTUAN ,03 89943284,TIADA,Kpb_bktjalil@rmp.gov.my,Balai Polis      Bukit Jalil,
120,BALAI,BALAI POLIS SENTUL,JALAN SENTUL,51200,KUALA LUMPUR,WILAYAH PERSEKUTUAN,03-40482226/     2225,03-40400767,kpb_sentul@rmp.gov.my,TIADA,
121,BALAI,BALAI POLIS UTC SENTUL,JALAN 1/48 BANDAR BARU SENTUL,51000,KUALA LUMPUR,WILAYAH PERSEKUTUAN,03-61842222,TIADA,TIADA,TIADA,
122,BALAI,BALAI POLIS BATU 3,BATU 3 OFF JALAN IPOH,52100,KUALA LUMPUR,WILAYAH PERSEKUTUAN,TIADA,TIADA,DITUTUP UNTUK PROJEK MRT,TIADA,
123,BALAI,BALAI POLIS JINJANG,JALAN JINJANG UTAMA JINJANG UTARA,52000,KUALA LUMPUR,WILAYAH PERSEKUTUAN,03-62572222,03-62505061,kpb_jinjang@rmp.gov.my,TIADA,
124,BALAI,BALAI POLIS KOMUNITI BATU,NO 45/10 TAMAN KOPERASI POLIS FASA 2,68100,BATU CAVES KUALA LUMPUR,WILAYAH PERSEKUTUAN,03-61842222,TIADA,TIADA,TIADA,
125,BALAI,BALAI POLIS KOMUNITI SRI SINAR,"TAMAN SRI SINAR, SEGAMBUT",51200,KUALA LUMPUR,WILAYAH PERSEKUTUAN,03-62758022,TIADA,TIADA,TIADA,
126,BALAI,BALAI POLIS KOMUNITI SRI MURNI,"KM 12 PASAR BORONG, JLN IPOH   ",68100,PUSAT BANDAR UTARA KUALA LUMPUR,WILAYAH PERSEKUTUAN,03-61202222,TIADA,TIADA,TIADA,
127,BALAI,BALAI POLIS KEPONG, JALAN BESAR KEPONG KUALA LUMPUR,52100,KEPONG,WPKL,03-62742222,03-62750479,kpb_kepong@rmp.gov.my,TIADA,
128,BALAI,BALAI POLIS WANGSA MAJU,"KETUA POLIS BALAI WANGSA MAJU, JALAN 3/27A, WANGSA MAJU",53300,KUALA LUMPUR,W.P PERSEKETUAN,03-4149222,TIADA,kpb_wangsamaju@rmp.gov.my,BALAI WANGSA MAJU KL,
129,BALAI,BALAI POLIS SETAPAK,"KETUA BALAI POLIS SETAPAK, JALAN GOMBAK, SETAPAK",53000,KUALA LUMPUR,W.P PERSEKETUAN,03-40232222,TIADA,kpb_setapak@rmp.gov.my,TIADA,
130,BALAI,BALAI POLIS JALAN TUN RAZAK,KETUA BALAI POLIS  JALAN TUN RAZAK,50400,KUALA LUMPUR,W.P PERSEKETUAN,03-21412222,TIADA,kpb_jlntrazak@rmp.gov.my,BALAI POLIS JALAN TUN RAZAK,
