Judul,Isi,Label
Sandiaga Tugaskan Kepala BPKD DKI Atur Pertemuan dengan BPK,"Wakil Gubernur DKI Jakarta Sandiaga Uno sudah meminta Kepala Badan Pengelola Keuangan Daerah (BPKD) Michael Rolandi mengatur pertemuan dengan Badan Pemeriksa Keuangan. Pertemuan itu akan digelar untuk membahas aset Pemprov DKI Jakarta senilai Rp 10 triliun yang tak jelas asal-muasalnya. ""Jadi memang harus duduk sama-sama dengan BPK. Saya sudah perintahkan Pak Michael sih mengatur pertemuan,"" kata Sandiaga saat dihubungi detikcom, Selasa (28/11/2017). Sandiaga mengatakan beberapa aset yang dinyatakan oleh BPK bermasalah itu berasal dari pengembang reklamasi Pantai Utara Jakarta. Aset yang dimaksud merupakan tambahan kontribusi pengembang. Wagub yang diusung Partai Gerindra dan PKS itu meyakini ada perbedaan persepsi antara Pemprov DKI dan BPK. Karena itu, Sandiaga mengatakan harus ada diskusi lebih mendalam dengan BPK. ""Jadi jangan sampai diakui menjadi aset oleh BPK tapi belum diakui aset oleh DKI, karena kewajibannya belum timbul. Nah, itu yang harus didudukin antara kami sama BPK untuk memastikan persepsi yang sama tentang klasifikasi aset yang timbul berdasarkan kewajiban pengembang,"" papar Sandiaga. ""Iya, termasuk itu, semua nyampur. Kopi susu itu. Jadi kita mesti sortir satu-satu,"" imbuhnya. BPK memberikan opini wajar dengan pengecualian (WDP) terhadap laporan keuangan Pemprov DKI Jakarta 2016. Salah satu penyebabnya adalah aset-aset yang tidak masuk dalam APBD, termasuk aset dari pengembang reklamasi. ",fact
Ini Mobil Listrik yang akan Dijajal Jokowi Saat Peresmian Tol Sumo,"Presiden Joko Widodo direncanakan akan menjajal mobil listrik saat peresmian Tol Surabaya-Mojokerto (Sumo) seksi 1B, II, dan III. Mobil listrik yang akan dijajal Jokowi merupakan karya mahasiswa Insitut Teknologi Sepuluh Nopember (ITS) Surabaya. Meski Presiden Jokowi hanya mengungkapkan keinginannya menjajal mobil listrik, namun setidaknya ada lima produk dari Pusat Unggulan Iptek Sistem dan Kontrol Otomotif (PUI SKO) ITS yang akan diperlihatkan pada peresmian tol Sumo nanti. Produk-produk tersebut adalah satu unit mobil listrik Ezzy II, satu unit supercar Lowo Ireng, dua unit motor listrik Gesits, serta satu unit bus bertenaga surya dan listrik.""Presiden Jokowi rencananya akan menjajal naik mobil listrik Ezzy II ini saat peresmian Tol Sumo besok,"" tutur Dr Muhammad Nur Yuniarto ST, Direktur PUI SKO ITS dalam rilis yang diterima detikcom, Senin (18/12/2017). Mobil listrik Ezzy II sendiri merupakan generasi kedua pengembangan dari mobil listrik Ezzy I yang telah dirintis terlebih pada tahun 2013 lalu. Mobil listrik Ezzy II memiliki spesifikasi yang jauh lebih baik dari generasi sebelumnya. Mobil listrik Ezzy II menggunakan tenaga baterai sebesar 20 kWh dengan kemampuan jarak tempuh 130 km. Selain itu, mobil ini bisa melaju dengan kecepatan maksimum 180 km per jam dengan pendistribusian berat yang jauh lebih stabil. Sejumlah persiapan pun telah dilalui tim dari PUI SKO ITS untuk memberikan performansi terbaik untuk bisa dijajal presiden nantinya. ""Mobil dan motor yang akan ditunjukkan ke Pak Presiden ini telah diuji coba selama dua malam terakhir ini dan sekarang telah siap untuk digunakan saat peresmian Tol Sumo,"" jelas Ayuning Fitri Desanti, salah satu teknisi mobil listrik ITS. Selain dilakukan pengecekan mesin dan uji coba kelayakan jalan, kendaraan-kendaraan tersebut juga harus dibersihkan lebih dahulu. Teknisi juga mengisi ulang energinya hingga penuh agar terlihat prima saat ditunjukkan di hadapan Jokowi. Dengan adanya ketertarikan Presiden Jokowi melihat dan menjajal langsung mobil listrik produk ITS, Nur mengatakan pihaknya ingin melihat seberapa besar keseriusan pemerintah nantinya dalam mengembangkan mobil listrik karya anak bangsa ke depannya. Pasalnya, sejauh ini baru motor listrik Gesits yang sudah mulai menemukan titik terang rencana produksi massal. Sementara mobil listrik belum mendapat perhatian yang serius. ""Lewat kesempatan ini, kami ingin melihat keseriusan pemerintah dalam mengembangkan mobil listrik di Indonesia,"" ujar alumnus doctoral dari The University of Manchester Institute of Science and Technology (UMIST), England ini.",fact
Ical: Golkar Hebat| Mau Ribut-ribut Nanti Bersatu Lagi,"Ketua Dewan Pembina Golkar Aburizal Bakrie (Ical) melontarkan pujian terhadap partainya. Menurutnya, Golkar adalah partai solid meski sempat bergejolak. ""Golkar tuh paling hebatlah. Mau ribut-ribut nanti juga bersatu lagi. Itu namanya Golkar,"" ujar Ical di JCC Senayan, Jakarta, Senin (18/12/2017). Ical memaparkan filosofi Golkar yang berlogo pohon beringin. Ia menilai Golkar tetap kokoh sampai saat ini dan solid mendukung Airlangga Hartarto sebagai ketum. ""Akarnya kuat ke bawah. Begitu angin tertiup, ada beberapa helai daun jatuh, pohonnya tetap kokoh,"" terang Ical. Presiden Joko Widodo (Jokowi) sebelumnya menyebut Golkar harus solid. Jokowi mengatakan masih banyak pembangunan negeri yang perlu dilakukan bersama-sama. ""Masih banyak pekerjaan yang perlu kita lakukan bersama-sama, berkarya untuk mewujudkan Indonesia-sentris. Oleh karena itu, Partai Golkar harus solid, harus utuh,"" ucap Jokowi dalam sambutannya di Munaslub Golkar.",fact
Paparkan Hasil Kajian Kelistrikan| KPK Minta PLN Perbaiki 5 Hal Ini,"KPK menyebut ada efisiensi tata kelola kelistrikan yang belum diterapkan PLN. Ada 5 poin yang disampaikan KPK kepada Direktur Utama PT PLN Sofyan Basir dan harus segera ditindaklanjuti. ""Dalam kajian ini, KPK memaparkan 5 poin analisis: minimnya kendali dalam penyediaan energi primer jangka panjang, kurangnya integritas perencanaan kapasitas listrik menimbulkan inefisiensi. Belum seragamnya tata kelola di masing-masing regional, belum optimalnya pengelolaan pembangkit existing, dan pengelolaan suplai yang tidak sesuai optimasi akibat dari ketidakselarasan penyelesaian proyek pembangkit dan transmisi,"" ujar Kabiro Humas KPK Febri Diansyah kepada wartawan, Senin (18/12/2017). Menurut Febri, KPK serius menangani kajian ini. Hal ini ditunjukkan dengan kehadiran 5 pimpinan KPK ikut dalam paparan kepada Sofyan dan jajaran PLN dari beberapa regional. Kajian itu harus ditanggapi PLN dengan perbaikan. Misalnya, proaktif mengamankan suplai energi menggunakan skema pembelian energi primer terkendali. PLN juga diminta merevisi kontrak jual-beli listrik dan memperbaiki model kontrak Take or Pay (TOP). ""Untuk menyeragamkan tata kelola, PLN direkomendasikan untuk menerapkan satu best practice di suatu regional untuk diterapkan di seluruh regional,"" sambung dia. Terakhir, beberapa aspek juga disebut Febri perlu diperbaiki pengelolaannya, antara lain audit pembangkit, monitoring proyek, mitigasi fraud dalam proyek, dan Better Operation & Maintenance (O&M) Practice. Hasil rekomendasi ini akan dipantau terus oleh KPK. Nantinya progres perbaikan akan diminta lewat laporan berkala dari PLN. ""Untuk tindak lanjut, PLN diminta menyampaikan rencana aksi kepada KPK paling lambat pekan kedua Januari 2018. Penyampaian kemudian harus disertai dengan penyampaian pelaksanaan rencana aksi secara berkala setiap 3 bulan beserta kendala yang dihadapi dan rencana aksi berikutnya,"" terang Febri.",fact
Paspampres Sempat Larang Ketua Golkar Sultra Masuk Arena Munaslub,"Ada kejadian menarik saat pembukaan Munaslub Golkar malam ini. Ketua DPD I Golkar Sultra Ridwan Bae sempat tak diperbolehkan masuk ke arena munaslub oleh Paspampres. Mengapa? ""Iya, saya sempat tak boleh masuk karena tak punya ID. Tapi akhirnya boleh dan lolos,"" ujar Ridwan setelah menghadiri munaslub di JCC Senayan, Jakarta, Senin (18/12/2017). Untuk masuk ke arena munaslub, memang diharuskan memiliki kartu pengenal khusus. Apalagi pembukaan munaslub dihadiri Presiden Joko Widodo dan pengamanannya diperketat oleh Paspampres. Lantas, bagaimana akhirnya Ridwan bisa masuk ke arena munaslub? ""Saya masuk ditanyakan sama Paspampres. Sesudah ditanyakan, ya sudah, tapi setelah saya nego, kami dari Sultra laporkan, ya sudah melipir ke kanan dan masuk,"" jawab Ridwan. Ridwan menghormati hal tersebut karena merupakan standar protokoler kepresidenan. Ia mengaku kartu identitasnya belum tercetak. ""ID itu belum terekam saya punya. Jadi belum dibuatkan gitu,"" ungkap Ridwan. ",fact
Harus Member| Pembeli Sabu Diskotek MG Wajib Bayar Rp 600 Ribu,"Badan Narkotika Nasional (BNN) menengarai laboratorium sabu liquid di Diskotek MG Club Internasional sudah berlangsung tahunan. Bagaimana modus operandi penjualan sabu liquid di diskotek tersebut? Deputi Penindakan BNN Arman Depari menjelaskan pembeli sabu liquid di diskotek tersebut haruslah terdaftar sebagai member. ""Pembeli adalah tamu diskotek yang memiliki kartu anggota yang berlaku enam bulan. Setiap pembuatan kartu dan perpanjangan harus membayar Rp 600 ribu,"" kata Arman dalam keterangannya kepada detikcom, Senin (18/12/2017). Arman mengatakan setiap pengunjung yang ingin membeli sabu liquid di diskotek tersebut harus memperlihatkan kartu keanggotaan kepada kapten. Selanjutnya, kapten akan meminta kurir menyiapkan sabu liquid tersebut. ""Selanjutnya kurir mengontak penghubung dan penghubung meminta narkoba ke lantai 4 yang menjadi tempat penyimpanan dan produksi,"" lanjutnya. Nantinya, penghubung akan menyerahkan pesanan tersebut kepada kurir serta meminta uang sesuai harga. Selanjutnya, kurir menyerahkan barang tersebut kepada tamu/pembeli. ""Dia jual harga Rp 400 ribu per botol,"" ujar Arman. Dalam kasus ini, BNN menetapkan lima tersangka. Kelimanya adalah FD yang berperan sebagai kapten, DM berperan sebagai penghubung dan WA selaku pengawas. Sedangkan tersangka FER berperan sebagai penyedia dan MK sebagai kurir. ",fact
Ini Peran 5 Tersangka Lab Sabu Liquid di Diskotek MG,"Badan Narkotika Nasional (BNN) menetapkan lima orang tersangka terkait laboratorium sabu liquid di Diskotek MG Club Internasional. Kelima tersangka memiliki peran berbeda mulai dari kapten hingga kurir. ""Lima orang telah ditetapkan sebagai tersangka yaitu FD, DM, WA, FER dan MK,"" kata Deputi Penindakan BNN Irjen Arman Depari dalam keterangannya kepada detikcom, Senin (18/12/2017). Arman menjelaskan, FD berperan sebagai kapten, sedangkan DM berperan sebagai penghubung dan WA selaku pengawas. Sementara itu, tersangka FER berperan sebagai penyedia dan MK sebagai kurir. ""Mereka sudah ditahan,"" imbuh Arman. BNN menggerebek MG Club Internasional yang terletak di Jl Tubagus Angke, Kelurahan Wijaya Kusuma, Jakarta Barat, Minggu (17/12) dini hari. Di lokasi tersebut, petugas menemukan laboratorium untuk membuat ekstasi dan sabu yang berada di lantai 2 dan 4. ""Mereka menjual sabu liquid Rp 400 ribu per botol,"" sambung Arman. Penggerebekan dilakukan saat diskotek ramai pengunjung. Arman menyebut, total ada 120 orang pengunjung yang urinenya positif mengandung narkotika.",fact
Gelora Tepuk Tangan dari Peserta Munaslub untuk Jokowi,"Gerak-gerik hingga ucapan Presiden Joko Widodo saat menghadiri pembukaan Munaslub Golkar malam ini sungguh menarik untuk diikuti tiap detailnya. Salah satunya saat Jokowi memilih berdiri di kala Golkar menyanyikan himne partai dan membacakan ikrar mereka. Bertempat di JCC Senayan, Jakarta, Senin (18/12/2017), Jokowi menghadiri Munaslub Golkar dengan memakai batik cokelat. Awalnya para peserta Munalsub, termasuk Jokowi, diminta berdiri untuk menyanyikan lagu 'Indonesia Raya'. 'Indonesia Raya' terdengar mantap dinyanyikan seluruh peserta munaslub dan undangan. Orang nomor 1 di Indonesia itu terlihat menyanyikan lirik lagu kebangsaan RI itu. Setelah 'Indonesia Raya' dikumandangkan, pembawa acara meminta para peserta munaslub yang bukan kader Golkar duduk. Saat itu himne Golkar hendak dilantunkan. Beberapa undangan yang bukan kader Golkar terlihat duduk kembali di kursi masing-masing. Namun tidak dengan Jokowi. Presiden masih terus berdiri. Tak hanya Jokowi, tamu undangan yang berdiri saat himne Golkar dinyanyikan. Ketum PDIP Megawati Soekarnoputri juga melakukan hal serupa. Meski berdiri, Jokowi tak menyanyikan himne Golkar tersebut. Di saat Golkar membacakan ikrar, Jokowi juga tetap mantap berdiri. Sikap Jokowi itu mendapat perhatian besar dari pengurus Golkar. Ketua Harian Golkar Nurdin Halid bahkan memuji-muji Jokowi. Setelah seluruh prosesi nyanyi dan ikrar tersebut, Nurdin meminta seluruh peserta munaslub bertepuk tangan untuk mantan Gubernur DKI Jakarta ini. ""Mari kita memberi applause kepada Bapak Presiden,"" ujar Nurdin. ""Kenapa tepuk tangan? Ketika ikrar dan himne Golkar, beliau tidak duduk. Itu toleransi dan kecintaan terhadap Partai Golkar,"" ucap Nurdin disambut tepuk tangan seluruh peserta munaslub. Dalam beberapa kali kesempatan, peserta Munaslub Golkar juga tampak bertepuk tangan untuk Jokowi. Bahkan saat tiba di lokasi munaslub, Jokowi sudah disambut dengan tepuk tangan. Ketika Jokowi memberi sambutan, lagi-lagi para peserta munaslub beberapa kali bertepuk tangan. Para kader Golkar tampak semangat akan kehadiran Presiden.",fact
Pemprov DKI akan Sediakan Shelter Ojek Online di Tanah Abang,"Pemprov DKI Jakarta mengakomodasi layanan transportasi online dalam penataan kawasan Tanah Abang, Jakarta Pusat. Pemprov akan menyediakan shelter ojek online saat menaik-turunkan penumpang. ""Kita harus adakan shelter-shelter khusus dan spot khusus,"" kata Wakil Gubernur DKI Jakarta Sandiaga Uno, di Balai Kota, Jalan Medan Merdeka Selatan, Jakarta Pusat, Senin (18/12/2017). Penyediaan shelter menurut Sandiaga dilakukan karena banyaknya pengguna transportasi umum yang juga menggunakan layanan transportasi online. Integrasi antara transportasi online dengan moda transportasi umum lainnya harus berjalan. ""Jadi dengan Transjakarta dengan LRT, nanti dengan kereta api itu yang harus kita pikirkan sekarang,"" ujarnya. Sandiaga mengatakan pengakomodasian transportasi online tersebut juga merupakan bagian dari solusi penataan Tanah Abang. Tak hanya akan diterapkan di Tanah Abang, penataan terhadap transportasi online tersebut juga akan dilakukan di wilayah lain. ""Di mana masalah daripada biasanya kalau dari transportasi adalah ojek online ada ojek pangkalan ada PKL ada angkot. Nah ini kita ingin semuanya ikut rembug, ikut urun rembug untuk mencarikan solusinya,"" ujarnya.",fact
Izin Diskotek MG Resmi Dicabut,"Pemprov DKI mencabut izin diskotek MG International Club di Jalan Tubagus Angke Blok W No 16, Jakarta Barat, hari ini. Hal tersebut didasari tindak lanjut investigasi tim gabungan Polri, BNN, dan Dinas Pariwisata DKI. ""Dengan ini disampaikan bahwa tanda daftar usaha pariwisata bar, musik hidup, diskotek MG International Club melanggar izin yang diberikan dan melanggar peraturan yang berlaku,"" demikian dikutip dari surat Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu (DPMPTSP) Pemprov DKI yang beredar, Senin (18/12/2017). Dalam surat tersebut, diskotek MG International Club melanggar empat peraturan, yakni Perda Nomor 12 Tahun 2013 tentang pelayanan terpadu satu pintu, Perda Nomor 6 Tahun 2015 tentang kepariwisataan, Pergub Nomor 133 Tahun 2012 tentang pendaftaran usaha pariwisata, serta SK Dinas Pariwisata dan Kebudayaan DKI Nomor 5504/1.1.858.2 tertanggal 18 Desember 2017 tentang usulan pencabutan TDUP MG bar, musik hidup, dan diskotek. ""Atas hal tersebut, maka tanda daftar usaha pariwisata MG Club International dicabut dan tidak boleh melakukan operasional terhitung sejak tanggal surat ini,"" imbuh kutipan surat tersebut yang ditandatangani Kepala DPMPTSP DKI Edi Junaedi. Kepala Seksi Komunikasi dan Informasi DPMPTSP DKI Rinaldi membenarkan surat tersebut sudah dikeluarkan oleh pihaknya. ""Iya benar,"" kata Rinaldi saat dimintai konfirmasi detikcom. Dalam kasus diskotek MG yang dijadikan pabrik sabu, BNN menetapkan 5 orang sebagai tersangka. Kelima tersangka adalah Wa (43), Fer (23), DW (40), Mis (45), dan Fad (40). Deputi Penindakan BNN Irjen Arman Depari menegaskan pihaknya sudah menahan kelima tersangka. ""Sudah (ditahan),"" imbuh Arman kepada detikcom, Senin (18/12). ",fact
