date,title,link,link_opt,content
10 Jul 2009," Tun Ismail Ali Chair Public Lecture on 10 July 2009 by Prof. Dr. Takatoshi Ito of Tokyo University, Presentation Slides [PDF, 277KB]",https://www.bnm.gov.my/-/%3Ca-href-/documents/20124/761712/ito_slides.pdf-target-blank-rel-noopener-%3E-tun-ismail-ali-chair-public-lecture-on-10-july-2009-by-prof.-dr.-takatoshi-ito-of-tokyo-university-presentation-slides-pdf-277kb-%3C/a%3E,https://www.bnm.gov.my/c/portal/update_language?p_l_id=182&redirect=/-/%3Ca-href-/documents/20124/761712/ito_slides.pdf-target-blank-rel-noopener-%3E-tun-ismail-ali-chair-public-lecture-on-10-july-2009-by-prof.-dr.-takatoshi-ito-of-tokyo-university-presentation-slides-pdf-277kb-%3C/a%3E&languageId=ms_MY,"









Reading:
 Tun Ismail Ali Chair Public Lecture on 10 July 2009 by Prof. Dr. Takatoshi Ito of Tokyo University, Presentation Slides [PDF, 277KB]

 Share:




    Shares
  





















 Tun Ismail Ali Chair Public Lecture on 10 July 2009 by Prof. Dr. Takatoshi Ito of Tokyo University, Presentation Slides [PDF, 277KB] 
Embargo :
                    Untuk siaran segera

Tidak boleh disiarkan atau dicetak sebelum jam
 2008 pada 
 Jumaat, 10 Julai 2009
                    

10 Jul 2009
                                                    










Bank Negara Malaysia
                10 Julai 2009
            
© Bank Negara Malaysia, 2009. All rights reserved.

"
08 Jul 2009,"Skim Bantuan Jaminan PKS , Soalan Lazim & Risalah",https://www.bnm.gov.my/-/%3Ca-href-/documents/20124/761712/smeag_leaflet_en.pdf-rel-noopener-target-blank-%3Eskim-bantuan-jaminan-pks-soalan-lazim-risalah%3C/a%3E,https://www.bnm.gov.my/c/portal/update_language?p_l_id=182&redirect=/-/%3Ca-href-/documents/20124/761712/smeag_leaflet_en.pdf-rel-noopener-target-blank-%3Eskim-bantuan-jaminan-pks-soalan-lazim-risalah%3C/a%3E&languageId=ms_MY,"









Reading:
Skim Bantuan Jaminan PKS , Soalan Lazim & Risalah

 Share:




    Shares
  





















Skim Bantuan Jaminan PKS , Soalan Lazim & Risalah 
Embargo :
                    Untuk siaran segera

Tidak boleh disiarkan atau dicetak sebelum jam
 2009 pada 
 Rabu, 8 Julai 2009
                    

8 Jul 2009
                                                    










Bank Negara Malaysia
                8 Julai 2009
            
© Bank Negara Malaysia, 2009. All rights reserved.

"
07 Jul 2009,Pembiayaan Mikro Jadual Perbandingan & Soalan Lazim,https://www.bnm.gov.my/-/pembiayaan-mikro-jadual-perbandingan-soalan-lazim,https://www.bnm.gov.my/c/portal/update_language?p_l_id=185&redirect=/-/pembiayaan-mikro-jadual-perbandingan-soalan-lazim&languageId=ms_MY,"









Reading:
Pembiayaan Mikro Jadual Perbandingan & Soalan Lazim

 Share:




    Shares
  





















Pembiayaan Mikro Jadual Perbandingan & Soalan Lazim 
Embargo :
                    Untuk siaran segera

Tidak boleh disiarkan atau dicetak sebelum jam
 2001 pada 
 Selasa, 7 Julai 2009
                    

7 Jul 2009
                                                    







Lihat Jadual Perbandingan dan Soalan-soalan Lazim

Bank Negara Malaysia
                7 Julai 2009
            
© Bank Negara Malaysia, 2009. All rights reserved.

"
01 Jul 2009,Sila lihat Peringatan Untuk Konsumer Kewangan,https://www.bnm.gov.my/-/%3Ca-href-/financial-consumer-alert-%3Esila-lihat-peringatan-untuk-konsumer-kewangan%3C/a%3E-1,https://www.bnm.gov.my/c/portal/update_language?p_l_id=2&redirect=/home&languageId=ms_MY,"


Kadar & Statistik Utama




Kadar Dasar Semalaman

3.00
%

Mulai 
            7 Mac 2024
            



Rizab Antarabangsa BNM

113.4
USD bilion

Pada 
            15 Apr 2024
            



Keperluan Rizab Berkanun

2.00
%

            Maklumat lanjut





Penunjuk Pasaran Terpilih


Pasaran Pertukaran Asing
Kadar tengah MYR/USD 12pm
Kadar Terkini
Carian Data Terdahulu

4.7415


Pasaran Bon Kerajaan
Hasil SKM 10-tahun di penutup
Kadar Terkini

3.94%


Pasaran Wang (Konvensional)
Kadar Semalaman Malaysia (MYOR)
Kadar Terkini

3.00%


Pasaran Wang Islam
 Kadar Semalaman Islamik Malaysia (MYOR-i)
Kadar Terkini

3.00%


Syiling Emas Bulion
Kijang Emas 1oz jualan (RM)
Maklumat lanjut

11,526






Penunjuk Terpilih Negara


Pertumbuhan KDNK Benar, t-k-t
(Suku Keempat 2023)

3.0%


Indeks Harga Pengguna, t-k-t
(Mac 2024)

1.8%


Wang Secara Meluas (M3)
(RM bilion)
(Mac 2024)

2,423.4


Pinjaman Sistem Perbankan kepada Sektor Swasta
(RM bilion)
(Mac 2024)

2,351.4


Hutang Luar Negeri Kasar
(RM bilion)
(Suku Keempat 2023)

1,242.6
                    


Jumlah Penduduk
                      (juta orang)
(2023)

33.4
                    


Jadual Lengkap NSDP








"
29 Dis 2010,New Guideline: Concept Paper on Shariah Parameter Reference 5: Istisna' Contract.,https://www.bnm.gov.my/-/new-guideline-concept-paper-on-shariah-parameter-reference-5-istisna-contract.,https://www.bnm.gov.my/c/portal/update_language?p_l_id=185&redirect=/-/new-guideline-concept-paper-on-shariah-parameter-reference-5-istisna-contract.&languageId=ms_MY,"









Reading:
New Guideline: Concept Paper on Shariah Parameter Reference 5: Istisna' Contract.

  Share:




    Shares
  




















New Guideline: Concept Paper on Shariah Parameter Reference 5: Istisna' Contract.
Tarikh Siaran:   29 Dis 2010





 
 
 
 
Artikel ini cuma terdapat dalam Bahasa Inggeris buat masa sekarang.
 
 
 
 
© 2024 Bank Negara Malaysia. All rights reserved.





"
29 Dis 2010,Guidelines & Circulars: Schedule of Shariah Advisory Council Meetings for 2011,https://www.bnm.gov.my/-/guidelines-circulars-schedule-of-shariah-advisory-council-meetings-for-2011,https://www.bnm.gov.my/c/portal/update_language?p_l_id=185&redirect=/-/guidelines-circulars-schedule-of-shariah-advisory-council-meetings-for-2011&languageId=ms_MY,"









Reading:
Guidelines & Circulars: Schedule of Shariah Advisory Council Meetings for 2011

  Share:




    Shares
  




















Guidelines & Circulars: Schedule of Shariah Advisory Council Meetings for 2011
Tarikh Siaran:   29 Dis 2010





        Artikel ini cuma terdapat dalam Bahasa Inggeris buat masa sekarang.        
© 2024 Bank Negara Malaysia. All rights reserved.





"
28 Dis 2010,Pemberitahuan: Syarikat-syarikat yang tidak lagi dibenarkan mengendalikan kiriman wang,https://www.bnm.gov.my/-/pemberitahuan-syarikat-syarikat-yang-tidak-lagi-dibenarkan-mengendalikan-kiriman-wang-1,https://www.bnm.gov.my/c/portal/update_language?p_l_id=182&redirect=/-/pemberitahuan-syarikat-syarikat-yang-tidak-lagi-dibenarkan-mengendalikan-kiriman-wang-1&languageId=ms_MY,"









Reading:
Pemberitahuan: Syarikat-syarikat yang tidak lagi dibenarkan mengendalikan kiriman wang

  Share:




    Shares
  




















Pemberitahuan: Syarikat-syarikat yang tidak lagi dibenarkan mengendalikan kiriman wang
Tarikh Siaran:   28 Dis 2010





Bank Negara Malaysia ingin memberitahu orang ramai bahawa syarikat-syarikat tersenarai di bawah tidak lagi dibenarkan mengendalikan urusan pengiriman wang:

LBC Remittance Express Sdn. Bhd.
Worldwide Remittance (M) Sdn. Bhd.

Orang ramai diingatkan supaya tidak membuat kiriman wang melalui syarikat-syarikat di atas kerana terdapat risiko wang kiriman tidak sampai kepada penerima.

Mana-mana individu yang melibatkan diri dengan aktiviti pengubahan wang haram boleh disabit melakukan kesalahan di bawah Akta Pencegahan Pengubahan Wang Haram dan Pencegahan Pembiayaan Keganasan (AMLATFA) 2001, iaitu termasuk penglibatan dalam urusan berkaitan hasil daripada aktiviti haram seperti mengendalikan kiriman wang tanpa kebenaran.

Orang ramai yang berurusan dengan individu-individu yang tidak diberi kebenaran mengendalikan servis kiriman wang akan turut menerima akibat sekiranya wang yang terlibat dibekukan untuk tujuan siasatan di bawah AMLATFA.
© 2024 Bank Negara Malaysia. All rights reserved.





"
27 Dis 2010,Newly updated: Guidelines on Corporate Governance for Licensed Institutions and Minimum Standards for Prudential Management of Insurers (Consolidated),https://www.bnm.gov.my/-/newly-updated-guidelines-on-corporate-governance-for-licensed-institutions-and-minimum-standards-for-prudential-management-of-insurers-consolidated-,https://www.bnm.gov.my/c/portal/update_language?p_l_id=185&redirect=/-/newly-updated-guidelines-on-corporate-governance-for-licensed-institutions-and-minimum-standards-for-prudential-management-of-insurers-consolidated-&languageId=ms_MY,"









Reading:
Newly updated: Guidelines on Corporate Governance for Licensed Institutions and Minimum Standards for Prudential Management of Insurers (Consolidated)

  Share:




    Shares
  




















Newly updated: Guidelines on Corporate Governance for Licensed Institutions and Minimum Standards for Prudential Management of Insurers (Consolidated)
Tarikh Siaran:   27 Dis 2010





 
 
 
 
Artikel ini cuma terdapat dalam Bahasa Inggeris buat masa sekarang.
 
 
 
 
© 2024 Bank Negara Malaysia. All rights reserved.





"
20 Dis 2010,Financial Sector Talent Enrichment Programme (FSTEP): 2011 intake,https://www.bnm.gov.my/-/financial-sector-talent-enrichment-programme-fstep-2011-intake,https://www.bnm.gov.my/c/portal/update_language?p_l_id=185&redirect=/-/financial-sector-talent-enrichment-programme-fstep-2011-intake&languageId=ms_MY,"









Reading:
Financial Sector Talent Enrichment Programme (FSTEP): 2011 intake

  Share:




    Shares
  




















Financial Sector Talent Enrichment Programme (FSTEP): 2011 intake
Tarikh Siaran:   20 Dis 2010





 
 
 
 
Artikel ini cuma terdapat dalam Bahasa Inggeris buat masa sekarang.
 
 
 
 
© 2024 Bank Negara Malaysia. All rights reserved.





"
17 Dis 2010,Newly updated: Guidelines on Capital Adequacy Framework for Islamic Banks (CAFIB) and Classification and Impairment Provision for Loans/Financing,https://www.bnm.gov.my/-/newly-updated-guidelines-on-capital-adequacy-framework-for-islamic-banks-cafib-and-classification-and-impairment-provision-for-loans/financing,https://www.bnm.gov.my/c/portal/update_language?p_l_id=185&redirect=/-/newly-updated-guidelines-on-capital-adequacy-framework-for-islamic-banks-cafib-and-classification-and-impairment-provision-for-loans/financing&languageId=ms_MY,"









Reading:
Newly updated: Guidelines on Capital Adequacy Framework for Islamic Banks (CAFIB) and Classification and Impairment Provision for Loans/Financing

  Share:




    Shares
  




















Newly updated: Guidelines on Capital Adequacy Framework for Islamic Banks (CAFIB) and Classification and Impairment Provision for Loans/Financing
Tarikh Siaran:   17 Dis 2010





        Artikel ini cuma terdapat dalam Bahasa Inggeris buat masa sekarang.        
© 2024 Bank Negara Malaysia. All rights reserved.





"
08 Dis 2010,New Guidelines: Risk-Weighted Capital Adequacy Framework (Basel II) and Capital Adequacy Framework for Islamic Banks (CAFIB),https://www.bnm.gov.my/-/new-guidelines-risk-weighted-capital-adequacy-framework-basel-ii-and-capital-adequacy-framework-for-islamic-banks-cafib-,https://www.bnm.gov.my/c/portal/update_language?p_l_id=185&redirect=/-/new-guidelines-risk-weighted-capital-adequacy-framework-basel-ii-and-capital-adequacy-framework-for-islamic-banks-cafib-&languageId=ms_MY,"









Reading:
New Guidelines: Risk-Weighted Capital Adequacy Framework (Basel II) and Capital Adequacy Framework for Islamic Banks (CAFIB)

  Share:




    Shares
  




















New Guidelines: Risk-Weighted Capital Adequacy Framework (Basel II) and Capital Adequacy Framework for Islamic Banks (CAFIB)
Tarikh Siaran:   08 Dis 2010





        Artikel ini cuma terdapat dalam Bahasa Inggeris buat masa sekarang.        
© 2024 Bank Negara Malaysia. All rights reserved.





"
10 Nov 2010,Pemberitahuan: Syarikat-syarikat yang tidak lagi dibenarkan mengendalikan kiriman wang,https://www.bnm.gov.my/-/pemberitahuan-syarikat-syarikat-yang-tidak-lagi-dibenarkan-mengendalikan-kiriman-wang,https://www.bnm.gov.my/c/portal/update_language?p_l_id=185&redirect=/-/pemberitahuan-syarikat-syarikat-yang-tidak-lagi-dibenarkan-mengendalikan-kiriman-wang&languageId=ms_MY,"









Reading:
Pemberitahuan: Syarikat-syarikat yang tidak lagi dibenarkan mengendalikan kiriman wang

  Share:




    Shares
  




















Pemberitahuan: Syarikat-syarikat yang tidak lagi dibenarkan mengendalikan kiriman wang
Tarikh Siaran:   10 Nov 2010





Bank Negara Malaysia ingin memberitahu orang ramai bahawa syarikat-syarikat tersenarai di bawah tidak lagi dibenarkan mengendalikan urusan pengiriman wang:

PPTKI RemitXpress Sdn. Bhd.
Herald Remittance Sdn. Bhd.

Orang ramai diingatkan supaya tidak membuat kiriman wang melalui syarikat-syarikat di atas kerana terdapat risiko wang kiriman tidak sampai kepada penerima. Mana-mana individu yang melibatkan diri dengan aktiviti pengubahan wang haram boleh disabit melakukan kesalahan di bawah Akta Pencegahan Pengubahan Wang Haram dan Pencegahan Pembiayaan Keganasan (AMLATFA) 2001, iaitu termasuk penglibatan dalam urusan berkaitan hasil daripada aktiviti haram seperti mengendalikan kiriman wang tanpa kebenaran. Orang ramai yang berurusan dengan individu-individu yang tidak diberi kebenaran mengendalikan servis kiriman wang akan turut menerima akibat sekiranya wang yang terlibat dibekukan untuk tujuan siasatan di bawah AMLATFA.
© 2024 Bank Negara Malaysia. All rights reserved.





"
27 Okt 2010,Terbitan terbaharu: Buku Resolusi Syariah dalam Kewangan Islam (Edisi Kedua),https://www.bnm.gov.my/-/terbitan-terbaharu-buku-resolusi-syariah-dalam-kewangan-islam-edisi-kedua-,https://www.bnm.gov.my/c/portal/update_language?p_l_id=185&redirect=/-/terbitan-terbaharu-buku-resolusi-syariah-dalam-kewangan-islam-edisi-kedua-&languageId=ms_MY,"









Reading:
Terbitan terbaharu: Buku Resolusi Syariah dalam Kewangan Islam (Edisi Kedua)

  Share:




    Shares
  




















Terbitan terbaharu: Buku Resolusi Syariah dalam Kewangan Islam (Edisi Kedua)
Tarikh Siaran:   27 Okt 2010





Buku Resolusi Syariah dalam Kewangan Islam (Edisi Kedua) kini boleh dimuat turun. Sila klik disini untuk memuat turun buku tersebut.
© 2024 Bank Negara Malaysia. All rights reserved.





"
26 Okt 2010,"Governor's Presentation Slides at the Regulators Forum - Special Session on Islamic Finance and Financial Stability Report: ""Enhancing the Resilience and Stability of the Islamic Financial System""",https://www.bnm.gov.my/notices-announcements/-/asset_publisher/XRQ5HftX94WW/content/governor-s-presentation-slides-at-the-regulators-forum-special-session-on-islamic-finance-and-financial-stability-report-enhancing-the-resilience-and-stability-of-the-islamic-financial-system-?_com_liferay_asset_publisher_web_portlet_AssetPublisherPortlet_INSTANCE_XRQ5HftX94WW_assetEntryId=1084358&amp;_com_liferay_asset_publisher_web_portlet_AssetPublisherPortlet_INSTANCE_XRQ5HftX94WW_redirect=https%3A%2F%2Fwww.bnm.gov.my%2Fnotices-announcements%3Fp_p_id%3Dcom_liferay_asset_publisher_web_portlet_AssetPublisherPortlet_INSTANCE_XRQ5HftX94WW%26p_p_lifecycle%3D0%26p_p_state%3Dnormal%26p_p_mode%3Dview%26_com_liferay_asset_publisher_web_portlet_AssetPublisherPortlet_INSTANCE_XRQ5HftX94WW_cur%3D0%26p_r_p_resetCur%3Dtrue%26_com_liferay_asset_publisher_web_portlet_AssetPublisherPortlet_INSTANCE_XRQ5HftX94WW_assetEntryId%3D1084358,https://www.bnm.gov.my/c/portal/update_language?p_l_id=185&redirect=/notices-announcements/-/asset_publisher/XRQ5HftX94WW/content/governor-s-presentation-slides-at-the-regulators-forum-special-session-on-islamic-finance-and-financial-stability-report-enhancing-the-resilience-and-stability-of-the-islamic-financial-system-%3F_com_liferay_asset_publisher_web_portlet_AssetPublisherPortlet_INSTANCE_XRQ5HftX94WW_assetEntryId%3D1084358%26amp%3B_com_liferay_asset_publisher_web_portlet_AssetPublisherPortlet_INSTANCE_XRQ5HftX94WW_redirect%3Dhttps%253A%252F%252Fwww.bnm.gov.my%252Fnotices-announcements%253Fp_p_id%253Dcom_liferay_asset_publisher_web_portlet_AssetPublisherPortlet_INSTANCE_XRQ5HftX94WW%2526p_p_lifecycle%253D0%2526p_p_state%253Dnormal%2526p_p_mode%253Dview%2526_com_liferay_asset_publisher_web_portlet_AssetPublisherPortlet_INSTANCE_XRQ5HftX94WW_cur%253D0%2526p_r_p_resetCur%253Dtrue%2526_com_liferay_asset_publisher_web_portlet_AssetPublisherPortlet_INSTANCE_XRQ5HftX94WW_assetEntryId%253D1084358&languageId=ms_MY,"









Reading:
Governor's Presentation Slides at the Regulators Forum - Special Session on Islamic Finance and Financial Stability Report: ""Enhancing the Resilience and Stability of the Islamic Financial System""

 Share:




    Shares
  





















Governor's Presentation Slides at the Regulators Forum - Special Session on Islamic Finance and Financial Stability Report: ""Enhancing the Resilience and Stability of the Islamic Financial System"" 
Embargo :
                    Untuk siaran segera

Tidak boleh disiarkan atau dicetak sebelum jam
 1119 pada 
 Selasa, 26 Oktober 2010
                    

26 Okt 2010
                                                    







 
 
 
Artikel ini cuma terdapat dalam Bahasa Inggeris buat masa sekarang.
 
 

Bank Negara Malaysia
                26 Oktober 2010
            
© Bank Negara Malaysia, 2010. All rights reserved.

"
26 Okt 2010,Baharu dikemaskini: Garis Panduan mengenai 'Shariah Governance Framework for Islamic Financial Institutions' (dalam Bahasa Inggeris),https://www.bnm.gov.my/-/baharu-dikemaskini-garis-panduan-mengenai-shariah-governance-framework-for-islamic-financial-institutions-dalam-bahasa-inggeris-,https://www.bnm.gov.my/c/portal/update_language?p_l_id=185&redirect=/-/baharu-dikemaskini-garis-panduan-mengenai-shariah-governance-framework-for-islamic-financial-institutions-dalam-bahasa-inggeris-&languageId=ms_MY,"









Reading:
Baharu dikemaskini: Garis Panduan mengenai 'Shariah Governance Framework for Islamic Financial Institutions' (dalam Bahasa Inggeris)

  Share:




    Shares
  




















Baharu dikemaskini: Garis Panduan mengenai 'Shariah Governance Framework for Islamic Financial Institutions' (dalam Bahasa Inggeris)
Tarikh Siaran:   26 Okt 2010





Garis Panduan mengenai 'Shariah Governance Framework for Islamic Financial Institutions' (dalam Bahasa Inggeris) baharu dikemaskini. Dokumen tersebut (dalam format PDF) boleh dimuat turun melalui pautan di bawah:

Muat Turun
© 2024 Bank Negara Malaysia. All rights reserved.





"
20 Okt 2010,RINGGIT Newsletter (September issue) is now available for download.,https://www.bnm.gov.my/-/ringgit-newsletter-september-issue-is-now-available-for-download.,https://www.bnm.gov.my/c/portal/update_language?p_l_id=182&redirect=/-/ringgit-newsletter-september-issue-is-now-available-for-download.&languageId=ms_MY,"









Reading:
RINGGIT Newsletter (September issue) is now available for download.

  Share:




    Shares
  




















RINGGIT Newsletter (September issue) is now available for download.
Tarikh Siaran:   20 Okt 2010





 
 
 
Artikel ini cuma terdapat dalam Bahasa Inggeris buat masa sekarang.
 
 
 
© 2024 Bank Negara Malaysia. All rights reserved.





"
