date,title,link
10 Mar 1997,Sale of Guidelines on Minimum Audit Standards for Internal Auditors of Financial Institutions,https://www.bnm.gov.my/-/sale-of-guidelines-on-minimum-audit-standards-for-internal-auditors-of-financial-institutions
23 Jan 1997,Insurance Act 1996 and the Insurance Regulations 1996,https://www.bnm.gov.my/-/insurance-act-1996-and-the-insurance-regulations-1996
30 Dec 1998,Guidelines on Credit Card Operations,https://www.bnm.gov.my/-/guidelines-on-credit-card-operations
23 Dec 1998,Purchase of ringgit held by non-residents by the Blue Circle Group,https://www.bnm.gov.my/-/purchase-of-ringgit-held-by-non-residents-by-the-blue-circle-group
21 Dec 1998,Closure of the Communication Centre for Exchange Control,https://www.bnm.gov.my/-/closure-of-the-communication-centre-for-exchange-control
18 Dec 1998,Dialogues Session with Insurance Companies,https://www.bnm.gov.my/-/dialogues-session-with-insurance-companies
14 Dec 1998,Launching of Pocket Money Book and Family Income Statement Book,https://www.bnm.gov.my/-/launching-of-pocket-money-book-and-family-income-statement-book
10 Dec 1998,"The Implementation of Sistem Penjelasan Imej Cek Kebangsaan (SPICK) in Pulau Pinang, Kedah and Perlis",https://www.bnm.gov.my/-/the-implementation-of-sistem-penjelasan-imej-cek-kebangsaan-spick-in-pulau-pinang-kedah-and-perlis
03 Dec 1998,Conversion of Ringgit into Foreign Currency for Repatriation Abroad by External Account Holders,https://www.bnm.gov.my/-/conversion-of-ringgit-into-foreign-currency-for-repatriation-abroad-by-external-account-holders
21 Nov 1998,Closing Date Extension for National Savings Promotion Campaign Poster Competition,https://www.bnm.gov.my/-/closing-date-extension-for-national-savings-promotion-campaign-poster-competition
20 Nov 1998,Additional Measures,https://www.bnm.gov.my/-/additional-measures
16 Nov 1998,Corporate Debt Restructuring Committee Public Seminar,https://www.bnm.gov.my/-/corporate-debt-restructuring-committee-public-seminar
09 Nov 1998,Clarification on a Report by the Far Eastern Economic Review,https://www.bnm.gov.my/-/clarification-on-a-report-by-the-far-eastern-economic-review
06 Nov 1998,Measures to Strengthen the Islamic Banking Sector,https://www.bnm.gov.my/-/measures-to-strengthen-the-islamic-banking-sector
29 Oct 1998,Change of Weekend Holiday for Financial Institutions in Kedah Darulaman,https://www.bnm.gov.my/-/change-of-weekend-holiday-for-financial-institutions-in-kedah-darulaman
28 Oct 1998,Debt Restructuring Procedures Unveiled,https://www.bnm.gov.my/-/debt-restructuring-procedures-unveiled
26 Oct 1998,Travellers Declaration Pass (TDP),https://www.bnm.gov.my/-/travellers-declaration-pass-tdp-
24 Oct 1998,The New Design RM100 Banknotes,https://www.bnm.gov.my/-/the-new-design-rm100-banknotes
23 Oct 1998,Reminder on RM500 and RM1000 currency notes,https://www.bnm.gov.my/-/reminder-on-rm500-and-rm1000-currency-notes
22 Oct 1998,"Information on Repatriation of Dividends, Interest, Rental, Fees, Commissions or Profits",https://www.bnm.gov.my/-/information-on-repatriation-of-dividends-interest-rental-fees-commissions-or-profits
09 Oct 1998,Guide to the exchange control rules: Labuan International Offshore Financial Centre,https://www.bnm.gov.my/-/guide-to-the-exchange-control-rules-labuan-international-offshore-financial-centre
06 Oct 1998,Clarification on the new ECM notices - 6,https://www.bnm.gov.my/-/clarification-on-the-new-ecm-notices-6
05 Oct 1998,Additional measures for the priority sectors,https://www.bnm.gov.my/-/additional-measures-for-the-priority-sectors
05 Oct 1998,Guide to the exchange control rules,https://www.bnm.gov.my/-/guide-to-the-exchange-control-rules
02 Oct 1998,New measures for the insurance industry,https://www.bnm.gov.my/-/new-measures-for-the-insurance-industry
01 Oct 1998,The coming into force of the Money-Changing Act 1998,https://www.bnm.gov.my/-/the-coming-into-force-of-the-money-changing-act-1998
26 Sep 1998,Repatriation of ringgit funds to Malaysia,https://www.bnm.gov.my/-/repatriation-of-ringgit-funds-to-malaysia
23 Sep 1998,Banking measures,https://www.bnm.gov.my/-/banking-measures
19 Sep 1998,Corporate Debt Restructuring Committee Members,https://www.bnm.gov.my/-/corporate-debt-restructuring-committee-members
17 Sep 1998,Implementation of Exchange Control Measure on the Import & Export of Currency Notes by Travellers,https://www.bnm.gov.my/-/implementation-of-exchange-control-measure-on-the-import-export-of-currency-notes-by-travellers
15 Sep 1998,Clarification on the new ECM notices - 5,https://www.bnm.gov.my/-/clarification-on-the-new-ecm-notices-5
14 Sep 1998,Clarification on the new ECM notices - 4,https://www.bnm.gov.my/-/clarification-on-the-new-ecm-notices-4
13 Sep 1998,Money Changing Business - Forex Rates,https://www.bnm.gov.my/-/money-changing-business-forex-rates
12 Sep 1998,Demonetisation of RM1000 and RM500 notes,https://www.bnm.gov.my/-/demonetisation-of-rm1000-and-rm500-notes
09 Sep 1998,Clarification on the new ECM notices - 3,https://www.bnm.gov.my/-/clarification-on-the-new-ecm-notices-3
08 Sep 1998,Settlement of Outstanding Contracts,https://www.bnm.gov.my/-/settlement-of-outstanding-contracts
07 Sep 1998,Lending to the Construction and Property Sectors,https://www.bnm.gov.my/-/lending-to-the-construction-and-property-sectors
07 Sep 1998,Statutory Reserve Requirement of Banking Institutions,https://www.bnm.gov.my/-/statutory-reserve-requirement-of-banking-institutions-1
05 Sep 1998,Clarification on the new ECM notices - 2,https://www.bnm.gov.my/-/clarification-on-the-new-ecm-notices-2
04 Sep 1998,Clarification on the new ECM notices - 1,https://www.bnm.gov.my/-/clarification-on-the-new-ecm-notices-1
03 Sep 1998,Additional Measures by BNM,https://www.bnm.gov.my/-/additional-measures-by-bnm
02 Sep 1998,Exchange Rate of Ringgit,https://www.bnm.gov.my/-/exchange-rate-of-ringgit
01 Sep 1998,Measures to Regain Monetary Independence,https://www.bnm.gov.my/-/measures-to-regain-monetary-independence
27 Aug 1998,Easing of Monetary Policy,https://www.bnm.gov.my/-/easing-of-monetary-policy
24 Aug 1998,Corporate Debt Restructuring Committee Operations,https://www.bnm.gov.my/-/corporate-debt-restructuring-committee-operations
10 Aug 1998,Reduction of the 3-month Intervention Rate,https://www.bnm.gov.my/-/reduction-of-the-3-month-intervention-rate
03 Aug 1998,The Implementation of Sistem Penjelasan Imej Cek Kebangsaan (SPICK) in Perak and Pahang,https://www.bnm.gov.my/-/the-implementation-of-sistem-penjelasan-imej-cek-kebangsaan-spick-in-perak-and-pahang
31 Jul 1998,Reduction of the 3-month Intervention Rate and the Introduction of a New Liquidity Framework,https://www.bnm.gov.my/-/reduction-of-the-3-month-intervention-rate-and-the-introduction-of-a-new-liquidity-framework
22 Jul 1998,Invitation to Batik Art Exhibition,https://www.bnm.gov.my/-/invitation-to-batik-art-exhibition
13 Jul 1998,Recapitalisation and Consolidation of the Banking Sector,https://www.bnm.gov.my/-/recapitalisation-and-consolidation-of-the-banking-sector
29 Jun 1998,Clarification on Statutory Reserve Requirement Reduction,https://www.bnm.gov.my/-/clarification-on-statutory-reserve-requirement-reduction
27 Jun 1998,Kuala Lumpur 98 - XVI Commonwealth Games RM50 Commemorative Polymer Banknote,https://www.bnm.gov.my/-/kuala-lumpur-98-xvi-commonwealth-games-rm50-commemorative-polymer-banknote
26 Jun 1998,Statutory Reserve Requirement of Banking Institutions,https://www.bnm.gov.my/-/statutory-reserve-requirement-of-banking-institutions
01 Jun 1998,Interest Rate Policy,https://www.bnm.gov.my/-/interest-rate-policy
07 May 1998,The Implementation of Sistem Penjelasan Imej Cek Kebangsaan (SPICK) in Southern Perak And Western Pahang,https://www.bnm.gov.my/-/the-implementation-of-sistem-penjelasan-imej-cek-kebangsaan-spick-in-southern-perak-and-western-pahang
30 Apr 1998,Measures to Enhance Liquidity Management,https://www.bnm.gov.my/-/measures-to-enhance-liquidity-management
27 Apr 1998,Housing Developers' Facility,https://www.bnm.gov.my/-/housing-developers-facility
31 Mar 1998,Merger of Finance Companies,https://www.bnm.gov.my/-/merger-of-finance-companies
25 Mar 1998,1998 Lending Guidelines to the Priority Sectors,https://www.bnm.gov.my/-/1998-lending-guidelines-to-the-priority-sectors
25 Mar 1998,Stabilisation Package for the Financial Sector,https://www.bnm.gov.my/-/stabilisation-package-for-the-financial-sector
09 Mar 1998,Reserve Money,https://www.bnm.gov.my/-/reserve-money
03 Mar 1998,Sime Bank Berhad,https://www.bnm.gov.my/-/sime-bank-berhad
01 Mar 1998,Monthly Statistical Bulletin - January 1998,https://www.bnm.gov.my/-/monthly-statistical-bulletin-january-1998
06 Feb 1998,Monetary Policy,https://www.bnm.gov.my/-/monetary-policy
26 Jan 1998,Maturity of Bon Simpanan Malaysia Siri 01,https://www.bnm.gov.my/-/maturity-of-bon-simpanan-malaysia-siri-01
23 Jan 1998,Loan Monitoring Unit,https://www.bnm.gov.my/-/loan-monitoring-unit
20 Jan 1998,Protection of Depositors' Interests,https://www.bnm.gov.my/-/protection-of-depositors-interests
07 Jan 1998,Malaysia's External Debt Position,https://www.bnm.gov.my/-/malaysia-s-external-debt-position
02 Jan 1998,Merger Plans for Finance Companies,https://www.bnm.gov.my/-/merger-plans-for-finance-companies
29 Dec 1999,Banks To Accept Cheques With Year Revalidated,https://www.bnm.gov.my/-/banks-to-accept-cheques-with-year-revalidated
29 Dec 1999,Public Has Nothing To Fear; Their Deposits Are Safe,https://www.bnm.gov.my/-/public-has-nothing-to-fear-their-deposits-are-safe
27 Dec 1999,Public Advised to do Year-End Banking Transactions Early,https://www.bnm.gov.my/-/public-advised-to-do-year-end-banking-transactions-early
23 Dec 1999,Pengeluaran Duit Syiling Emas Peringatan Tahun 2000,https://www.bnm.gov.my/-/pengeluaran-duit-syiling-emas-peringatan-tahun-2000
20 Nov 1999,The Central Bank and the Financial System in Malaysia - A Decade of Change 1989-1999,https://www.bnm.gov.my/-/the-central-bank-and-the-financial-system-in-malaysia-a-decade-of-change-1989-1999
17 Nov 1999,Publication of the Pocket Money Book and Household Account Book for the year 2000,https://www.bnm.gov.my/-/publication-of-the-pocket-money-book-and-household-account-book-for-the-year-2000
12 Nov 1999,"Latest Issue of the RM2, RM10, RM50 and RM100 Banknotes",https://www.bnm.gov.my/-/latest-issue-of-the-rm2-rm10-rm50-and-rm100-banknotes
11 Nov 1999,Extension of Closing Date for Subscription of Bon Simpanan Malaysia Siri 02,https://www.bnm.gov.my/-/extension-of-closing-date-for-subscription-of-bon-simpanan-malaysia-siri-02
29 Oct 1999,Malaysia Savings Bond Series 02,https://www.bnm.gov.my/-/malaysia-savings-bond-series-02
28 Oct 1999,Y2K Update Booklet - The Year 2000 Problem: Readiness of The Malaysian Banking & Insurance Sector,https://www.bnm.gov.my/-/y2k-update-booklet-the-year-2000-problem-readiness-of-the-malaysian-banking-insurance-sector
22 Oct 1999,International Reserves of Bank Negara Malaysia,https://www.bnm.gov.my/-/international-reserves-of-bank-negara-malaysia
20 Oct 1999,Clarification on the New ECM Notices - 14,https://www.bnm.gov.my/-/clarification-on-the-new-ecm-notices-14
15 Oct 1999,Bank Negara Malaysia announced that Encik Mohd. Razif bin Abdul Kadir has been promoted as Assistant Governor of Bank Negara Malaysia with effect from 1 October 1999,https://www.bnm.gov.my/-/bank-negara-malaysia-announced-that-encik-mohd.-razif-bin-abdul-kadir-has-been-promoted-as-assistant-governor-of-bank-negara-malaysia-with-effect-from-1-october-1999
05 Oct 1999,Issuance of Commemorative Coins to Mark the 1st Petronas Malaysian F1 Grand Prix 1999,https://www.bnm.gov.my/-/issuance-of-commemorative-coins-to-mark-the-1st-petronas-malaysian-f1-grand-prix-1999
30 Sep 1999,All Domestic Banking Institutions Have Signed MOUs,https://www.bnm.gov.my/-/all-domestic-banking-institutions-have-signed-mous
29 Sep 1999,Raid on Illegal Money-Changing Operators,https://www.bnm.gov.my/-/raid-on-illegal-money-changing-operators
23 Sep 1999,New Design RM5 Banknotes,https://www.bnm.gov.my/-/new-design-rm5-banknotes
23 Sep 1999,Press Statement on the Renewal of Travellers Declaration Pass (TDP) for Workers and Students in Johor Bahru,https://www.bnm.gov.my/-/press-statement-on-the-renewal-of-travellers-declaration-pass-tdp-for-workers-and-students-in-johor-bahru
21 Sep 1999,Clarification on the New ECM Notices - 13,https://www.bnm.gov.my/-/clarification-on-the-new-ecm-notices-13
21 Sep 1999,New ECM Notices - Further Inquiries,https://www.bnm.gov.my/-/new-ecm-notices-further-inquiries
17 Sep 1999,"Introduction of Travellers Declaration Pass in Sabah, Sarawak and Wilayah Persekutuan Labuan",https://www.bnm.gov.my/-/introduction-of-travellers-declaration-pass-in-sabah-sarawak-and-wilayah-persekutuan-labuan
15 Sep 1999,Clarification on money lending licenses,https://www.bnm.gov.my/-/clarification-on-money-lending-licenses
10 Sep 1999,LIEN HOE BERHAD DEBT RESTRUCTURING SCHEME,https://www.bnm.gov.my/-/lien-hoe-berhad-debt-restructuring-scheme
08 Sep 1999,Clarification on the new ECM notices - 12,https://www.bnm.gov.my/-/clarification-on-the-new-ecm-notices-12
08 Sep 1999,Y2K Command Centre - Help Desk Services,https://www.bnm.gov.my/-/y2k-command-centre-help-desk-services
07 Sep 1999,BNM set up Y2K Command Centre,https://www.bnm.gov.my/-/bnm-set-up-y2k-command-centre
06 Sep 1999,Deadline for Mergers Unchanged,https://www.bnm.gov.my/-/deadline-for-mergers-unchanged
03 Sep 1999,Outflow of Portfolio Funds,https://www.bnm.gov.my/-/outflow-of-portfolio-funds-1
03 Sep 1999,Raids on Illegal Deposit Taking Operators,https://www.bnm.gov.my/-/raids-on-illegal-deposit-taking-operators
02 Sep 1999,Outflow of Portfolio Funds,https://www.bnm.gov.my/-/outflow-of-portfolio-funds
01 Sep 1999,Amout of Portfolio Funds Repatriated on September 1 1999,https://www.bnm.gov.my/-/amout-of-portfolio-funds-repatriated-on-september-1-1999
28 Aug 1999,All Currency Notes Bear the Signature of BNM Governor,https://www.bnm.gov.my/-/all-currency-notes-bear-the-signature-of-bnm-governor
28 Aug 1999,All Currency Notes Bear the Signature of BNM Governor,https://www.bnm.gov.my/-/all-currency-notes-bear-the-signature-of-bnm-governor-1
25 Aug 1999,Movement in BNM Senior Management,https://www.bnm.gov.my/-/movement-in-bnm-senior-management
12 Aug 1999,Principles on Valuation for the Consolidation Programme of Domestic Banking Institutions,https://www.bnm.gov.my/-/principles-on-valuation-for-the-consolidation-programme-of-domestic-banking-institutions
10 Aug 1999,DEBT RESTRUCTURING OF NAM FATT CORPORATION BHD,https://www.bnm.gov.my/-/debt-restructuring-of-nam-fatt-corporation-bhd
10 Aug 1999,Tax Incentives for Consolidation of Domestic Banking institutions,https://www.bnm.gov.my/-/tax-incentives-for-consolidation-of-domestic-banking-institutions
09 Aug 1999,Reduction in Intervention Rate,https://www.bnm.gov.my/-/reduction-in-intervention-rate-2
04 Aug 1999,Lending for Purchase of Shares and Units of Unit Trust Fund,https://www.bnm.gov.my/-/lending-for-purchase-of-shares-and-units-of-unit-trust-fund
04 Aug 1999,Termination of the Industrial Adjustment Fund and Special Scheme for Low and Medium Cost Houses,https://www.bnm.gov.my/-/termination-of-the-industrial-adjustment-fund-and-special-scheme-for-low-and-medium-cost-houses
02 Aug 1999,Consolidation and Rationalisation of the Domestic Banking Institutions,https://www.bnm.gov.my/-/consolidation-and-rationalisation-of-the-domestic-banking-institutions
02 Aug 1999,New Eligibility Criteria for Credit Cards,https://www.bnm.gov.my/-/new-eligibility-criteria-for-credit-cards
30 Jul 1999,Public Advised not to Participate in Illegal Deposit-taking Activities,https://www.bnm.gov.my/-/public-advised-not-to-participate-in-illegal-deposit-taking-activities
29 Jul 1999,Merger Programme for Domestic Banking Institutions,https://www.bnm.gov.my/-/merger-programme-for-domestic-banking-institutions
22 Jul 1999,Introduction of RENTAS System,https://www.bnm.gov.my/-/introduction-of-rentas-system
20 Jul 1999,CDRC Press Release: New appointments to the Steering Committee,https://www.bnm.gov.my/-/cdrc-press-release-new-appointments-to-the-steering-committee
19 Jul 1999,New Measures for the Insurance Industry at the International Conference for Emerging Markets in a Globalising Economy,https://www.bnm.gov.my/-/new-measures-for-the-insurance-industry-at-the-international-conference-for-emerging-markets-in-a-globalising-economy
15 Jul 1999,Release of a Y2K Joint Publication by Bank Negara Malaysia and the Securities Commission,https://www.bnm.gov.my/-/release-of-a-y2k-joint-publication-by-bank-negara-malaysia-and-the-securities-commission
14 Jul 1999,Progress of Banking Sector Restructuring,https://www.bnm.gov.my/-/progress-of-banking-sector-restructuring
07 Jul 1999,Assumption of Control of Sime Merchant Bankers Berhad and Sabah Finance Berhad,https://www.bnm.gov.my/-/assumption-of-control-of-sime-merchant-bankers-berhad-and-sabah-finance-berhad
06 Jul 1999,New Miyazawa Initiative Short-term Financing Facility,https://www.bnm.gov.my/-/new-miyazawa-initiative-short-term-financing-facility
05 Jul 1999,"RM500 and RM1,000 notes are still exchangeable at BNM offices",https://www.bnm.gov.my/-/rm500-and-rm1-000-notes-are-still-exchangeable-at-bnm-offices
28 Jun 1999,A Reminder to All Travellers,https://www.bnm.gov.my/-/a-reminder-to-all-travellers
24 Jun 1999,"Grace Period for Public to Exchange/Bank-in RM500 and RM1,000 notes",https://www.bnm.gov.my/-/grace-period-for-public-to-exchange/bank-in-rm500-and-rm1-000-notes
22 Jun 1999,Raids on Illegal Money-Changing Operators,https://www.bnm.gov.my/-/raids-on-illegal-money-changing-operators
31 May 1999,Reminder on the demonetisation of the RM500 and RM1000 currency notes,https://www.bnm.gov.my/-/reminder-on-the-demonetisation-of-the-rm500-and-rm1000-currency-notes
31 May 1999,RM100 banknotes with new signature put into circulation,https://www.bnm.gov.my/-/rm100-banknotes-with-new-signature-put-into-circulation
24 May 1999,CDRC Press Release: Debt Restructuring Scheme of Chongai Corporation Berhad and Pembangunan Bandar Mutiara Sdn. Bhd.,https://www.bnm.gov.my/-/cdrc-press-release-debt-restructuring-scheme-of-chongai-corporation-berhad-and-pembangunan-bandar-mutiara-sdn.-bhd.
03 May 1999,Reduction in Intervention Rate,https://www.bnm.gov.my/-/reduction-in-intervention-rate-1
23 Apr 1999,CDRC Press Release: Tongkah Holdings Berhad Debt Restructuring Scheme,https://www.bnm.gov.my/-/cdrc-press-release-tongkah-holdings-berhad-debt-restructuring-scheme-1
20 Apr 1999,Clarification on the new ECM notices - 11,https://www.bnm.gov.my/-/clarification-on-the-new-ecm-notices-11
13 Apr 1999,Thirteenth Annual Conference with Financial Institutions,https://www.bnm.gov.my/-/thirteenth-annual-conference-with-financial-institutions
06 Apr 1999,Financial institutions pledged RM4.6 million to JE Special Trust Account,https://www.bnm.gov.my/-/financial-institutions-pledged-rm4.6-million-to-je-special-trust-account
05 Apr 1999,Reduction in Intervention Rate,https://www.bnm.gov.my/-/reduction-in-intervention-rate
05 Apr 1999,RM50 Banknotes bearing the signature of the present BNM Governor,https://www.bnm.gov.my/-/rm50-banknotes-bearing-the-signature-of-the-present-bnm-governor
30 Mar 1999,Relocation of the Exchange Control Department,https://www.bnm.gov.my/-/relocation-of-the-exchange-control-department
08 Mar 1999,CDRC Press Release: The Renong Group Debt Restructuring Plan,https://www.bnm.gov.my/-/cdrc-press-release-the-renong-group-debt-restructuring-plan
08 Mar 1999,Annual Report of the Director-General of Insurance and the Director-General of Takaful 1998,https://www.bnm.gov.my/-/annual-report-of-the-director-general-of-insurance-and-the-director-general-of-takaful-1998
05 Mar 1999,Datuk Zamani Abdul Ghani resumes Assistant Governor's post,https://www.bnm.gov.my/-/datuk-zamani-abdul-ghani-resumes-assistant-governor-s-post
05 Mar 1999,The closure of the Exit Levy Communication Centre,https://www.bnm.gov.my/-/the-closure-of-the-exit-levy-communication-centre
01 Mar 1999,Clarification on the new ECM notices - 10,https://www.bnm.gov.my/-/clarification-on-the-new-ecm-notices-10
18 Feb 1999,The Exclusion of Property from Levy,https://www.bnm.gov.my/-/the-exclusion-of-property-from-levy
09 Feb 1999,Clarification on the new ECM notices - 9,https://www.bnm.gov.my/-/clarification-on-the-new-ecm-notices-9
09 Feb 1999,New licences for local incorporation of five foreign insurance companies,https://www.bnm.gov.my/-/new-licences-for-local-incorporation-of-five-foreign-insurance-companies
08 Feb 1999,Establishment of Communication Centre for clarification on levy,https://www.bnm.gov.my/-/establishment-of-communication-centre-for-clarification-on-levy
05 Feb 1999,Relaxation in the carrying of Ringgit Malaysia for border traders,https://www.bnm.gov.my/-/relaxation-in-the-carrying-of-ringgit-malaysia-for-border-traders
04 Feb 1999,Repatriation of portfolio capital,https://www.bnm.gov.my/-/repatriation-of-portfolio-capital
03 Feb 1999,Resignation of Assistant Governor Datuk Abdul Murad Khalid,https://www.bnm.gov.my/-/resignation-of-assistant-governor-datuk-abdul-murad-khalid
26 Jan 1999,Extension of credit facilities to finance development of properties,https://www.bnm.gov.my/-/extension-of-credit-facilities-to-finance-development-of-properties
13 Jan 1999,FYI: Operational and Control Procedures for Management of Designated External Accounts (DEA),https://www.bnm.gov.my/-/fyi-operational-and-control-procedures-for-management-of-designated-external-accounts-dea-
13 Jan 1999,FYI: Designated Accounts for Futures Trading,https://www.bnm.gov.my/-/fyi-designated-accounts-for-futures-trading
06 Jan 1999,Financing of Properties,https://www.bnm.gov.my/-/financing-of-properties
05 Jan 1999,Clarification on the new ECM notices - 8,https://www.bnm.gov.my/-/clarification-on-the-new-ecm-notices-8
04 Jan 1999,Assumption of control of Kewangan Bersatu Berhad,https://www.bnm.gov.my/-/assumption-of-control-of-kewangan-bersatu-berhad
04 Jan 1999,Assumption of control of MBf Finance Berhad,https://www.bnm.gov.my/-/assumption-of-control-of-mbf-finance-berhad
31 Dec 2000,Consolidation and Rationalisation of the Domestic Banking Institutions,https://www.bnm.gov.my/-/consolidation-and-rationalisation-of-the-domestic-banking-institutions-2
30 Dec 2000,Detailed Disclosure of International Reserves as at end November 2000: Explanatory Notes,https://www.bnm.gov.my/-/detailed-disclosure-of-international-reserves-as-at-end-november-2000-explanatory-notes
26 Dec 2000,Expansion and Enlargement of the ASEAN Swap Arrangement,https://www.bnm.gov.my/-/expansion-and-enlargement-of-the-asean-swap-arrangement
22 Dec 2000,International Reserves of BNM as at 15 Dec 2000,https://www.bnm.gov.my/-/international-reserves-of-bnm-as-at-15-dec-2000
08 Dec 2000,International Reserves of BNM as at 30 Nov 2000,https://www.bnm.gov.my/-/international-reserves-of-bnm-as-at-30-nov-2000
30 Nov 2000,Detailed Disclosure of International Reserves as at end October 2000: Explanatory Notes,https://www.bnm.gov.my/-/detailed-disclosure-of-international-reserves-as-at-end-october-2000-explanatory-notes
14 Nov 2000,Increase in Minimum Capital Funds for Banking Institutions,https://www.bnm.gov.my/-/increase-in-minimum-capital-funds-for-banking-institutions
13 Nov 2000,"Use of the words ""Bank"" and ""Finance Company""",https://www.bnm.gov.my/-/use-of-the-words-bank-and-finance-company->Use of the words Bank and Finance Company
08 Nov 2000,International Reserves of BNM as at 31 Oct 2000,https://www.bnm.gov.my/-/international-reserves-of-bnm-as-at-31-oct-2000
08 Nov 2000,New Design RM1 Banknotes,https://www.bnm.gov.my/-/new-design-rm1-banknotes
07 Nov 2000,Issuance of Commemorative Coin to Commemorate Declaration of Shah Alam City,https://www.bnm.gov.my/-/issuance-of-commemorative-coin-to-commemorate-declaration-of-shah-alam-city
01 Nov 2000,BNM Holds Dialogue Session with Insurance Companies and Takaful Operators,https://www.bnm.gov.my/-/bnm-holds-dialogue-session-with-insurance-companies-and-takaful-operators
01 Nov 2000,"BNM releases ""Buku Wang Saku"" and ""Buku Perancangan dan Penyata Keluarga"" for 2001",https://www.bnm.gov.my/-/bnm-releases-buku-wang-saku-and-buku-perancangan-dan-penyata-keluarga-for-2001>BNM releases Buku Wang Saku and Buku Perancangan dan Penyata Keluarga
31 Oct 2000,Detailed Disclosure of International Reserves as at end September 2000: Explanatory Notes,https://www.bnm.gov.my/-/detailed-disclosure-of-international-reserves-as-at-end-september-2000-explanatory-notes
23 Oct 2000,BNM Raided Two Suspected Illegal Money Changers,https://www.bnm.gov.my/-/bnm-raided-two-suspected-illegal-money-changers
11 Oct 2000,Raid on Illegal Deposit Taking Operator in Johor Bahru,https://www.bnm.gov.my/-/raid-on-illegal-deposit-taking-operator-in-johor-bahru
09 Oct 2000,International Reserves of BNM as at 30 Sep 2000,https://www.bnm.gov.my/-/international-reserves-of-bnm-as-at-30-sep-2000
30 Sep 2000,Detailed Disclosure of International Reserves as at end August 2000: Explanatory Notes,https://www.bnm.gov.my/-/detailed-disclosure-of-international-reserves-as-at-end-august-2000-explanatory-notes
25 Sep 2000,Reports on Credit Cards,https://www.bnm.gov.my/-/reports-on-credit-cards
01 Sep 2000,All Banking Institutions have Successfully Signed Sales and Purchase Agreements,https://www.bnm.gov.my/-/all-banking-institutions-have-successfully-signed-sales-and-purchase-agreements
30 Aug 2000,Detailed Disclosure of International Reserves as at end July 2000: Explanatory Notes,https://www.bnm.gov.my/-/detailed-disclosure-of-international-reserves-as-at-end-july-2000-explanatory-notes
