date,title,link
29 Nov 2002,Pemakluman Terperinci bagi Rizab Antarabangsa pada akhir bulan Oktober 2002 : Nota Penerangan,https://www.bnm.gov.my/-/pemakluman-terperinci-bagi-rizab-antarabangsa-pada-akhir-bulan-oktober-2002-nota-penerangan
27 Nov 2002,Perkembangan Ekonomi dan Kewangan Malaysia pada Suku Ketiga 2002,https://www.bnm.gov.my/-/perkembangan-ekonomi-dan-kewangan-malaysia-pada-suku-ketiga-2002
27 Nov 2002,Perkembangan Monetari dan Kewangan dalam bulan Oktober 2002,https://www.bnm.gov.my/-/perkembangan-monetari-dan-kewangan-dalam-bulan-oktober-2002
22 Nov 2002,Rizab Antarabangsa BNM pada 15 November 2002,https://www.bnm.gov.my/-/international-reserves-of-bnm-as-at-15-november-2002
20 Nov 2002,Sesi Dialog Bersama Penginsurans dan Pengendali Takaful,https://www.bnm.gov.my/-/sesi-dialog-bersama-penginsurans-dan-pengendali-takaful
08 Nov 2002,Rizab Antarabangsa BNM pada 31 Oktober 2002,https://www.bnm.gov.my/-/international-reserves-of-bnm-as-at-31-october-2002
31 Okt 2002,Pemakluman Terperinci bagi Rizab Antarabangsa pada akhir bulan September 2002 : Nota Penerangan,https://www.bnm.gov.my/-/pemakluman-terperinci-bagi-rizab-antarabangsa-pada-akhir-bulan-september-2002-nota-penerangan
28 Okt 2002,Perkembangan Monetari dan Kewangan dalam bulan September 2002,https://www.bnm.gov.my/-/perkembangan-monetari-dan-kewangan-dalam-bulan-september-2002
22 Okt 2002,Rizab Antarabangsa BNM pada 15 Oktober 2002,https://www.bnm.gov.my/-/international-reserves-of-bnm-as-at-15-october-2002
09 Okt 2002,Perjanjian Peraturan Swap Dua Hala di bawah Inisiatif Chiang Mai Ditandatangani,https://www.bnm.gov.my/-/perjanjian-peraturan-swap-dua-hala-di-bawah-inisiatif-chiang-mai-ditandatangani
08 Okt 2002,Rizab Antarabangsa BNM pada 30 September 2002,https://www.bnm.gov.my/-/international-reserves-of-bnm-as-at-30-september-2002
30 Sep 2002,Perkembangan Monetari dan Kewangan dalam bulan Ogos 2002,https://www.bnm.gov.my/-/perkembangan-monetari-dan-kewangan-dalam-bulan-ogos-2002
