Case Number,Proceeding ID,Reserved Price (RM),Number of Properties in Auction,Auction Date/Time,Number of Auction,Deposit (Refundable),Address,Lot Number,Parcel Number,Storey Number,Building Number,State,Mukim,District,Coordinate GPS,Property Type,Land Title,Tenure,Built Up (Sf),Land Size (ft²),Land Size (m²),Reserved Area (Malay Reserve/Lot Bumi),Caveat,link,Document,Land Size (acre),Land Size (hectare)
KA-38-307-11/2023,7dae6ae2-e5a5-48fc-bda0-a8481ea9f952," RM 136,000.00",1,"05/03/2024, 09",1,"RM 13,600.00","NO. 32, TAMAN JATI, JALAN PAUH, 06010, CHANGLUN, Kedah",LOT 148,N/A,N/A,N/A,Kedah,BANDAR CHANGLOON,KUBANG PASU,,Terrace,Building,Freehold,0,111.000000,"1,195.000000",Pengisytiharan rezab melayu,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45549,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=4c5ba29f-8428-4616-9bad-1b05dadc2834&Inline=true,,
KA-38-309-11/2023,22302b51-4f25-4426-b86f-2d8083bd929d," RM 265,000.00",1,"05/03/2024, 09",1,"RM 26,500.00","NO. 100, JALAN KEMPAS 6, TAMAN KEMPAS, OFF JALAN CHANGLUN, 06010, CHANGLUN, Kedah",LOT 895 (DAHULUNYA DIKENALI SEBAGAI PT3804),N/A,N/A,N/A,Kedah,BANDAR CHANGLOON (DAHULUNYA DIKENALI SEBAGAI MUKIM TEMIN),KUBANG PASU,,Terrace,Building,Freehold,0,"1,302.430000",121.000000,PENGISYTIHARAN RIZAB MELAYU,KAVEAT PERSENDIRIAN ATAS TANAH NO PERSERAHAN ,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45345,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=a4df5300-b441-4c61-bfcd-f3498ec2f6e9&Inline=true,,
KA-38-311-11/2023,77d3fe98-e7c7-425b-8366-ed90c1498628," RM 450,000.00",1,"05/03/2024, 09",1,"RM 45,000.00","No. 351, Taman Saga, Jalan Alor Mengkudu, 05400, Alor Setar, Kedah",Lot No. 2029  Seksyen 44 (dahulunya dikenali sebagai No. Plot 351),N/A,N/A,N/A,Kedah,Bandar Alor Setar,Kota Setar,,Terrace,Building,Freehold,0,"1,399.000000",130.000000,PENGISYTIHARAN REZAB MELAYU,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45215,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=d912a04b-19f7-4219-a7c4-51bf6acb9202&Inline=true,,
KA-38-334-12/2023,a89d6f25-f8a6-4bca-b056-a1066cc9860e," RM 416,000.00",1,"05/03/2024, 09",1,"RM 41,600.00","No. 361, Jalan Indah 11, Taman Tunku Intan Safinaz, 06000, Jitra, Kedah",PT 3338,N/A,N/A,N/A,Kedah,Bandar Darul Aman,Kubang Pasu,,Semi-Detached,Building,Freehold,0,"2,799.000000",260.000000,N/A,Kaveat Persendirian No. Perserahan,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45213,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=016d89e7-9805-4427-aa52-158a80bbdb8a&Inline=true,,
KA-38-336-12/2023,d77abb3c-c96f-44ca-97ee-48fa22c6fa8f," RM 405,000.00",1,"05/03/2024, 09",1,"RM 40,500.00","No. 7, Jalan Berjaya, Taman Berjaya, 06100, Kodiang, Kedah",Lot 53660,N/A,N/A,N/A,Kedah,Bandar Kodiang,Kubang Pasu,,Office Building,Building,Freehold,0,"1,195.000000",111.000000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45218,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=f4e3e626-9152-4d4d-a18d-5ed51997a2ab&Inline=true,,
KA-38-345-12/2023,888ad137-fb0f-4735-b865-1667bfd3ed02," RM 290,000.00",1,"05/03/2024, 09",1,"RM 29,000.00","31, TAMAN SEJAHTERA, JALAN KUALA KEDAH, 06600, KUALA KEDAH, Kedah",LOT 1930 (DAHULUNYA DIKENALI SEBAGAI PT 1665),N/A,N/A,N/A,Kedah,BANDAR KUALA KEDAH,KOTA SETAR,,Semi-Detached,Building,Freehold,0,"2,992.000000",278.000000,PENGISYTHIRAN REZAB MELAYU,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45214,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=e7c617bb-2064-4ea8-bdad-66bfd248ddb2&Inline=true,,
KB-38-1084-11/2023,339dcf43-c324-47c1-aae9-3dd1c975389e," RM 250,000.00",1,"05/03/2024, 09",1,"RM 25,000.00","No.327-B, Lorong Astana 7/1, Bandar Seri Astana, 08000, Sungai Petani, Kedah",P.T.No. 83116,N/A,N/A,N/A,Kedah,Bandar Sungai Petani,Kuala Muda,,Terrace,Building,Freehold,0,"1,539.000000",143.000000,LOT UNTUK ORANG MELAYU,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45216,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=2aeff6c1-fe40-43fe-abbd-03f5f013868f&Inline=true,,
KB-38-1090-11/2023,c5f2d5c8-4049-4752-8171-d6f5dd8b41db," RM 130,000.00",1,"05/03/2024, 09",1,"RM 13,000.00","NO. 8777, NAKBI, BELAKANG PKNK SUNGAI PAU ESTATE, 08200, SIK, Kedah",LOT 8777,N/A,N/A,N/A,Kedah,MUKIM SIK,SIK,,Land,Agriculture,Freehold,0,,,PENGISYTIHARAN REZAB MELAYU,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45278,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=6386d46f-6099-453b-be92-f96d8764d1aa&Inline=true,3.280000,1.330000
KB-38-1092-11/2023,273ffd71-8fa1-4826-8fa3-b9f3e8050b97," RM 220,000.00",1,"05/03/2024, 09",1,"RM 22,000.00","No. 291, Jalan Belibis, Taman Tunku Putra (Belibis), 09000, Kulim, Kedah",PT 291,N/A,N/A,N/A,Kedah,Bandar Kulim,Kulim,,Terrace,Building,Leasehold,0,"1,400.000000",130.060000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45217,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=839a7638-9350-4d1b-957e-6d1d560aab67&Inline=true,,
KB-38-1098-11/2023,17b46517-bb70-4ec1-b184-ae7045d68180," RM 180,000.00",1,"05/03/2024, 09",1,"RM 18,000.00","No.185, Jalan Bukit Puteri 1/16, Bandar Puteri Jaya, 08000, Sungai Petani, Kedah","Lot No.5071, Seksyen 67",N/A,N/A,N/A,Kedah,Bandar Sungai Petani,Kuala Muda,,Terrace,Building,Freehold,0,"1,539.000000",143.000000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45288,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=d1e5183c-b429-4df7-bb8d-826153ccdde1&Inline=true,,
KB-38-1112-11/2023,3c6c1a5c-c4dc-4655-9837-7078e305649b," RM 150,000.00",1,"05/03/2024, 09",1,"RM 15,000.00","No. 2606, Jalan Bandar Puteri Jaya 1/22, Bandar Puteri Jaya, 08000, SUNGAI PETANI, Kedah",Lot 43153,N/A,N/A,N/A,Kedah,BANDAR SUNGAI PETANI,KUALA MUDA,,Terrace,Building,Freehold,0,"1,100.000000",102.000000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45285,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=49d03674-cc91-470c-8202-b40a1c4fa46a&Inline=true,,
KB-38-1114-11/2023,e8e8c2be-b036-4fff-85e5-cc0b57002448," RM 360,000.00",1,"05/03/2024, 09",1,"RM 36,000.00","No. 299D, Lorong PH A/3, Bandar Seri Astana, 08000, Sungai Petani, Kedah",P. T. No. 97310,N/A,N/A,N/A,Kedah,Bandar Sungai Petani,Daerah Kuala Muda,,Semi-Detached,Building,Freehold,0,"3,196.910000",297.000000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45276,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=a486feb4-6248-4a86-b4be-00532627158a&Inline=true,,
DA-38-654-11/2023,ad48b697-502e-4315-b442-821fa8f6440a," RM 150,000.00",1,"05/03/2024, 09",1,"RM 15,000.00","PT 3017, JALAN  GEMERSIK, TAMAN SRI BAYU, 16200, TUMPAT, Kelantan",PT 3017,N/A,N/A,N/A,Kelantan,TUMPAT,JAJAHAN TUMPAT,,Terrace,Building,Leasehold,0,"1,097.920000",102.000000,DI DALAM KAWASAN RIZAB MELAYU,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/43036,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=f054b562-d886-4367-9a87-3c450cac5117&Inline=true,,
DA-38-655-11/2023,292ea523-1f8f-4f2d-8da7-b55016b7d31e," RM 210,000.00",1,"05/03/2024, 09",1,"RM 21,000.00","PT 10304, DESA WIRAJAYA GUAL PERIOK, DESA WIRAJAYA GUAL PERIOK, 17010, PASIR MAS, Kelantan",PT 10304,N/A,N/A,N/A,Kelantan,APAM,JAJAHAN PASIR MAS,,Terrace,Building,Leasehold,0,"1,539.000000",143.000000,DI DALAM KAWASAN RIZAB MELAYU,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/43061,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=43fec0a8-38f8-4d57-bcb0-46034c245012&Inline=true,,
DA-38-656-11/2023,7cbb5300-7ad0-467a-ad94-ff9339699e96," RM 155,000.00",1,"05/03/2024, 09",1,"RM 15,500.00","PT 3054, JALAN GEMERSIK 4, TAMAN SRI BAYU, 16200, TUMPAT, Kelantan",PT 3054,N/A,N/A,N/A,Kelantan,TUMPAT,JAJAHAN TUMPAT,,Terrace,Building,Leasehold,0,"1,097.920000",102.000000,DI DALAM KAWASAN RIZAB MELAYU,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/43062,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=c9f02756-e964-4b87-a613-79295a6782bc&Inline=true,,
DA-38-657-11/2023,d91eca8c-d221-4f3d-b79e-6bab0d17bccd," RM 139,500.00",1,"05/03/2024, 09",1,"RM 13,950.00","PT 2678, TAMAN SRI BAYU, TAMAN SRI BAYU, 16200, TUMPAT, Kelantan",PT 2678,N/A,N/A,N/A,Kelantan,TUMPAT,JAJAHAN TUMPAT,,Terrace,Building,Leasehold,0,"1,195.000000",111.000000,DI DALAM KAWASAN RIZAB MELAYU,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/43144,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=f3f0deca-5296-49f4-8965-01ccbd7f6773&Inline=true,,
DA-38-658-11/2023,18530b72-88db-43cc-9be5-a75e15e9cd0f," RM 132,300.00",1,"05/03/2024, 09",1,"RM 13,230.00","PT 2967, TAMAN SRI BAYU, TAMAN SRI BAYU, 16200, TUMPAT, Kelantan",PT 2967,N/A,N/A,N/A,Kelantan,TUMPAT,JAJAHAN TUMPAT,,Terrace,Building,Leasehold,0,"1,097.920000",102.000000,DI DALAM KAWASAN RIZAB MELAYU,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/43141,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=0fbc07c8-aad9-4a08-a213-0f1bb6a059c1&Inline=true,,
DA-38-659-11/2023,edfc86df-efdb-4bb1-958e-b3d874d59be3," RM 130,500.00",1,"05/03/2024, 09",1,"RM 13,050.00","PT 3181, TAMAN SRI BAYU, TAMAN SRI BAYU, 16200, TUMPAT, Kelantan",PT 3181,N/A,N/A,N/A,Kelantan,TUMPAT,JAJAHAN TUMPAT,,Terrace,Building,Leasehold,0,"1,097.920000",102.000000,DI DALAM KAWASAN RIZAB MELAYU,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/43142,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=98cb7310-da99-44e4-9d95-2e99ecec49ef&Inline=true,,
DA-38-660-11/2023,c8a29b88-e206-42ec-bc11-47f8ba43c0f1," RM 187,200.00",1,"05/03/2024, 09",1,"RM 18,720.00","PT 10445, JALAN WIRA 4A, DESA WIRAJAYA, 17040, PASIR MAS, Kelantan",PT 10445,N/A,N/A,N/A,Kelantan,APAM,JAJAHAN PASIR MAS,,Terrace,Building,Leasehold,0,"1,539.000000",143.000000,DI DALAM KAWASAN RIZAB MELAYU,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/43128,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=05cc78bf-2e35-485d-bcef-e3f791381caa&Inline=true,,
DA-38-661-11/2023,f4422c20-4505-4d44-ace1-bcf9a5ad0705," RM 210,600.00",1,"05/03/2024, 09",1,"RM 21,060.00","PT 10668, JALAN WIRA 1A, DESA WIRAJAYA GUAL PERIOK, 17010, PASIR MAS, Kelantan",PT 10668,N/A,N/A,N/A,Kelantan,APAM,JAJAHAN PASIR MAS,,Terrace,Building,Leasehold,0,"1,539.000000",143.000000,DI DALAM KAWASAN RIZAB MELAYU,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/43129,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=e8251b2b-10f9-49a3-b11e-293c4c6b9bcf&Inline=true,,
DA-38-662-11/2023,28fcb517-4825-4469-90b3-a96205655ed5," RM 130,500.00",1,"05/03/2024, 09",1,"RM 13,050.00","PT 3166, JALAN GEMERSIK, TAMAN SRI BAYU, 16200, TUMPAT, Kelantan",PT 3166,N/A,N/A,N/A,Kelantan,TUMPAT,JAJAHAN TUMPAT,,Terrace,Building,Leasehold,0,"1,097.920000",102.000000,DI DALAM KAWASAN RIZAB MELAYU,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/43130,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=23e2851d-7ca5-4fbc-8a82-4848d189df40&Inline=true,,
CA-38-452-11/2023,b1a4c07e-26ea-46b8-ab74-2ac317c7257b," RM 153,000.00",1,"05/03/2024, 09",1,"RM 15,300.00","NO. 10, JALAN 9, TAMAN TAS JALAN GAMBANG, 25150, KUANTAN, Pahang",LOT 2220/803,,N/A,N/A,Pahang,KUALA KUANTAN,KUANTAN,,Terrace,Building,Freehold,0,"1,080.000000",100.330000,,,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/43639,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=d41fbcf3-3449-4c82-b180-cef786b0c50c&Inline=true,,
CB-38-158-09/2023,d117dd70-aa43-4793-a31d-103acd8ce3f7," RM 1,100,000.00",1,"05/03/2024, 09",1,"RM 110,000.00","No. P6, -, Taman Anggerik Utama, 28700, Bentong, Pahang",PT 21961,N/A,N/A,N/A,Pahang,BENTONG,BENTONG,,ShopOffice,Building,Freehold,0,"1,679.000000",156.000000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/45438,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=9ab601da-c525-43af-95ff-b251cba46686&Inline=true,,
CB-38-201-11/2023,c3e76803-fd0f-41e7-8783-a27930484ee5," RM 174,960.00",1,"05/03/2024, 09",1,"RM 17,496.00","NO. T-376, JALAN INDERAPURA 18, TAMAN INDERAPURA FASA 5A, 27000, JERANTUT, Pahang",PT 2584,N/A,N/A,N/A,Pahang,PEDAH,JERANTUT,,Terrace,Building,Leasehold,"1,380","1,647.000000",153.000000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/44721,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=bbff88d3-b3c8-48b1-9334-41d3f2c065d7&Inline=true,,
BA-38-1609-08/2023,7509071d-84ec-435b-a430-7b96d8ded152," RM 300,000.00",1,"05/03/2024, 09",1,"RM 30,000.00","NO.2B-01-01, JADE TOWER, LENGKONGAN BUKIT INDAH, TAMAN BUKIT INDAH, 68000, AMPANG, Selangor",14441,151,2,M2,Selangor,Mukim Ulu Kelang,GOMBAK,,Condominium,Residential,Leasehold,0,936.000000,87.000000,,,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/44409,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=fcf422ff-310a-48df-8428-9560f3cfd3bd&Inline=true,,
BA-38-1613-08/2023,6b6e0424-d637-4803-9114-5ce484c8a7b1," RM 400,000.00",1,"05/03/2024, 09",1,"RM 40,000.00","No. 1, Jalan Anggerik 3B/2, Seksyen BS7, Bukit Sentosa, 48300, Rawang, Selangor","Lot 18837, Seksyen 20",-,-,-,Selangor,Bandar Serendah,Ulu Selangor,,Terrace,Building,Freehold,0,"2,368.140000",220.000000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/44632,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=576a0f7d-73c6-4547-8125-2818de4d8e40&Inline=true,,
BA-38-1618-08/2023,4d3a8b1d-b362-4d31-88f9-dfefb0f510dd," RM 240,000.00",1,"05/03/2024, 09",1,"RM 24,000.00","Unit No. 18-04, Block 54, Sri Angkasa Apartment, Jalan Kanchung Darat 28/7, Taman Alam Megah,Seksyen 28, 40400, Shah Alam, Selangor",Lot No. 21902,137,18,M1,Selangor,Pekan Hicom,Petaling,,Flat,Residential,Freehold,0,958.000000,89.000000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/44467,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=742fdc6d-911a-4f69-b428-b712b8972fdf&Inline=true,,
BA-38-1628-08/2023,b56c9ae8-fdeb-4be2-8993-2e435ade2466," RM 1,000,000.00",1,"05/03/2024, 09",1,"RM 100,000.00","No. 35, Jalan B.T.K. 5/6, Section 5, Bandar Teknologi Kajang, 43500, Semenyih, Selangor",PT 105,N/A,N/A,N/A,Selangor,"Bandar Batu 18, Semenyih",Ulu Langat,,Terrace,Building,Freehold,"4,184","3,605.000000",334.910000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/44472,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=7214d3f8-057f-48e4-b976-94ba39368e7d&Inline=true,,
BA-38-1633-08/2023,5677a817-1627-45a7-8c4e-680e29f42d4e," RM 430,000.00",1,"05/03/2024, 09",1,"RM 43,000.00","No. 40, Jalan PP 5/26, Taman Putra Prima, 47100, Puchong, Selangor",Lot No. 41113,N/A,N/A,N/A,Selangor,Dengkil,Sepang,,Semi-Detached,Residential,Freehold,0,"1,173.000000",109.000000,N/A,N/A,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/44633,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=564d7a42-3503-4a0a-a1d1-70c81ac68735&Inline=true,,
BA-38-1638-08/2023,969da828-cf55-4723-abc7-0b08c50f9b94," RM 1,300,000.00",1,"05/03/2024, 09",1,"RM 130,000.00","No. 4, Jalan Tun Teja 35/14C, Alam Impian, Seksyen 35, 40470, Shah Alam, Selangor",PT 137692,-,-,N/A,Selangor,Klang,Klang,,Semi-Detached,Building,Freehold,0,"3,200.010000",297.300000,N/A,Kaveat Persendirian atas Tanah No. Perserahan 45804/2018 bertarikh 2.10.2018,https://elelong.kehakiman.gov.my/BidderWeb/Home/Detail/44475,https://efs.kehakiman.gov.my/EFSWeb/DocDownloader.aspx?DocumentID=05b0f85c-00ca-4c0b-b13a-2e3cfe713d5a&Inline=true,,
