News,Label
Keracunan Alkohol Di Sekitar Kuala Lumpur Dan Selangor?,Fake
"Kementerian Kesihatan Malaysia (KKM) memperjelaskan kejadian disyaki keracunan alkohol di sekitar Kuala Lumpur dan Selangor. Kementerian Kesihatan Malaysia (KKM) mengambil maklum mengenai kejadian disyaki keracunan metanol sekitar Kuala Lumpur dan Negeri Selangor.  . Daripada jumlah tersebut, sebanyak 3 orang adalah warganegara Malaysia dan 48 orang adalah bukan warganegara Malaysia (daripada negara Myanmar, Nepal, Bangladesh dan India). Setakat daripada jumlah tersebut juga, sejumlah 19 orang telah meninggal dunia, 14 pesakit dalam keadaan kritikal, 9 pesakit dimasukkan ke wad untuk rawatan dan pemerhatian, dan 9 orang pesakit dibenarkan pulang setelah menjalani rawatan. Jumlah kes dijangkakan   apabila lebih ramai pesakit datang mendapatkan rawatan bagi kes keracunan metanol. Kesemua mereka mempunyai sejarah pengambilan minuman beralkohol jenis sebatian minuman keras  . Kesemua mereka telah menunjukkan tanda-tanda dan gejala keracunan metanol seperti sakit perut, loya, muntah, sakit kepala, kabur penglihatan dan ada yang mengalami sesak nafas, kekejangan dan tidak sedarkan diri. Tanda-tanda dan gejala awal keracunan dialami satu (1) atau dua (2) hari selepas tarikh akhir meminum minuman tersebut. Ujian makmal seperti ujian darah, air kencing telah diambil dari pesakit dan dihantar ke makmal forensik Hospital Sungai Buloh untuk dianalisa. Selain dari itu, KKM telah memaklumkan kepada semua fasiliti kesihatan untuk kesiapsiagaan rawatan kes-kes sekiranya mereka hadir di klinik dan hospital dengan tanda dan gejala keracunan metanol. Hasil siasatan yang dijalankan oleh Jabatan Kesihatan Wilayah Persekutuan Kuala Lumpur, Jabatan Kesihatan Negeri Selangor dan Pejabat Kesihatan Daerah yang terlibat mendapati kesemua pesakit yang terlibat telah membeli minuman sebatian keras di premis-premis di sekitar Kuala Lumpur dan Selangor. Sampel minuman alkohol yang diambil semasa siasatan kes dan pemeriksaan premis-premis jualan telah dihantar ke Makmal Kesihatan Awam Kebangsaan Sungai Buloh (MKAK) untuk ujian analisa kandungan minuman. KKM ingin menasihatkan masyarakat agar menjauhi daripada mengambil sebarang minuman beralkohol yang mungkin mengandungi metanol yang mendatangkan masalah kesihatan dengan tanda-tanda dan gejala seperti sesak nafas, sakit perut, loya atau muntah, cirit-birit, pening atau sakit kepala yang teruk, kabur penglihatan dan kekejangan serta boleh mengakibatkan maut. ",Real
Klip Video Dera Anak Berkait Dengan Penculikan Tiga Orang Kanak-Kanak Di Terengganu? Tular di media sosial dakwaan sebuah klip video kanak-kanak didera yang kononnya berkaitan dengan kes penculikan tiga (3) orang anak yang berlaku di Terengganu.,Fake
Polis Diraja Malaysia (PDRM) Terengganu menafikan kejadian penculikan 3 orang anak yang berlaku di negeri Terengganu sebagaimana yang ditular di media sosial dan aplikasi ‘whatsApp’. Kes tersebut adalah berpunca daripada perselisihan faham antara suami dan isteri dan menyebabkan isterinya telah membawa 3 orang anaknya keluar dari rumah dan laporan polis telah dibuat oleh suaminya di Balai Polis Chabang Tiga pada 17/9/2018. Video yang berdurasi selama 1.07 minit itu telah menunjukkan seorang kanak-kanak lelaki yang dipaksa oleh seorang lelaki yang dipercayai warga Indonesia untuk memanggil ibunya. Pihak polis memandang serius tindakan sesetengah pihak yang tidak bertanggungjawab menular berita kononnya video tersebut ada kaitan dengan kes tersebut. Pihak polis menafikan ada berlakunya kes seperti itu di negeri ini dan tiada laporan polis diterima setakat ini mengenai kejadian cubaan culik kanak-kanak. Pihak polis telah memanggil suami kepada isteri yang melarikan 3 orang anaknya dan telah disahkan oleh pihaknya bahawa video tersebut adalah bukan anaknya. ,Real
Penganjuran Aktiviti Pelaburan Wang Kutu Akan Dikenakan Denda Dan Penjara?,Fake
"Suruhanjaya Syarikat Malaysia (SSM) memperjelaskan lebih terperinci berhubung larangan aktiviti pelaburan wang kutu, yang membawa kepada denda tidak melebihi RM500,000 atau dipenjarakan untuk tempoh tidak melebihi sepuluh tahun. Mana-mana entiti syarikat atau perniagaan di luar sana tidak dibenarkan sama sekali menganjurkan sebarang aktiviti berbentuk skim wang kutu. Perkara tersebut jelas dinyatakan di bawah Akta (Larangan) Kumpulan Wang Kutu 1971 yang melarang mana-mana syarikat yang ditubuhkan di bawah Akta Syarikat 2016 (atau dahulunya Akta Syarikat 1965) atau perniagaan berdaftar di bawah Akta Pendaftaran Perniagaan 1956, menjalankan aktiviti perniagaan berkenaan. Jika didapati bersalah, penganjur boleh didenda tidak melebihi RM500,000 atau dipenjarakan untuk tempoh tidak melebihi sepuluh tahun atau kedua-duanya sekali. Walau bagaimanapun, skim wang kutu tradisional yang biasanya dianjurkan atas dasar kemasyarakatan dan kepercayaan dalam kalangan jiran tetangga, sahabat handai, saudara-mara atau rakan kerja bagi tujuan mengumpulkan wang mengikut keperluan masing-masing tanpa sebarang keuntungan bagi mana-mana individu , tidak termasuk dalam Akta ini. Ini kerana skim wang kutu tradisional hanya memberikan kembali jumlah yang disumbang mengikut giliran yang ditetapkan. SSM ingin menegaskan bahawa aktiviti wang kutu yang mendatangkan hasil yang berlipatganda berbanding sumbangan yang diberikan termasuk apa-apa pulangan tambahan selain daripada wang sumbangan asal adalah termasuk dalam aktiviti yang dilarang dan tidak terkecuali dari Akta ini. ",Real
Terdapat Jarum Dalam Buah Strawberi Keluaran Negara Australia?,Fake
"Kementerian Kesihatan Malaysia (KKM) memperjelaskan laporan berhubung kejadian jarum dalam buah Strawberi segar keluaran Negara Australia. Sebagai langkah berjaga-jaga, KKM melalui Bahagian Keselamatan dan Kualiti Makanan (BKKM) telah mengenakan pemeriksaan ke atas semua strawberi segar yang diimport daripada Australia di semua pintu masuk negara. Di samping itu, Pihak Berkuasa Australia memberi jaminan bahawa berkuatkuasa 19 September 2018, produk tersebut yang akan dieksport dari Australia bebas dari pencemaran logam melalui pengeluaran Perakuan Permit (  – RFPs) kepada pengeksport. Dalam hal ini, KKM bekerjasama rapat dengan Pejabat Pesuruhjaya Tinggi Australia di Malaysia berkaitan isu ini. Semua makanan yang diimport ke negara ini perlu mematuhi Akta Makanan 1983 dan peraturan-peraturan di bawahnya. Adalah menjadi tanggungjawab pihak terlibat seperti pengimport, agen, penjual dan sebagainya untuk memastikan produk makanan yang diimport dan dijual di pasaran mematuhi perundangan makanan. Seksyen 13 Akta Makanan 1983 memperuntukkan mana-mana pihak yang terlibat mengimport, mengedar, menyimpan atau menjual makanan yang ada dalam atau padanya apa-apa bahan yang beracun, merosakkan atau selainnya memudaratkan kesihatan adalah melakukan kesalahan dan apabila disabitkan boleh didenda tidak melebihi RM100,000 atau penjara selama tempoh tidak melebihi 10 tahun atau kedua-duanya sekali. KKM sentiasa peka dan prihatin terhadap perkara-perkara yang boleh mengancam kesihatan pengguna. ",Real
Seekor Harimau Jinak Dimandikan Oleh Seorang Lelaki Di Terengganu? Tular di media sosial satu klip video seorang lelaki yang memandikan seekor harimau di negeri Terengganu.,Fake
"JABATAN Perlindungan Hidupan Liar dan Taman Negara (PERHILITAN) Terengganu mengesahkan video lelaki memandikan harimau yang tular di laman sosial sejak kelmarin adalah video lama dan tidak berlaku di negeri tersebut. Pengarahnya Rahmah Ilias berkata, hasil siasatan dijalankan mendapati ia adalah video lama. “Berdasarkan cara percakapan di dalam video itu, lelaki terbabit bercakap dalam dialek Terengganu namun, siasatan mendapati ia bukan sahaja tidak berlaku di negeri ini malah, ia video lama yang ditularkan semula.” Menurut Rahmah, mereka yang ingin membela harimau perlu mempunyai permit khas dengan mendapat kelulusan daripada Menteri Air, Tanah dan Sumber Asli. “Permit ini dikeluarkan untuk zoo dan bukan orang perseorangan dan jika ada yang membelanya tanpa permit khas, ia boleh disiasat mengikut Akta Pemuliharaan Hidupan Liar 2010 (Akta 716).” ",Real
"Rumah Anak Yatim Akan Ditutup, Kanak-Kanak Perlukan Penjagaan? Tular di media sosial dakwaan kononnya terdapat rumah anak yatim yang akan ditutup dan terdapat 15 orang bayi dan kanak-kanak yang memerlukan penjagaan. Turut ditularkan bersama adalah gambar tiga orang kanak-kanak.",Fake
"Seorang bapa mengecam tindakan segelintir pihak tidak bertanggungjawab yang menggunakan gambar anaknya untuk sebaran maklumat palsu mengenai isu anak yatim hilang tempat tinggal dan memerlukan penjagaan di media sosial. Dalam kenyataan melalui akaun Facebook Hizami Ejump itu turut memaklumkan laporan polis sudah dibuat dan aduan sama turut dipanjangkan kepada Suruhanjaya Komunikasi dan Multimedia Malaysia (SKMM) untuk tindakan lanjut. “Hasil pemeriksaan tiada rumah jagaan anak yatim yang masih bayi dalam pesanan WhatsApp itu dan kalau betul ada, JKM sudi membantu sebab kita tak mahu perkara ini satu penipuan.”     ",Real
"Cubaan Penculikan Seorang Murid Perempuan Di Balok, Kuantan? Tular di media sosial dakwaan kononnya terdapat cubaan penculikan seorang murid perempuan di hadapan sebuah sekolah di Balok, Kuantan.",Fake
"Penularan berita palsu mengatakan seorang murid perempuan cuba diculik di hadapan sebuah sekolah di Kuantan adalah tidak benar. Polis sudah mengambil keterangan daripada murid perempuan berusia 10 tahun itu yang mendakwa cuba diculik selepas ditarik seorang lelaki di hadapan sekolah berkenaan. Selain kanak-kanak itu, polis turut merakam keterangan daripada bapa mangsa berusia 36 tahun dan dua rakannya bagi membantu siasatan serta mereka dibawa ke lokasi untuk mendapatkan gambaran sebenar kejadian. Setakat ini, pihak polis mendapati kejadian tiada unsur culik dan dipercayai ditularkan ibu mangsa melalui aplikasi ‘Whatsapp’ sebelum laporan polis dibuat. Orang ramai dinasihatkan supaya tidak tularkan berita palsu hingga wujudkan suasana tidak tenteram dalam kalangan masyarakat. Tindakan menyebar berita palsu boleh dikenakan di bawah Seksyen 233(1) Akta Komunikasi dan Multimedia 1998. ",Real
Waspada Sindiket Yang Menyamar Sebagai Pihak Berkuasa,Fake
"Orang ramai dinasihatkan agar berwaspada dengan sindiket penipuan yang menyamar sebagai pihak berkuasa, yang memaklumkan bahawa ahli keluarga mangsa telah ditahan bagi tujuan membantu siasatan. Sindiket penipuan ini biasanya akan memperdaya mangsa dengan cara menyamar sebagai pihak berkuasa yang memaklumkan bahawa ahli keluarga mangsa sama ada ayah, ibu atau anak mereka telah ditahan bagi tujuan membantu siasatan. Sindiket kemudiannya akan mengarahkan mangsa memasukkan wang demi menyelamatkan ahli keluarga mangsa tadi daripada merengkok di dalam lokap. Tips untuk mengelak menjadi mangsa penipuan ini: – Jangan mudah percaya dengan mana-mana panggilan telefon terutamanya yang meminta anda memasukkan wang ke dalam sesuatu akaun bank. – Jangan sesekali takut, gelisah atau malu untuk menghubungi semula mana-mana balai polis yang dikatakan tempat ahli keluarga itu ditahan. – Jangan mendedahkan apa-apa maklumat peribadi perbankan anda di dalam talian telefon. – Jangan sesekali membuat transaksi wang kepada sesiapa yang tidak dikenali di dalam talian telefon. – Jangan sesekali menyerahkan akaun bank sendiri kepada sesiapa bagi tujuan menyalahi undang-undang. ",Real
Waspada Penyamaran Seorang Wanita Berwarganegara Amerika Syarikat Sebagai Pegawai Kementerian,Fake
"Orang ramai dinasihatkan supaya berhati-hati dengan dengan penyamaran seorang wanita warganegara Amerika Syarikat yang menggunakan nama Kementerian untuk memperdaya orang ramai bagi tujuan penipuan. Kementerian Air, Tanah dan Sumber Asli (KATS) ingin memaklumkan kepada orang ramai bahawa terdapat seorang wanita warganegara Amerika Syarikat yang menggunakan nama Kementerian untuk memperdaya orang ramai bagi tujuan penipuan. Modus operandi yang digunakan ialah penyamaran sebagai pegawai di Kementerian Sumber Asli dan Alam Sekitar (nama kementerian sebelum 2 Julai 2018), di mana individu berkenaan mengemukakan pasport dan pas lawatan kerja sementara untuk mengaburi kegiatan penipuan yang dijalankan. Berdasarkan pemantauan, kegiatan penipuan ini giat dilakukan secara rawak dalam talian ( ) yang mana suspek memberitahu berminat untuk menyewa rumah yang telah diiklankan di internet. Dengan ini, Kementerian Air, Tanah dan Sumber Asli ingin menegaskan kepada orang awam bahawa individu terbabit bukan pegawai yang dilantik berkhidmat di man-mana jabatan di bawah kementerian ini. ",Real
Lambakan Sayur Tidak Bermutu Kerana Kelemahan Penguatkuasaan Produk Import?,Fake
"Kementerian Kesihatan Malaysia (KKM) memperjelaskan dakwaan bahawa terdapat longgokan sayur yang kurang bermutu berikutan kelemahan penguatkuasaan terhadap import produk makanan dari negara lain, sepertimana yang hangat diperkatakan. Menurut kenyataan rasmi dari Ketua Pengarah Kesihatan: Kementerian Kesihatan Malaysia (KKM) mengambil maklum artikel oleh Presiden Persatuan Pengguna Pulau Pinang (CAP) bertajuk “ ” yang disiarkan pada 5 September 2018 dalam akhbar Utusan Malaysia yang merujuk kepada   bertarikh 23 Ogos 2018 yang melaporkan kebimbangan longgokan sayur yang kurang bermutu berikutan kelemahan penguatkuasaan terhadap import produk makanan dari negara lain. KKM melalui Bahagian Keselamatan dan Kualiti Makanan bertanggungjawab untuk memastikan produk makanan di pasaran tempatan dan diimport mematuhi Akta Makanan 1983 dan peraturan-peraturan di bawahnya. Peraturan-Peraturan Makanan 1985 telah menetapkan kadar maksimum residu racun perosak ( MRLs) bagi komoditi makanan termasuk sayur-sayuran dan buah-buahan. Hasil pemantauan KKM dari tahun 2017 sehingga Jun 2018, sebanyak 5144 sampel sayur-sayuran dan buah-buahan telah diambil di pasaran tempatan dan di pintu masuk negara bagi yang diimport untuk dianalisis. Hasil analisis mendapati hanya sebanyak 97 (1.9%) sampel dikesan mengandungi residu racun perosak melebihi kadar maksimum yang dibenarkan. Daripada jumlah ini, sebanyak 526 adalah sampel cili segar di mana sebanyak 9 (1.7%) sampel tidak mematuhi Akta Makanan 1983 dan tindakan penguatkuasaan telah dijalankan. Di bawah Seksyen 13, Akta Makanan 1983 telah menetapkan bahawa mana-mana orang yang menyediakan atau menjual apa-apa makanan yang ada dalam atau padanya apa-apa bahan yang beracun, merosakkan atau selainnya memudaratkan kesihatan adalah melakukan kesalahan dan apabila disabitkan boleh didenda tidak melebihi RM100,000 atau penjara selama tempoh tidak melebihi 10 tahun atau kedua-duanya sekali. KKM akan meningkatkan pemantauan ke atas sayur-sayuran termasuk cili dan buah-buahan import di pintu masuk negara dan di pasaran tempatan bagi memastikan pematuhan ke atas Akta Makanan 1983 dan peraturan-peraturan di bawahnya. KKM sentiasa peka dan prihatin terhadap perkara-perkara yang boleh mengancam kesihatan pengguna. Sekiranya pengguna mempunyai sebarang kemusykilan berhubung sebarang isu keselamatan makanan, pengguna boleh menghubungi Pejabat Kesihatan Daerah atau Jabatan Kesihatan Negeri terdekat atau melalui laman sesawang   atau facebook Bahagian Keselamatan dan Kualiti Makanan (BKKM)  .   ",Real
Waspada Produk Garcinia Cambogia Booster Capsule Dan SS-II Cosmetic 5 In I Serlahkan Kejelitaanmu-Herbal Cream,Fake
"Orang ramai diminta berwaspada dengan produk   yang mengandungi   dan  yang mengandungi  Menurut kenyataan rasmi Ketua Pengarah Kesihatan Malaysia : Produk   dan   dengan Pihak Berkuasa Kawalan Dadah (PBKD) di Malaysia. Sekiranya terdapat penjual dan pengedar produk ini, adalah diberi amaran bahawa pemilikan untuk jualan produk ini melanggar Akta Jualan Dadah 1952 dan Peraturan-Peraturan Kawalan Dadah dan Kosmetik 1984. Individu yang melakukan kesalahan di bawah Peraturan-Peraturan ini boleh dikenakan hukuman denda tidak melebihi RM25,000 atau penjara tidak melebihi 3 tahun atau kedua-duanya untuk kesalahan pertama dan denda tidak melebihi RM50,000 atau penjara tidak melebihi 5 tahun atau kedua-duanya untuk kesalahan-kesalahan berikutnya. Syarikat yang melakukan kesalahan boleh dikenakan denda sehingga RM50,000 untuk kesalahan pertama dan denda sehingga RM100,000 untuk kesalahan berikutnya. Jika ada orang awam yang sedang menggunakan produk-produk yang dinyatakan digesa supaya mendapatkan nasihat serta rawatan dari profesional kesihatan dengan  . Orang awam yang mempunyai maklumat mengenai produk-produk tidak berdaftar ini dinasihatkan untuk menyalurkan maklumat melalui portal Sistem Pengurusan Aduan Agensi Awam (SisPAA) di alamat   agar tindakan sewajarnya dapat diambil bagi membanteras pengedaran produk-produk ini di pasaran. Orang awam diminta untuk memastikan produk yang diguna adalah produk berdaftar di mana ianya mempunyai pelekat hologram dan dilabel dengan nombor Pendaftaran MAL. Semakan status pendaftaran sesuatu produk boleh dibuat melalui laman sesawang   atau menghubungi Bahagian Regulatori Farmasi Negara (NPRA) di talian 03-78835400.” ",Real
"Taklimat Kerjaya Dan Temuduga Khas Lanjutan Pelajaran Akan Diadakan Di JPBM Miri? Hangat diperkatakan di media sosial dakwaan bahawa terdapat program taklimat kerjaya serta temuduga khas untuk melanjutkan pelajaran yang akan diadakan di premis Jabatan Bomba dan Penyelamat Miri, Jumaat ini (14 September 2018).",Fake
Jabatan Bomba dan Penyelamat Miri menafikan mesej tular di media sosial yang mendakwa program taklimat kerjaya serta temuduga khas untuk melanjutkan pelajaran akan diadakan di premisnya Jumaat ini (14 September 2018). ,Real
Pembaharuan Lesen Memandu Di MyKAD Diberhentikan Selepas 17 September 2018?,Fake
Jabatan Pengangkutan Jalan (JPJ) memaklumkan bahawa penggunaan sistem maklumat pemegang lesen memandu di dalam peranti elektronik kad pengenalan (myKAD) bagi menggantikan penggunaan kad fizikal Lesen Memandu Malaysia (LMM)  . Menurut Jabatan Pengangkutan Jalan (JPJ): Dimaklumkan JPJ telah membuat keputusan supaya penggunaan sistem maklumat pemegang lesen memandu di dalam peranti elektronik kad pengenalan (myKAD) bagi menggantikan penggunaan kad fizikal Lesen Memandu Malaysia (LMM) tidak diteruskan. Pembaharuan lesen memandu di dalam myKAD adalah sehingga 17 September 2018 sahaja dan tiada pembaharuan selepas daripada tarikh itu. ,Real
Masalah Air Di Selangor Angkara Sabotaj? Tular di media sosial dakwaan bahawa masalah air di Selangor adalah angkara sabotaj pihak tertentu.,Fake
"Ketua Setiausahanya, Datuk Seri Dr. Zaini Ujang berkata, tuduhan fitnah tersebut merupakan satu percubaan untuk menyembunyikan ketidakcekapan kerajaan PKR Selangor dalam pengurusan air sehingga menyebabkan kontroversi gangguan bekalan air yang berlaku. “Rizab margin simpanan air di Selangor pada 2017 adalah kosong peratus. Faktor ini dikenalpasti antara penyumbang utama masalah bekalan air di Selangor. ",Real
Waspada Produk Kesihatan Tradisional Mengandungi Racun Berjadual Diphenhydramine,Fake
"Orang ramai dinasihatkan agar berhati-hati ketika menggunakan produk kesihatan tradisional yang dikatakan mengandungi racun berjadual Diphenhydramine. Menurut Siaran Media KKM: Hasil pemantauan di pasaran mendapati produk tersebut telah dikesan mengandungi racun berjadual, Diphenhydramine di dalam formulasi produk tradisional. Sehubungan itu, pendaftaran produk ini telah dibatalkan oleh Pihak Berkuasa Kawalan Dadah (PBKD) pada mesyuaratnya yang ke-326 bertarikh 28 Ogos 2018 berikutan pengesanan racun berjadual tersebut di dalam produk berkenaan yang tidak dibenarkan dalam formulasi produk tradisional. Produk Tie Da Zhi Tong Gao didaftarkan sebagai produk tradisional untuk kesakitan akibat lebam dan terseliuh serta sakit otot dan sakit sendi. Diphenhydramine merupakan sejenis antihistamin untuk melegakan reaksi alahan yang dikawal di bawah Akta Racun 1952 dan hanya boleh diperolehi daripada doktor atau ahli farmasi. Kesan sampingan Diphenhydramine yang digunakan secara  (digunapakai ke atas permukaan badan) termasuk ruam, gatal-gatal serta peningkatan kepekaan terhadap cahaya. ",Real
"Menteri Kewangan Keluarkan Kenyataan Mengenai Kaum Tertentu? Tular di media sosial dakwaan bahawa Menteri Kewangan, Lim Guan Eng telah mengeluarkan kenyataan mengenai kaum tertentu.",Fake
"Menteri Kewangan, Lim Guan Eng dalam satu posting di halaman Facebook rasmi beliau mengesahkan bahawa gambar bersama kata-kata yang tular tersebut adalah  . ",Real
Waspada Skim Penipuan Kerja Dari Rumah,Fake
"Orang ramai dinasihatkan supaya berwaspada dengan penipu skim kerja dari rumah yang menjanjikan pendapatan yang lumayan. Menurut Polis Diraja Malaysia (PDRM): Pelbagai lagi taktik dan modus operandi yang digunakan untuk memperdayakan mangsa. 1. Anda perlu membuat pembayaran pendahuluan/yuran 
2. Skop kerja yang terlalu mudah dan sempurna. Contohnya, Tidak memerlukan sebarang pengalaman. Kerja ikut masa sendiri. Pendapatan mingguan cecah lima angka. 1. Suspek menggunakan ‘ ‘ sebelum membuat pengiklanan di group-group media sosial 
2. Menggunakan alamat yang palsu atau tidak wujud. Contoh seperti pejabat-pejabat yang kosong bagi mengelakkan identiti mereka terdedah 
3. Berurusan dengan individu dengan hanya menggunakan telefon bimbit dan tiada nombor telefon rasmi pejabat 
4. Suspek meminta alamat anda untuk pos dokumen berkaitan 
5. Mangsa diminta masukkan wang deposit (wang pendaftaran kerja) ke dalam akaun syarikat atau dibayar melalui kiriman wang, cek serta wang pos 1. Jangan mudah terpedaya dengan tawaran ‘ ‘ 
2. Jangan sesekali melakukan transaksi atau pemindahan wang kepada mana-mana akaun orang yang tidak dikenali serta meragukan. ",Real
Waspada Halaman Facebook Palsu MB Terengganu,Fake
"Orang ramai diminta berwaspada dengan halaman Facebook palsu yang kononnya milik Menteri Besar Terengganu, Dr Ahmad Samsuri bin Mokhtar. Menurut kenyataan rasmi Dr Ahmad Samsuri bin Mokhtar: “Saya dimaklumkan terdapat satu akaun palsu mirip ‘Facebook Page’ saya yang dibuat oleh pihak tidak bertanggungjawab. Akaun rasmi saya adalah   . Selain daripada itu, akaun tersebut bukan milik dan tidak mewakili saya. Mohon semua untuk ‘report kepada Facebook’ page palsu tersebut untuk mengelakkan kekeliruan.” ",Real
KKMM Pantau Pihak Tertentu Dalam Talian? Hangat diperkatakan di media sosial dakwaan bahawa kerajaan  ada membuat pemantauan keatas pihak tertentu menerusi dalam talian.,Fake
"Timbalan Menterinya, Eddin Syazlee Shith berkata, ia selaras dengan dasar kerajaan Persekutuan pimpinan Pakatan Harapan (PH) yang lebih terbuka berbanding kerajaan terdahulu. Jelas beliau, “Kita tak akan mengganggu provasi mana-mana pihak (yang aktif dalam talian) asalkan perkara tersebut dibuat mengikut landasan (undang-undang). (Tetapi) kalau ia dibuat bertentangan dengan undang-undang atau untuk menyebar fitnah atau untuk mencetuskan huru-hara maka kita akan menguatkuasakan undang-undang”. ",Real
Lembaga Zakat Selangor Lewat Salurkan Bantuan Kewangan Bagi Bulan Ogos 2018? Tular di media sosial dakwaan satu kiriman bahawa Lembaga Zakat Selangor lewat dalam menyalurkan bantuan kewangan kepada asnaf fakir dan miskin bagi bulan Ogos 2018.,Fake
"Zakat Selangor menafikan kenyataan tersebut. Setelah semakan dan siasatan terhadap nama asnaf yang diberikan didapati bantuan bulanan telah dikreditkan ke akaun bank asnaf tersebut pada 21 Ogos lepas. Untuk makluman, Zakat Selangor menyalurkan bantuan kewangan bulanan kepada asnaf fakir dan miskin di Selangor melalui dua kaedah iaitu secara kredit ke akaun bank atau melalui tunai. Bantuan bulanan ini yang dikreditkan ke akaun bank oleh Zakat Selangor antara 21hb-25hb setiap bulan. Sehingga kini seramai 24,319 keluarga asnaf fakir, miskin dan muallaf telah disantuni dengan bantuan kewangan bulanan berjumlah RM111, 001, 600. ",Real
Polis Roboh Sekatan Yang Dibina Oleh Orang Asli Di Gua Musang?,Fake
