0,1,2,3,4,5,6
"2. menarik sesuatu supaya berkumpul semula (seperti tali, pukat, benang layang-layang dan lain-lain).",Karau cepat-cepat pukat tu pasai ribot nak mai.,[kA.ÒAw tS«.pAt.tS«.pAt pu.kAt tu pA.sAj Òi.bot nA/ mAj],Tarik cepat-cepat pukat itu sebab nak ribut.,,,
"3. melilit sesuatu (benang, tali tangsi, tali dan sebagainya)",Depa cepat-cepat pulon kampoi tali wau pasai nak ujan.,[dE.pA tS«.pAt.tS«.pAt pu.lon kAm.poj tA.li wAw pA.sAj nA/ u.dZAn],Mereka cepat-cepat melilit tali wau sebab hampir hujan.,,,
2. membolot sesuatu untuk kepentingan diri.,"Reja hat senang-senang depa kampoi habeh, hat susah- susah baru bagi kat kita",[Ò«.dZA hAt s«.nAN.s«.nAN dE.pA kAm.poj hA.beh hAt su.sAh.su.sAh bA.Òu bA.gi kAt ki.tA],"Kerja yang senang-senang mereka bolot habis, yang susah-susah baru bagi pada kita.",,,
"2. berkenaan dengan ikan tertentu (seperti kembung, terubuk) yang boleh diperolehi dengan banyak pada sesuatu ketika",Terubok la ni murah pasai dok tengah jujoh.,[t«.Òu.bo/ lA ni mu.ÒAh pA.sAj do/ t«.NAh dZu.dZoh],Terubuk sekarang murah sebab banyak.,,,
2. sombong dan kurang ajar.,"Sejak dia naek pangkat nampak juah sunggoh, kawan baek pon dia tak mau tegok.",[s«.dZA/ di.jA nAe/ pAN.kAt nAm.pA/ dZu.wAh suN.goh kA.wAn bAe/ pon di.jA tA/ mAw t«.go)Ö],"Sejak dia naik pangkat nampak sangat sombongnya, kawan baik pun dia tidak mahu tegur.",,,
2.terlalu asyik.,"Jangan idap maen dam, lohoq dah nak habeh.","[dZ­A.NAn i.dAp mAen dAm, lo.ho)Ö dAh nA/ hA.beh]","Jangan terlalu asyik main dam, zohor sudah hampir habis.",,,
2. berkenaan dengan tulisan yang tidak cantik,"Budak-budak ni tuleh herot-petot, payah sunggoh nak baca.",[bu.dA.bu.dA ni tu.leh hE.Òt.pE.tt pA.jAh suN.goh nA bA.tSA],"Budak-budak ini tulis tidak cantik, payah sungguh hendak membacanya.",,,
2. berkenaan dengan seseorang yang kesempitan wang.,"Aku dok tengah hap-hap hang mintak duet, mana aku nak robk.",[A.ku do/ t«.NAh hA)p.hA)p hAN min.tA/ du.wet mA.nA A.ku nA/ Òo.bE/],"Saya sedang kesempitan wang awak minta wang lagi, mana saya hendak cari.",,,
5. memukul seseorang,Mata-mata tangkap dia pasai handaih orang.,[mA.tA.mA.tA tAN.kAp di.jA pA.sAj hAn.dAC .ÒAN],Polis menangkapnya kerana memukul seseorang.,,,
"4. merempuh dalam permainan seperti bola sepak, ragbi, bola keranjang dan sebagainya",Dia kena buang padang pasai dok handaih pemaen lawan masa maen bola.,[di.jA k«.nA bu.wAN pA.dAN pA.sAj do/ hAn.dAC p«.mAen lA.wAn mA.sA mAen b.lA],Dia dibuang padang sebab asyik merempuh pemain lawan semasa perlawanan bola sepak.,,,
3. menahan atau menyokong sesuatu.,Ambek kayu cangap tu buat handaih pokok pisang yang dok condong.,[Am.be kA.ju tSA.NAp tu bu.wAt hAn.dAC po.ko pi.sAN jAN do/ tSon.doN],Ambil kayu cangap itu buat penyokong pokok pisang yang sedang condong.,,,
2. melapik sesuatu dengan sesuatu,Tulong handaih kaki meja dengan retaih sat.,[tu.loN hAn.dAC kA.ki mE.dZA d«.NAn Ò«.tAC sAt],Tolong lapik kaki meja dengan kertas.,,,
"2. mengibas-ngibas dengan kuat sesuatu benda seperti kain, tikar dan lain-lain","Geretok dulu kaen tu kalu nak pakai, kot-kot ada semut.",[g«.Ò«.to du.lu kAen tu kA.lu nA pA.kAj kot.kot A.dA s«.mut],"Kibas dulu kain itu kalau hendak pakai, kalau-kalau ada semut.",,,
"3. memegang sesuatu seperti bucu bantal, puting, cuping telinga dan sebagainya dengan menggunakan ibu jari dan jari telunjuk.",Kalu nak tidoq anak aku suka gelinte telinga.,[kA.lu nA ti.do)Ö A.nA A.ku su.kA g«.lin.tE t«.li.NA],"Kalau hendak tidur, anak saya suka gelinte telinga.",,,
2. mengelecek bola.,Isa Bakaq pandai gelinte bola.,[i.sA bA.kA)Ö pAn.dAj g«.lin.tE b.lA],Isa Bakar pandai mengelecek bola.,,,
2. berbohong.,Sepa gelembong kat adek kata pi tengok wayang.,[sE.pA g«.lem.boN kAt A.de/ kA.tA pi tE.No/ wA.jAN],Kami berbohong pada adik pergi menonton wayang.,,,
"2. berkenaan dengan kulit yang kendur, gelambir.",Kalu dah tua nampak gelambiaq kat lehiaq.,[kA.lu dAh tu.wA nAm.pA/ g«.lAm.bi.jA)Ö kAt lE.hi.jA)Ö],Kalau sudah tua nampak gelambir pada leher.,,,
2. kawasan memasak dan mengurus hidangan untuk majlis kenduri kahwin.,Kalu nak tambah dalca hang pi ambek dekat gedohoq.,[kA.lu nA tAm.bAh dAl.tSA hAN pi Am.bE d«.kAt g«.do.h)Ö],Kalau hendak tambah dalca lagi kamu pergi ambil di gedohok.,,,
2. berbohong.,"Dia gebang kat pompuan tu, dia anak orang kaya.",[di.jA gE.bAN kAt pom.pu.wAn tu di.jA A.nA o.ÒAN kA.jA],"Dia berbohong pada perempuan tu, dia anak orang kaya.",,,
2. berkenaan dengan perempuan yang melakukan sesuatu pekerjaan yang tidak sepatutnya dilakukan; betina garet.,"Pokok pon hang nak kerabat, hang nak jadi betina garet ke?",[p.ko/ pon hAN nA/ k«.ÒA.bAt hAN nA/ dZA.di b«.ti.nA gA.Òet k«],"Pokok pun awak hendak panjat, awak hendak menjadi perempuan garit ke?",,,
