TAHUN,STATUS SYARIKAT,AGENSI,NAMA SYARIKAT,NEGERI,ALAMAT SYARIKAT,NO. TEL SYARIKAT,TARIKH PENUBUHAN,MODAL DIBENARKAN,MODAL BERBAYAR,AKTIVITI SYARIKAT,KATEGORI SYARIKAT,SEKTOR
2017,AKTIF-KPI,FELCRA,FELCRA Agro Industry Sdn. Bhd.,Kuala Lumpur,"Aras 2, Wisma FELCRA Lot  PT 4780, Jalan Rejang, Setapak Jaya 53300 KUALA LUMPUR",03-4142 6048,28/03/1998,"5,000,000.00","3,000,000.00","(i) Pertanian (Pembekalan Benih, Penjagaan Tapak Semaian) (ii) Perkhidmatan (iii) Pentadbiran & Kewangan",SUBSIDIARI,PERLADANGAN
2017,AKTIF-KPI,FELCRA,FELCRA Balingian Plantation Sdn. Bhd.,Kuala Lumpur,"WISMA FELCRA, ARAS 6, LOT PT4780, JALAN REJANG, 53300 SETAPAK JAYA, KUALA LUMPUR",03-4145 5000,01/04/1998,"1,000,000.00","100,000.00",Membangunkan tanah Kerajaan Negeri Sarawak di Balingian menjadi ladang kelapa sawit dan menjalankan aktiviti perladangan,SUBSIDIARI,PERLADANGAN
2017,AKTIF-KPI,FELCRA,FELCRA Daya Khas Plantation Sdn. Bhd.,Kuala Lumpur,"WISMA FELCRA, ARAS 6, LOT PT4780, JALAN REJANG, 53300 SETAPAK JAYA, KUALA LUMPUR",03-4145 5000,18/09/1997,"1,000,000.00","100,000.00","Membangunkan tanah kurniaan Kerajaan Negeri Sarawak di Klauh, Sri Aman menjadi ladang kelapa sawit dan menjalankan aktiviti perladangan.",SUBSIDIARI,PERLADANGAN
2017,AKTIF-KPI,FELCRA,FELCRA Ever Herald Sdn. Bhd.,Kuala Lumpur,"WISMA FELCRA, ARAS 6, LOT PT4780, JALAN REJANG, 53300 SETAPAK JAYA, KUALA LUMPUR",03-4145 5000,15/09/1998,"100,000.00","15,000.00",Estet Usahasama,SUBSIDIARI,PERLADANGAN
2017,AKTIF-KPI,FELCRA,FELCRA Gedong Plantation Sdn. Bhd.,Kuala Lumpur,"WISMA FELCRA, ARAS 6, LOT PT4780, JALAN REJANG, 53300 SETAPAK JAYA, KUALA LUMPUR",03-4145 5000,05/07/2001,"500,000.00","100,000.00",Membangunkan tanah Kerajaan Negeri Sarawak di Gedong menjadi ladang kelapa sawit dan menjalankan aktiviti perladangan,SUBSIDIARI,PERLADANGAN
2017,AKTIF-KPI,FELCRA,FELCRA Livestok & Agri Product Sdn. Bhd.,Kuala Lumpur,"ARAS 2A WISMA FELCRA BERHAD, SETAPAK JAYA, KUALA LUMPUR.",03-41455494,14/01/2013,"10,000,000.00","1,000,000.00",Pembangunan tanah dan pertanian (Ternakan dan Produk Halal),SUBSIDIARI,PERUNCITAN
2017,AKTIF-KPI,FELCRA,FELCRA Niaga Sdn. Bhd.,Kuala Lumpur,"NO 10, JALAN USAHAWAN 5, KAWASAN PERUSAHAAN SETAPAK, OFF JALAN GENTING KLANG, 53300 SETAPAK, KUALA LUMPUR",019-2208055,21/10/1998,"5,000,000.00","2,000,000.00",Memproses dan membekalkan baja dan bahan Kimia (racun herba dan racun perosak) serta menjalankan aktiviti perniagaan bagi input pertanian melalui Kedai FenShoppe di seluruh negara.,SUBSIDIARI,PERLADANGAN
2017,AKTIF-KPI,FELCRA,FELCRA Pelita Jemoreng Sdn. Bhd.,Kuala Lumpur,"WISMA FELCRA, ARAS 6, LOT PT4780, JALAN REJANG, 53300 SETAPAK JAYA, KUALA LUMPUR",03-4145 5000,18/10/2004,"20,000,000.00","14,031,000.00","Membangunkan tanah kurniaan Kerajaan Negeri Sarawak di Jemoreng, Sarawak menjadi ladang kelapa sawit dan menjalankan aktiviti perladangan.",SUBSIDIARI,PERLADANGAN
2017,AKTIF-KPI,FELCRA,FELCRA Plantation Services Sdn. Bhd.,Kuala Lumpur,"B-024, Jalan 3/4C, Desa Melawati, Mukim Setapak,53100 Kuala Lumpur",03-4161 3320,02/07/1998,"500,000.00","200,000.00",Menyediakan perkhidmatan perladangan dan pertanian serta pengurusan kilang padi,SUBSIDIARI,PERLADANGAN
2017,AKTIF-KPI,FELCRA,FELCRA Sundar Awat-Awat Plantation Sdn. Bhd.,Kuala Lumpur,"WISMA FELCRA, ARAS 6, LOT PT4780, JALAN REJANG, 53300 SETAPAK JAYA, KUALA LUMPUR",03-4145 5000,09/02/1999,"500,000.00","150,000.00",Membangunkan tanah Kerajaan Negeri Sarawak di Sundar dan Awat-awat menjadi ladang kelapa sawit dan menjalankan aktiviti perladangan,SUBSIDIARI,PERLADANGAN
2017,AKTIF-KPI,FELCRA,FELCRA Urus Estet Sdn. Bhd.,Kuala Lumpur,"B5.2.1 & B5.3.1, WISMA FUESB, GAYA MELAWATI, URBAN 2, LORONG SELANGOR, PUSAT BANDAR  MELAWATI, 53100 KUALA LUMPUR.",03-41625657/5658/6657,31/05/2000,"5,000,000.00","1,000,000.00",Menjalankan perkhidmatan pengurusan ladang dan kontrak perladangan,SUBSIDIARI,PERLADANGAN
2017,AKTIF-KPI,KEDA,KEDA HOLDINGS SDN BHD,Kedah,"TINGKAT 6, ANJUNG UTARA, BANGUNAN KWSP-PELADANG, JALAN SULTAN BADLISHAH, 05000 ALOR SETAR, KEDAH",04-7250071/0072,08/06/2010,"25,000,000.00","25,000,000.00","PELABURAN,PEMBANGUNAN HARTANAH DAN PERDAGANGAN AM",SUBSIDIARI,PELABURAN
2017,AKTIF-KPI,KEDA,KEDA PROPERTIES AND MANAGEMENT SDN BHD,Kedah,"TINGKAT 6, ANJUNG UTARA, BANGUNAN KWSP-PELADANG, JALAN SULTAN BADLISHAH, 05000 ALOR SETAR, KEDAH",04-7250071/0072,12/08/2010,"1,000,000.00","1,000,000.00","PENGURUSAN HARTANAH, PEMBINAAN DAN PEMBANGUNAN HARTANAH LOT IKS DAN KEDAI RUNCIT SERTA PERKHIDMATAN DAN PEMBEKALAN AM",SUB-SUBSIDIARI,HARTANAH
2017,AKTIF-KPI,KEDA,KEDA RESORT AND HOLIDAYS SDN BHD,Kedah,"KAMPUNG BENDANG MAN, 08200 SIK, KEDAH",04-4620369/0370,12/08/2010,"500,000.00","250,000.00","RESORT, PUSAT LATIHAN, PROMOSI PRODUK-PRODUK PELANCONGAN DESA, PERUNDING KORPORAT DAN PENYEDIA MAKANAN",SUB-SUBSIDIARI,PELANCONGAN
2017,AKTIF-KPI,KEDA,KEDA AGROBIZ SDN BHD,Kedah,"LOT 2345, KAMPUNG CHARUK TUALANG, JALAN GURUN-SIK, BATU LIMA, 08200 SIK, KEDAH",04-4626230,12/08/2010,"500,000.00","250,000.00","KILANG AIR MINERAL PERNIAGAAN AGRO, PERDAGANGAN AM DAN PERLADANGAN",SUB-SUBSIDIARI,PERUNCITAN
2017,AKTIF-KPI,KEJORA,KEJORA DEVELOPMENT HOLDING SDN. BHD.,Johor,"PTD 10422, Jalan Ungku Abdul Aziz, Kawasan Perindustrian Bandar Penawar Fasa 3, 81930 Bandar Penawar Johor Darul Ta’zim","07-822 1212, 07-822 1067",04/04/2011,"25,000,000.00","15,000,000.00",SYARIKAT PEGANGAN PELABURAN,SUBSIDIARI,PELABURAN
2017,AKTIF-KPI,KEJORA,KEJORA LAND DEVELOPMENT SDN BHD,Johor,"PTD 10422, Jalan Ungku Abdul Aziz, Kawasan Perindustrian Bandar Penawar Fasa 3, 81930 Bandar Penawar Johor Darul Ta’zim","07-822 1212, 07-822 1067, 07-882 4212, 07-882 3212",28/11/2012,"5,000,000.00","5,000,000.00",PEMBANGUNAN HARTANAH,SUB-SUBSIDIARI,HARTANAH
2017,AKTIF-KPI,KEJORA,KEJORA HOSPITALITY & SERVICES SDN BHD,Johor,"PTD 10422, Jalan Ungku Abdul Aziz, Kawasan Perindustrian Bandar Penawar Fasa 3, 81930 Bandar Penawar Johor Darul Ta’zim","07-822 1212, 07-822 1067",30/11/2012,"500,000.00","500,000.00",PELANCONGAN DAN HOSPITALITI SERTA MEMPROMOSI PRODUK PELANCONGAN DESA,SUB-SUBSIDIARI,PELANCONGAN
2017,AKTIF-KPI,KEJORA,KEJORA AGRO SDN. BHD.,Johor,"PTD 10422, Jalan Ungku Abdul Aziz, Kawasan Perindustrian Bandar Penawar Fasa 3, 81930 Bandar Penawar Johor Darul Ta’zim","07-822 1212, 07-822 1067",28/11/2012,"500,000.00","500,000.00",URUS DAN USAHAKAN TANAH PERTANIAN TERMASUK MELAKSANAKAN PERTANIAN MODEN,SUB-SUBSIDIARI,PERLADANGAN
2017,AKTIF-KPI,KESEDAR,KESEDAR HOLDINGS SDN BHD,Kelantan,"KESEDAR Holdings Sdn Bhd, BZ-13 Dataran KESEDAR Putra, 18300 Gua Musang.",09-9124700,17/04/2017,"1,500,004.00","1,100,004.00",PEMEGANG PELABURAN,SUBSIDIARI,PELABURAN
2017,AKTIF-KPI,KESEDAR,KESEDAR PERKILANGAN SDN BHD,Kelantan,"KESEDAR Perkilangan Sdn Bhd (KPSB), PT 9307 Bandar Baru Gua Musang, 18300 Gua Musang Kelantan.",09-9120788,02/06/1989,"17,000,000.00","16,900,010.00",PEMPROSESAN SAWIT & PERLADANGAN,SUB-SUBSIDIARI,PERKILANGAN
2017,AKTIF-KPI,KESEDAR,KESEDAR DAGANG SDN BHD,Kelantan,"KESEDAR Dagang Sdn. Bhd., PT 2977 Taman KESEDAR Jaya, 18300 Gua Musang Kelantan",09-9123379,27/10/1989,"1,000,000.00","700,002.00",HARTANAH,SUB-SUBSIDIARI,HARTANAH
2017,AKTIF-KPI,KESEDAR,KESEDAR HOTEL TRAVEL & TOURS SDN BHD,Kelantan,KESEDAR Hotel Travel and Tours Sdn. Bhd. Jalan KESEDAR Inn 18300 Gua Musang Kelantan.,09-9122980,04/06/2017,"500,000.00","300,002.00",PERHOTELAN & PELANCONGAN,SUB-SUBSIDIARI,PELANCONGAN
2017,AKTIF-KPI,KETENGAH,KETENGAH HOLDING.SDN.BHD,Terengganu,"LOT 70029, JALAN SULTAN ZAINAL ABIDIN 3, BANDAR ALMUKTAFI BILLAH SHAH, 23409 DUNGUN TERENGGANU",09-8223800,09/07/2003,"100,000,000.00","37,289,625.00",PELABURAN,SUBSIDIARI,PELABURAN
2017,AKTIF-KPI,KETENGAH,KETENGAH PROPERTIES SDN.BHD,Terengganu,"BANGUNAN KETENGAH HOLDING SDN BHD, LOT 70029, JALAN SULTAN ZAINAL ABIDIN 3, BANDAR ALMUKTAFI BILLAH SHAH, 23409 DUNGUN TERENGGANU",09-8223800,16/08/1985,"1,000,000.00","450,002.00",HARTANAH,SUB-SUBSIDIARI,HARTANAH
2017,AKTIF-KPI,KETENGAH,NIKANIAGA TRAVEL & TOURS SDN.BHD,Terengganu,"BANGUNAN KETENGAH HOLDING SDN BHD, LOT 70029, JALAN SULTAN ZAINAL ABIDIN 3, BANDAR ALMUKTAFI BILLAH SHAH, 23409 DUNGUN TERENGGANU",09-8223800,21/07/1981,"5,000,000.00","1,700,000.00",PERNIAGAAN AM & PELANCONGAN,SUB-SUBSIDIARI,PELANCONGAN
2017,AKTIF-KPI,KETENGAH,KOLEJ KETENGAH SDN.BHD,Terengganu,"BANGUNAN KETENGAH HOLDING SDN BHD, LOT 70029, JALAN SULTAN ZAINAL ABIDIN 3, BANDAR ALMUKTAFI BILLAH SHAH, 23409 DUNGUN TERENGGANU",09-8223800,11/07/1981,"5,000,000.00","1,000,000.00",PENDIDIKAN,SUB-SUBSIDIARI,PENDIDIKAN
2017,AKTIF-KPI,KETENGAH,KUARI PONDOK LIMAU SDN.BHD,Terengganu,"BANGUNAN KETENGAH HOLDING SDN BHD, LOT 70029, JALAN SULTAN ZAINAL ABIDIN 3, BANDAR ALMUKTAFI BILLAH SHAH, 23409 DUNGUN TERENGGANU",09-8223800,12/08/1981,"5,000,000.00","2,800,000.00",PENGELUARAN BAHAN KUARI,SUB-SUBSIDIARI,PERKHIDMATAN
2017,AKTIF-KPI,KETENGAH,KUARI TRENGGANU TENGAH SDN.BHD,Terengganu,"BANGUNAN KETENGAH HOLDING SDN BHD, LOT 70029, JALAN SULTAN ZAINAL ABIDIN 3, BANDAR ALMUKTAFI BILLAH SHAH, 23409 DUNGUN TERENGGANU",09-8223800,26/04/1976,"2,000,000.00","1,000,002.00",PENGELUARAN BAHAN KUARI,SUB-SUBSIDIARI,PERKHIDMATAN
2017,AKTIF-KPI,KETENGAH,KETENGAH PERWIRA SDN.BHD (KPSB),Terengganu,"BANGUNAN KETENGAH HOLDING SDN BHD, LOT 70029, JALAN SULTAN ZAINAL ABIDIN 3, BANDAR ALMUKTAFI BILLAH SHAH, 23409 DUNGUN TERENGGANU",09-8223800,22/09/1976,"30,000,000.00","28,000,000.00",PERLADANGAN KELAPA SAWIT,SUB-SUBSIDIARI,PERLADANGAN
2017,AKTIF-KPI,KETENGAH,SURADA JAYA SDN.BHD,Terengganu,"BANGUNAN KETENGAH HOLDING SDN BHD, LOT 70029, JALAN SULTAN ZAINAL ABIDIN 3, BANDAR ALMUKTAFI BILLAH SHAH, 23409 DUNGUN TERENGGANU",09-8223800,08/07/1983,"500,000.00","500,000.00",PENTERNAKAN DAN INSURANS,SUB-SUBSIDIARI,PERLADANGAN
2017,AKTIF-KPI,KETENGAH,YIT KETENGAH PERWIRA SDN. BHD.,Terengganu,"BANGUNAN KETENGAH HOLDING SDN BHD, LOT 70029, JALAN SULTAN ZAINAL ABIDIN 3, BANDAR ALMUKTAFI BILLAH SHAH, 23409 DUNGUN TERENGGANU",09-8223800,21/04/1993,"10,000,000.00","6,000,000.00",PERLADANGAN KELAPA SAWIT,SUB-SUBSIDIARI,PERLADANGAN
2017,AKTIF-KPI,KETENGAH,KEBUNIKA SDN. BHD.,Terengganu,"BANGUNAN KETENGAH HOLDING SDN BHD, LOT 70029, JALAN SULTAN ZAINAL ABIDIN 3, BANDAR ALMUKTAFI BILLAH SHAH, 23409 DUNGUN TERENGGANU",09-8223800,18/12/1985,"5,000,000.00","350,000.00",PERLADANGAN KELAPA SAWIT,SUB-SUBSIDIARI,PERLADANGAN
2017,AKTIF-KPI,MARA,Asia Aerotechnic Sdn. Bhd. (AAT),Selangor,"M14, SkyPark Terminal Sultan Abdul Aziz Shah Airport 47200 Subang Selangor",03-7840 0980,21/10/1995,"50,000,000.00","27,148,562.00",Syarikat yang terlibat dalam bidang Maintenance Repair & Overhaul (MRO),SUBSIDIARI,PERKHIDMATAN
2017,AKTIF-KPI,MARA,Pusat Pembangunan Reka Bentuk Malaysia Sdn. Bhd. (DDEC),Kuala Lumpur,"No. 22, Jalan Kia Peng 50450 Kuala Lumpur",03-2161 9002/3005,31/01/1987,"10,000,000.00","6,698,492.00",Kegiatan utama syarikat adalah menyelaras aktiviti reka bentuk produk dalam pelbagai bidang ke arah pengkomersilan produk tempatan dan antarabangsa,SUBSIDIARI,PERKHIDMATAN
2017,AKTIF-KPI,MARA,F.I.T. Center Sdn. Bhd. (FITEC),Kuala Lumpur,"Off KM 13, Jalan Batu Caves 68100 Batu Caves Kuala Lumpur",03-6187 6195/96,28/01/1994,"10,000,000.00","5,671,600.00",Pengurusan pusat latihan yang berkaitan dengan industri perabot dan jual beli perabot,SUBSIDIARI,PERKHIDMATAN
2017,AKTIF-KPI,MARA,GIATMARA Sdn. Bhd. (GIATMARA),Kuala Lumpur,"WISMA GIATMARA No.39, Jalan Medan Tuanku 50300 Kuala Lumpur",03-6187 6195/96,11/08/1986,"5,000,000.00","1,000,000.00",Pengurusan  tenaga pengajar kemahiran teknikal dan pelaksana projek Program Pembangunan Rakyat Termiskin (PPRT) oleh KKLW,SUBSIDIARI,PENDIDIKAN
2017,AKTIF-KPI,MARA,Glocal Link (M) Sdn. Bhd. (GLSB),Kuala Lumpur,"Tingkat 39, Lot 1, Menara TH Perdana 1001, Jalan Sultan Ismail 50250 Kuala Lumpur",03-2606 3993,14/12/1989,"100,000,000.00","51,988,520.00",Menyediakan perniagaan am dan perkhidmatan pengurusan,SUBSIDIARI,PERUNCITAN
2017,AKTIF-KPI,MARA,German Malaysian Institute (GMI) (Syarikat Di bawah Jaminan),Selangor,"Jalan Ilmiah, Taman Universiti 43000 Kajang Selangor",03-8921 9000/9181,01/09/1992,,,"Sebagai institusi pengajian tinggi dan memberi perkhidmatan kursus, latihan teknikal, teknologi pengeluaran dan elektronik industri.",SUBSIDIARI,PENDIDIKAN
2017,AKTIF-KPI,MARA,Harta Prima Realties Sdn. Bhd.(Dahulu dikenali YPM Realties Sdn. Bhd. (YPMR),Kuala Lumpur,"d/a Tingkat 8, Ibu Pejabat MARA 21, Jalan MARA 50609 Kuala Lumpur",03-26135061,24/08/1973,"10,000,000.00","3,000,000.00","Penyediaan perkhidmatan pengurusan, pembinaan dan pembangunan hartanah",SUBSIDIARI,HARTANAH
2017,AKTIF-KPI,MARA,Kolej Poly-Tech MARA Sdn. Bhd. (KPTM),Kuala Lumpur,"Jalan 6/91, Taman Shamelin Perkasa Cheras 56100 Kuala Lumpur",03-9281 9700/  928404639,12/05/2001,"100,000,000.00","51,000,000.00",Mengurus dan menjalankan institusi pendidikan yang menawarkan program latihan dan pendidikan di dalam pelbagai bidang pengajian yang diiktiraf,SUBSIDIARI,PENDIDIKAN
2017,AKTIF-KPI,MARA,MARA- Aerospace & Technologies Sdn. Bhd. (M-AeroTech),Selangor,"Suite 3.01, Level 3 Menara OBYU, Bandar Damansara Perdana 47820 Petaling Jaya Selangor",03-7731 1881,21/02/2013,"5,000,000.00","2,400,000.00",Penyediaan aktiviti pembangunan human capital dan perkhidmatan konsultasi berkaitan teknologi industri aeroangkasa,SUBSIDIARI,PERKHIDMATAN
2017,AKTIF-KPI,MARA,MARA Corporation Sdn. Bhd. (MARA Corp.),Kuala Lumpur,"d/a Bahagian Pelaburan dan Pembangunan Subsidiari, Tingkat 22, Ibu Pejabat MARA",03-7731 1881,17/11/2014,"10,000,000.00","4,000,000.00",Syarikat induk kepada syarikat subsidiari MARA,SUBSIDIARI,PELABURAN
2017,AKTIF-KPI,MARA,MARA Incorporated Sdn. Bhd. (MARA Inc.),Kuala Lumpur,"No. 2, Eight Setiawangsa Jalan Setiawangsa 13 Taman Setiawangsa, 54200 Kuala Lumpur",03-4251 4668,06/07/1979,"500,000,000.00","301,200,002.00",Syarikat terlibat dalam aktiviti pelaburan.,SUBSIDIARI,PELABURAN
2017,AKTIF-KPI,MARA,MARA Excellent Ventures Sdn. Bhd. (MEX),Kuala Lumpur,"13C, Tingkat 3 Jalan Medan Tuanku, Medan Tuanku 50300 Kuala Lumpur",03-2202 7255,10/09/1979,"25,000,000.00","1,500,002.00",Menyediakan perkhidmatan pusat pembelajaran seperti MRSM Swasta & International Baccalaureate (IB),SUBSIDIARI,PENDIDIKAN
2017,AKTIF-KPI,MARA,MARA Liner Sdn. Bhd. (MLSB),Kuala Lumpur,"Lot 26G, Jalan Medan Tuanku 1 Jalan Tengku Abdul Rahman 50300 Kuala Lumpur",03-2602 2691,11/02/1982,"25,000,000.00","15,000,022.00","Penyediaan perkhidmatan pengangkutan bas, perkhidmatan bengkel",SUBSIDIARI,PERKHIDMATAN
2017,AKTIF-KPI,MARA,Pelaburan MARA Berhad (PMB),Kuala Lumpur,"Tingkat 20, 1 Sentral Jalan Rakyat, Kuala Lumpur Sentral 50470 Kuala Lumpur",03-2785 9889,24/06/1967,"200,000,000.00","100,000,000.00",Syarikat pemegang pelaburan dan perniagaan Sekuriti Bolehpasar,SUBSIDIARI,PELABURAN
2017,AKTIF-KPI,MARA,Rural Capital Berhad (RCB),Kuala Lumpur,"Tingkat 8, Menara RKT 36 Jalan Raja Abdullah 50300 Kuala Lumpur",03-2691 0869,08/10/1984,"6,000,000.00","2,607,606.00","Syarikat menjalankan perkhidmatan kewangan, pembiayaan, pemindahan wang dan pembayaran & kutipan hutang",SUBSIDIARI,PELABURAN
2017,AKTIF-KPI,MARA,Technology Park Malaysia College Sdn. Bhd. (TPMC),Kuala Lumpur,Technology Park Malaysia College Sdn Bhd Technology Park Malaysia Bukit Jalil 57000 Kuala Lumpur,,18/08/1998,"25,000,000.00","15,000,000.00","Perniagaan dalam program pendidikan dan latihan kejuruteraan, teknologi maklumat dan bioteknologi",SUBSIDIARI,PENDIDIKAN
2017,AKTIF-KPI,MARA,Universiti Teknikal MARA Sdn. Bhd. (UNITEK-MARA),Kuala Lumpur,"Universiti Kuala Lumpur 1016, Jalan Sultan Ismail 50250 Kuala Lumpur",03-2175 4000,28/01/2002,"50,000,000.00","30,000,000.00",Syarikat induk yang mengendali dan  mengurus Universiti Kuala Lumpur dan cawangan-cawangannya.,SUBSIDIARI,PENDIDIKAN
2017,AKTIF,MARA,UNIMARA Sdn. Bhd. (UniMARA) (Dahulu dikenali sebagai Malaysian Spanish Institute Sdn Bhd (MSI),Kuala Lumpur,"G-1, Enterprise 3A Jalan Inovasi 1, Technology Park Malaysia 57000 Bukit Jalil Kuala Lumpur",012-4446918,04/07/2000,"25,000,000.00","20,000,002.00",Pengurusan institusi pelajaran dan menyediakan latihan lanjutan dalam bidang kejuruteraan automotif dan teknologi pembuatan komponen.,SUBSIDIARI,PENDIDIKAN
2017,AKTIF-KPI,MARA,Yayasan Pelajaran MARA (YPM),Kuala Lumpur,"Aras 18, Menara MARA 232, Jalan Tuanku Abdul Rahman 50100 Kuala Lumpur",03-2692 7273/6827,01/05/1969,,,"Pengumpulan dana, pemberian bantuan persekolahan, penajaan pengajian tinggi Jepun dan pelaburan",SUBSIDIARI,PENDIDIKAN
2017,AKTIF,MARA,MARA Inc. (London)Limited,Kuala Lumpur,"No. 2, Eight Setiawangsa Jalan Setiawangsa 13 Taman Setiawangsa 54200 Kuala Lumpur",03-4251 4668,13/02/2009,"5,400,000.00","108,000.00",Menguruskan semua aset yang dimiliki oleh MARA Inc. di London.,SUB-SUBSIDIARI,HARTANAH
2017,AKTIF,MARA,"Beaumont House Ltd., London",Kuala Lumpur,"No. 2, Eight Setiawangsa Jalan Setiawangsa 13 Taman Setiawangsa 54200 Kuala Lumpur",03-4251 4668,28/02/2014,"270,000.00",5.40,"SPV BVI company yang merupakan beneficial owner bagi Beaumont House, London.",SUB-SUBSIDIARI,HARTANAH
2017,AKTIF,MARA,"MARA Ventures Limited, London",Kuala Lumpur,"No. 2, Eight Setiawangsa Jalan Setiawangsa 13 Taman Setiawangsa 54200 Kuala Lumpur",03-4251 4668,16/02/2009,"270,000.00",5.40,Perkhidmatan pelaburan hartanah dan perunding pelaburan,SUB-SUBSIDIARI,HARTANAH
2017,AKTIF,MARA,"Thrushcross Land Holdings Limited, Australia",Kuala Lumpur,"No. 2, Eight Setiawangsa Jalan Setiawangsa 13 Taman Setiawangsa 54200 Kuala Lumpur",03-4251 4668,24/10/2012,"135,000,000.00","129,000,006.00","SPV BVI company yang merupakan beneficial owner bagi Dudley International House dan 746, Swanston Street, Melbourne, Australia.",SUB-SUBSIDIARI,HARTANAH
